sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,reported_occurrence_count,listed_occurrence_count,group_occurrences,test_status,test_file,test_command,test_coverage,test_commit
1,java,code_clone_type1,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/world/blocks/payloads/BlockProducer.java:60 <-> core/src/mindustry/world/blocks/payloads/PayloadSource.java:83,41.0,tokens=41; lines=3; group_size=3,2,2,"{""left_file"": ""core/src/mindustry/world/blocks/payloads/BlockProducer.java"", ""left_class"": ""BlockProducer"", ""left_method"": ""drawPlanRegion(BuildPlan plan, Eachable<BuildPlan> list)"", ""left_begin_line"": ""60"", ""left_end_line"": ""64"", ""right_file"": ""core/src/mindustry/world/blocks/payloads/PayloadSource.java"", ""right_class"": ""PayloadSource"", ""right_method"": ""drawPlanRegion(BuildPlan plan, Eachable<BuildPlan> list)"", ""right_begin_line"": ""83"", ""right_end_line"": ""87""}",PASS_GE80,tests/src/test/java/MindustryBlockProducerCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryBlockProducerCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,acde88dcdf
2,java,code_clone_type1,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/world/blocks/payloads/BlockProducer.java:60 <-> core/src/mindustry/world/blocks/units/UnitFactory.java:184,41.0,tokens=41; lines=3; group_size=3,2,2,"{""left_file"": ""core/src/mindustry/world/blocks/payloads/BlockProducer.java"", ""left_class"": ""BlockProducer"", ""left_method"": ""drawPlanRegion(BuildPlan plan, Eachable<BuildPlan> list)"", ""left_begin_line"": ""60"", ""left_end_line"": ""64"", ""right_file"": ""core/src/mindustry/world/blocks/units/UnitFactory.java"", ""right_class"": ""UnitFactory"", ""right_method"": ""drawPlanRegion(BuildPlan plan, Eachable<BuildPlan> list)"", ""right_begin_line"": ""184"", ""right_end_line"": ""188""}",PASS_GE80,tests/src/test/java/MindustryBlockProducerCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryBlockProducerCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,acde88dcdf
3,java,code_clone_type1,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/world/blocks/payloads/PayloadSource.java:83 <-> core/src/mindustry/world/blocks/units/UnitFactory.java:184,41.0,tokens=41; lines=3; group_size=3,2,2,"{""left_file"": ""core/src/mindustry/world/blocks/payloads/PayloadSource.java"", ""left_class"": ""PayloadSource"", ""left_method"": ""drawPlanRegion(BuildPlan plan, Eachable<BuildPlan> list)"", ""left_begin_line"": ""83"", ""left_end_line"": ""87"", ""right_file"": ""core/src/mindustry/world/blocks/units/UnitFactory.java"", ""right_class"": ""UnitFactory"", ""right_method"": ""drawPlanRegion(BuildPlan plan, Eachable<BuildPlan> list)"", ""right_begin_line"": ""184"", ""right_end_line"": ""188""}",PASS_GE80,tests/src/test/java/MindustryPayloadSourceCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryPayloadSourceCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,acde88dcdf
4,java,code_clone_type1,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/proprietary/src/main/java/stirling/software/proprietary/controller/AuditDashboardController.java:61 <-> app/proprietary/src/main/java/stirling/software/proprietary/controller/web/AuditDashboardWebController.java:27,83.0,tokens=83; lines=14; group_size=2,2,2,"{""left_file"": ""app/proprietary/src/main/java/stirling/software/proprietary/controller/AuditDashboardController.java"", ""left_class"": ""AuditDashboardController"", ""left_method"": ""showDashboard(Model model)"", ""left_begin_line"": ""61"", ""left_end_line"": ""74"", ""right_file"": ""app/proprietary/src/main/java/stirling/software/proprietary/controller/web/AuditDashboardWebController.java"", ""right_class"": ""AuditDashboardWebController"", ""right_method"": ""showDashboard(Model model)"", ""right_begin_line"": ""27"", ""right_end_line"": ""40""}",PASS_GE80,app/proprietary/src/test/java/stirling/software/proprietary/controller/web/AuditDashboardWebControllerCoverageBoost_ESTest.java,./gradlew -PnoSpotless :proprietary:cleanTest :proprietary:test --tests stirling.software.proprietary.controller.web.AuditDashboardWebControllerCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,bc351d8a349a
5,java,code_clone_type1,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/core/src/main/java/stirling/software/SPDF/service/PdfJsonConversionService.java:4841 <-> app/core/src/main/java/stirling/software/SPDF/service/pdfjson/PdfJsonImageService.java:114,352.0,tokens=352; lines=50; group_size=2,2,2,"{""left_file"": ""app/core/src/main/java/stirling/software/SPDF/service/PdfJsonConversionService.java"", ""left_class"": ""PdfJsonConversionService"", ""left_method"": ""drawImageElement(PDPageContentStream contentStream, PDDocument document, PdfJsonImageElement element, Map<String, PDImageXObject> cache)"", ""left_begin_line"": ""4841"", ""left_end_line"": ""4890"", ""right_file"": ""app/core/src/main/java/stirling/software/SPDF/service/pdfjson/PdfJsonImageService.java"", ""right_class"": ""PdfJsonImageService"", ""right_method"": ""drawImageElement(PDPageContentStream contentStream, PDDocument document, PdfJsonImageElement element, Map<String, PDImageXObject> cache)"", ""right_begin_line"": ""114"", ""right_end_line"": ""163""}",PASS_GE80,app/core/src/test/java/stirling/software/SPDF/service/pdfjson/PdfJsonImageServiceCoverageBoost_ESTest.java,./gradlew -PnoSpotless :stirling-pdf:cleanTest :stirling-pdf:test --tests stirling.software.SPDF.service.pdfjson.PdfJsonImageServiceCoverageBoost_ESTest --no-build-cache --no-daemon,90.6,bc351d8a349a
6,java,code_clone_type1,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/core/src/main/java/stirling/software/SPDF/service/PdfJsonConversionService.java:2270 <-> app/core/src/main/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataService.java:58,124.0,tokens=124; lines=21; group_size=2,2,2,"{""left_file"": ""app/core/src/main/java/stirling/software/SPDF/service/PdfJsonConversionService.java"", ""left_class"": ""PdfJsonConversionService"", ""left_method"": ""extractXmpMetadata(PDDocument document)"", ""left_begin_line"": ""2270"", ""left_end_line"": ""2290"", ""right_file"": ""app/core/src/main/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataService.java"", ""right_class"": ""PdfJsonMetadataService"", ""right_method"": ""extractXmpMetadata(PDDocument document)"", ""right_begin_line"": ""58"", ""right_end_line"": ""78""}",PASS_GE80,app/core/src/test/java/stirling/software/SPDF/service/pdfjson/PdfJsonImageServiceCoverageBoost_ESTest.java;app/core/src/test/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataServiceCoverageBoost_ESTest.java,./gradlew -PnoSpotless :stirling-pdf:cleanTest :stirling-pdf:test --tests stirling.software.SPDF.service.pdfjson.PdfJsonImageServiceCoverageBoost_ESTest --tests stirling.software.SPDF.service.pdfjson.PdfJsonMetadataServiceCoverageBoost_ESTest --no-build-cache --no-daemon,86.7,bc351d8a349a
7,java,code_clone_type1,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/core/src/main/java/stirling/software/SPDF/service/PdfJsonConversionService.java:2252 <-> app/core/src/main/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataService.java:34,139.0,tokens=139; lines=17; group_size=2,2,2,"{""left_file"": ""app/core/src/main/java/stirling/software/SPDF/service/PdfJsonConversionService.java"", ""left_class"": ""PdfJsonConversionService"", ""left_method"": ""extractMetadata(PDDocument document)"", ""left_begin_line"": ""2252"", ""left_end_line"": ""2268"", ""right_file"": ""app/core/src/main/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataService.java"", ""right_class"": ""PdfJsonMetadataService"", ""right_method"": ""extractMetadata(PDDocument document)"", ""right_begin_line"": ""34"", ""right_end_line"": ""50""}",PASS_GE80,app/core/src/test/java/stirling/software/SPDF/service/pdfjson/PdfJsonImageServiceCoverageBoost_ESTest.java;app/core/src/test/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataServiceCoverageBoost_ESTest.java,./gradlew -PnoSpotless :stirling-pdf:cleanTest :stirling-pdf:test --tests stirling.software.SPDF.service.pdfjson.PdfJsonImageServiceCoverageBoost_ESTest --tests stirling.software.SPDF.service.pdfjson.PdfJsonMetadataServiceCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,bc351d8a349a
8,java,code_clone_type1,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/core/src/main/java/stirling/software/SPDF/service/PdfJsonConversionService.java:2292 <-> app/core/src/main/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataService.java:86,168.0,tokens=168; lines=21; group_size=2,2,2,"{""left_file"": ""app/core/src/main/java/stirling/software/SPDF/service/PdfJsonConversionService.java"", ""left_class"": ""PdfJsonConversionService"", ""left_method"": ""applyMetadata(PDDocument document, PdfJsonMetadata metadata)"", ""left_begin_line"": ""2292"", ""left_end_line"": ""2312"", ""right_file"": ""app/core/src/main/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataService.java"", ""right_class"": ""PdfJsonMetadataService"", ""right_method"": ""applyMetadata(PDDocument document, PdfJsonMetadata metadata)"", ""right_begin_line"": ""86"", ""right_end_line"": ""106""}",PASS_GE80,app/core/src/test/java/stirling/software/SPDF/service/pdfjson/PdfJsonImageServiceCoverageBoost_ESTest.java;app/core/src/test/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataServiceCoverageBoost_ESTest.java,./gradlew -PnoSpotless :stirling-pdf:cleanTest :stirling-pdf:test --tests stirling.software.SPDF.service.pdfjson.PdfJsonImageServiceCoverageBoost_ESTest --tests stirling.software.SPDF.service.pdfjson.PdfJsonMetadataServiceCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,bc351d8a349a
9,java,code_clone_type1,canal-1.1.8,/opt/projects/canal-1.1.8,deployer/src/main/java/com/alibaba/otter/canal/deployer/admin/CanalAdminController.java:84 <-> server/src/main/java/com/alibaba/otter/canal/server/embedded/CanalServerWithEmbedded.java:108,115.0,tokens=115; lines=20; group_size=2,2,2,"{""left_file"": ""deployer/src/main/java/com/alibaba/otter/canal/deployer/admin/CanalAdminController.java"", ""left_class"": ""CanalAdminController"", ""left_method"": ""auth(String user, String passwd, byte[] seed)"", ""left_begin_line"": ""84"", ""left_end_line"": ""103"", ""right_file"": ""server/src/main/java/com/alibaba/otter/canal/server/embedded/CanalServerWithEmbedded.java"", ""right_class"": ""CanalServerWithEmbedded"", ""right_method"": ""auth(String user, String passwd, byte[] seed)"", ""right_begin_line"": ""108"", ""right_end_line"": ""127""}",PASS_GE80,deployer/src/test/java/com/alibaba/otter/canal/deployer/admin/CanalAdminControllerCoverageBoostTest.java;deployer/src/test/java/com/alibaba/otter/canal/deployer/admin/CanalAdminControllerCoverageBoost_ESTest.java;server/src/test/java/com/alibaba/otter/canal/server/embedded/CanalServerWithEmbeddedCoverageBoostTest.java;server/src/test/java/com/alibaba/otter/canal/server/embedded/CanalServerWithEmbeddedCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl deployer,server -am -Dtest=CanalAdminControllerCoverageBoostTest,CanalAdminControllerCoverageBoost_ESTest,CanalServerWithEmbeddedCoverageBoostTest,CanalServerWithEmbeddedCoverageBoost_ESTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test",80.0,60d4ee828f89
10,java,code_clone_type1,canal-1.1.8,/opt/projects/canal-1.1.8,client/src/main/java/com/alibaba/otter/canal/client/rabbitmq/RabbitMQCanalConnector.java:193 <-> client/src/main/java/com/alibaba/otter/canal/client/rabbitmq/RabbitMQCanalConnector.java:221,89.0,tokens=89; lines=17; group_size=3,2,2,"{""left_file"": ""client/src/main/java/com/alibaba/otter/canal/client/rabbitmq/RabbitMQCanalConnector.java"", ""left_class"": ""RabbitMQCanalConnector"", ""left_method"": ""getListWithoutAck(Long timeout, TimeUnit unit)"", ""left_begin_line"": ""193"", ""left_end_line"": ""209"", ""right_file"": ""client/src/main/java/com/alibaba/otter/canal/client/rabbitmq/RabbitMQCanalConnector.java"", ""right_class"": ""RabbitMQCanalConnector"", ""right_method"": ""getFlatListWithoutAck(Long timeout, TimeUnit unit)"", ""right_begin_line"": ""221"", ""right_end_line"": ""237""}",PASS_GE80,client/src/test/java/com/alibaba/otter/canal/client/rabbitmq/RabbitMQCanalConnectorCoverageBoostTest.java;client/src/test/java/com/alibaba/otter/canal/client/rabbitmq/RabbitMQCanalConnectorCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl client -am -Dtest=RabbitMQCanalConnectorCoverageBoostTest,RabbitMQCanalConnectorCoverageBoost_ESTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test",100.0,60d4ee828f89
