sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,reported_occurrence_count,listed_occurrence_count,group_occurrences,test_status,test_file,test_command,verification_mode,test_coverage,test_commit,target_context_json
1,java,dead_code,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-core/src/main/java/org/jhotdraw/draw/connector/ChopEllipseConnector.java:38,0.0,kind=unused_private_method; class=ChopEllipseConnector; method=getStrokeWidth(org.jhotdraw.draw.figure.Figure f); refs=0; loc=4; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration,1,1,"{""file"": ""jhotdraw-core/src/main/java/org/jhotdraw/draw/connector/ChopEllipseConnector.java"", ""class"": ""ChopEllipseConnector"", ""method"": ""getStrokeWidth(org.jhotdraw.draw.figure.Figure f)"", ""begin_line"": ""38"", ""end_line"": ""41"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl jhotdraw-core,jhotdraw-utils -am test '-Dtest=org.jhotdraw.draw.**.*,org.jhotdraw.utils.geom.path.BezierCoverageBoost_ESTest,org.jhotdraw.utils.geom.path.BezierPathTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false --file pom.xml",project_full,-1,,{}
2,java,dead_code,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-gui/src/main/java/org/jhotdraw/gui/JMDIDesktopPane.java:96,0.0,kind=unused_private_method; class=JMDIDesktopPane; method=tileFramesHorizontally(); refs=0; loc=19; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration,1,1,"{""file"": ""jhotdraw-gui/src/main/java/org/jhotdraw/gui/JMDIDesktopPane.java"", ""class"": ""JMDIDesktopPane"", ""method"": ""tileFramesHorizontally()"", ""begin_line"": ""96"", ""end_line"": ""115"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl jhotdraw-core,jhotdraw-utils -am test '-Dtest=org.jhotdraw.draw.**.*,org.jhotdraw.utils.geom.path.BezierCoverageBoost_ESTest,org.jhotdraw.utils.geom.path.BezierPathTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false --file pom.xml",project_full,-1,,{}
3,java,dead_code,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-gui/src/main/java/org/jhotdraw/gui/action/EditCanvasPanel.java:57,0.0,kind=unused_private_method; class=EditCanvasPanel; method=getColorChooser(); refs=0; loc=6; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration,1,1,"{""file"": ""jhotdraw-gui/src/main/java/org/jhotdraw/gui/action/EditCanvasPanel.java"", ""class"": ""EditCanvasPanel"", ""method"": ""getColorChooser()"", ""begin_line"": ""57"", ""end_line"": ""62"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl jhotdraw-core,jhotdraw-utils -am test '-Dtest=org.jhotdraw.draw.**.*,org.jhotdraw.utils.geom.path.BezierCoverageBoost_ESTest,org.jhotdraw.utils.geom.path.BezierPathTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false --file pom.xml",project_full,-1,,{}
4,java,dead_code,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-gui/src/main/java/org/jhotdraw/gui/plaf/palette/PaletteToolBarUI.java:761,0.0,"kind=unused_private_method; class=PaletteToolBarUI; method=isBlocked(java.awt.Component comp, java.lang.Object constraint); refs=0; loc=12; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration",1,1,"{""file"": ""jhotdraw-gui/src/main/java/org/jhotdraw/gui/plaf/palette/PaletteToolBarUI.java"", ""class"": ""PaletteToolBarUI"", ""method"": ""isBlocked(java.awt.Component comp, java.lang.Object constraint)"", ""begin_line"": ""761"", ""end_line"": ""772"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl jhotdraw-core,jhotdraw-utils -am test '-Dtest=org.jhotdraw.draw.**.*,org.jhotdraw.utils.geom.path.BezierCoverageBoost_ESTest,org.jhotdraw.utils.geom.path.BezierPathTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false --file pom.xml",project_full,-1,,{}
5,java,dead_code,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-samples/jhotdraw-samples-mini/src/main/java/org/jhotdraw/samples/mini/BezierDemo.java:274,0.0,kind=unused_private_method; class=BezierDemo; method=getSquaredError(); refs=0; loc=4; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration,1,1,"{""file"": ""jhotdraw-samples/jhotdraw-samples-mini/src/main/java/org/jhotdraw/samples/mini/BezierDemo.java"", ""class"": ""BezierDemo"", ""method"": ""getSquaredError()"", ""begin_line"": ""274"", ""end_line"": ""277"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl jhotdraw-core,jhotdraw-utils -am test '-Dtest=org.jhotdraw.draw.**.*,org.jhotdraw.utils.geom.path.BezierCoverageBoost_ESTest,org.jhotdraw.utils.geom.path.BezierPathTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false --file pom.xml",project_full,-1,,{}
6,java,dead_code,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-samples/jhotdraw-samples-misc/src/main/java/org/jhotdraw/samples/svg/io/SVGInputFormat.java:2540,0.0,"kind=unused_private_method; class=SVGInputFormat; method=readGraphicsAttributes(org.w3c.dom.Element elem, org.jhotdraw.draw.figure.Figure f); refs=0; loc=10; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration",1,1,"{""file"": ""jhotdraw-samples/jhotdraw-samples-misc/src/main/java/org/jhotdraw/samples/svg/io/SVGInputFormat.java"", ""class"": ""SVGInputFormat"", ""method"": ""readGraphicsAttributes(org.w3c.dom.Element elem, org.jhotdraw.draw.figure.Figure f)"", ""begin_line"": ""2540"", ""end_line"": ""2628"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl jhotdraw-core,jhotdraw-utils -am test '-Dtest=org.jhotdraw.draw.**.*,org.jhotdraw.utils.geom.path.BezierCoverageBoost_ESTest,org.jhotdraw.utils.geom.path.BezierPathTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false --file pom.xml",project_full,-1,,{}
7,java,dead_code,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-utils/src/main/java/org/jhotdraw/utils/geom/path/Bezier.java:737,0.0,"kind=unused_private_method; class=Bezier; method=v2ScaleIII(Point2D.Double v, double s); refs=0; loc=6; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration",1,1,"{""file"": ""jhotdraw-utils/src/main/java/org/jhotdraw/utils/geom/path/Bezier.java"", ""class"": ""Bezier"", ""method"": ""v2ScaleIII(Point2D.Double v, double s)"", ""begin_line"": ""737"", ""end_line"": ""742"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl jhotdraw-core,jhotdraw-utils -am test '-Dtest=org.jhotdraw.draw.**.*,org.jhotdraw.utils.geom.path.BezierCoverageBoost_ESTest,org.jhotdraw.utils.geom.path.BezierPathTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false --file pom.xml",project_full,-1,,{}
8,java,dead_code,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-utils/src/main/java/org/jhotdraw/utils/geom/path/Bezier.java:766,0.0,"kind=unused_private_method; class=Bezier; method=v2AddII(Point2D.Double a, Point2D.Double b); refs=0; loc=6; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration",1,1,"{""file"": ""jhotdraw-utils/src/main/java/org/jhotdraw/utils/geom/path/Bezier.java"", ""class"": ""Bezier"", ""method"": ""v2AddII(Point2D.Double a, Point2D.Double b)"", ""begin_line"": ""766"", ""end_line"": ""771"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl jhotdraw-core,jhotdraw-utils -am test '-Dtest=org.jhotdraw.draw.**.*,org.jhotdraw.utils.geom.path.BezierCoverageBoost_ESTest,org.jhotdraw.utils.geom.path.BezierPathTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false --file pom.xml",project_full,-1,,{}
9,java,dead_code,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-utils/src/main/java/org/jhotdraw/utils/geom/path/Bezier.java:781,0.0,"kind=unused_private_method; class=Bezier; method=v2Dot(Point2D.Double a, Point2D.Double b); refs=0; loc=3; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration",1,1,"{""file"": ""jhotdraw-utils/src/main/java/org/jhotdraw/utils/geom/path/Bezier.java"", ""class"": ""Bezier"", ""method"": ""v2Dot(Point2D.Double a, Point2D.Double b)"", ""begin_line"": ""781"", ""end_line"": ""783"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl jhotdraw-core,jhotdraw-utils -am test '-Dtest=org.jhotdraw.draw.**.*,org.jhotdraw.utils.geom.path.BezierCoverageBoost_ESTest,org.jhotdraw.utils.geom.path.BezierPathTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false --file pom.xml",project_full,-1,,{}
10,java,dead_code,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/common/src/main/java/stirling/software/common/util/FileToPdf.java:168,0.0,kind=unused_private_method; class=FileToPdf; method=unzipAndGetMainHtml(byte[] fileBytes); refs=0; loc=31; detector=python_semantic_detector; validation=unique_java_source_occurrence; reason=no_active_invocation_method_reference_or_textual_java_reference_except_declaration,1,1,"{""file"": ""app/common/src/main/java/stirling/software/common/util/FileToPdf.java"", ""class"": ""FileToPdf"", ""method"": ""unzipAndGetMainHtml(byte[] fileBytes)"", ""begin_line"": ""168"", ""end_line"": ""204"", ""member_kind"": ""method"", ""visibility"": ""private"", ""reference_count"": ""0"", ""java_source_occurrence_count"": ""1"", ""validation"": ""unique_java_source_occurrence_except_declaration""}",PROJECT_FULL_AVAILABLE,,"BUILDENV=""/opt/buildenv""; export BUILDENV; export HOME=""$BUILDENV/offline-home""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; ./gradlew -PnoSpotless --offline --no-daemon :common:cleanTest :common:test -PnoSpotless --no-build-cache --tests ""stirling.software.common.util.FileToPdfTest"" --tests ""stirling.software.common.util.GeneralUtilsTest"" --tests ""stirling.software.common.util.GeneralUtilsAdditionalTest"" --tests ""stirling.software.common.util.GeneralUtilsCoverageBoost_ESTest""",project_full,-1,,{}
