sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,test_location,test_command,verification_mode,test_status,test_file,test_coverage,test_commit,test_command_source,focused_test_command,focused_test_command_source,coverage_source,coverage_scope_status,coverage_input_csv,coverage_sample_id,projectfull_run_status,projectfull_run_dir,test_command_notes
1,java,feature_envy,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/ui/dialogs/CustomRulesDialog.java:method=setupMain|line=142,2108.00,"source=DesigniteJava-2.8.6.0; review_tier=weak; envied_type=Rules; designite_score=2108.00; envied_access_hits=229; branch_hits=13; method_loc=165; tier_reason=demoted: envied type is value/domain/protocol/log-like, not safe strict; fetruth_match=none; static_test_evidence=class_level_reference; jacoco_status=no_jacoco_xml_for_class; label_status=review_candidate_not_gold",,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; ./gradlew :tests:cleanTest :tests:test --tests mindustry.ui.dialogs.MindustryCustomRulesDialogCoverageBoost_ESTest --no-build-cache --no-daemon",sample_optimized,PASS_GE80,tests/src/test/java/mindustry/ui/dialogs/MindustryCustomRulesDialogCoverageBoost_ESTest.java,92.8,17cd5a7499a3,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; ./gradlew --offline :tests:test --tests mindustry.ui.dialogs.MindustryCustomRulesDialogCoverageBoost_ESTest --rerun-tasks --no-daemon",class_anchor+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/designite_feature_envy_mindustry_customrules_1_20260621/row_smell_coverage.csv,OK,feature_envy.csv,1,SMELL_GUARD_FAILED,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
2,java,feature_envy,tika,/opt/projects/tika,tika-pipes/tika-async-cli/src/main/java/org/apache/tika/async/cli/PluginsWriter.java:method=write|line=45,277.60,source=DesigniteJava-2.8.6.0; review_tier=strict_candidate; envied_type=SimpleAsyncConfig; designite_score=277.60; envied_access_hits=20; branch_hits=21; method_loc=94; tier_reason=service/repository/manager-style collaborator with dense access in production code; fetruth_match=none; static_test_evidence=direct_method_reference; jacoco_status=no_jacoco_xml_for_class; label_status=review_candidate_not_gold,tika-pipes/tika-async-cli/src/test/java/org/apache/tika/async/cli/TikaConfigAsyncWriterTest.java,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; TIKA_DEAD_CODE_MODULES=""tika-core,tika-encoding-detectors/tika-encoding-detector-mojibuster,tika-ml/tika-ml-chardetect,tika-ml/tika-ml-junkdetect,tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-mail-commons,tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module,tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module,tika-pipes/tika-pipes-plugins/tika-pipes-file-system,tika-server/tika-server-core""; ./mvnw -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Dossindex.skip -Dcheckstyle.skip=true -Dforbiddenapis.skip=true -pl ""$TIKA_DEAD_CODE_MODULES"" -am test '-Dtest=*CoverageBoost*,*_ESTest,HtmlByteStripper_ESTest,JunkDetectorSmokeTest,JunkDetectorRoundTripTest,MailDateParserTest,OneNotePtr_ESTest,OpenDocumentContentParserTest,HttpFetcherTest,TikaServerConfigTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false",sample_optimized,PASS_GE80,tika-pipes/tika-async-cli/src/test/java/org/apache/tika/async/cli/TikaConfigAsyncWriterTest.java,93.2,63e8558f2c56,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; ./mvnw -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Dossindex.skip -Dcheckstyle.skip=true -Dforbiddenapis.skip=true -pl tika-pipes/tika-async-cli -am -Dtest=TikaConfigAsyncWriterTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test",runner_test_location+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/designite_feature_envy_tika_sample2_contentonly_jacoco_20260621/direct/row_smell_coverage.csv,OK,feature_envy.csv,2,PASS,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
3,java,feature_envy,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/entities/comp/BuildingComp.java:method=onDestroyed|line=1454,247.00,"source=DesigniteJava-2.8.6.0; review_tier=weak; envied_type=Block; designite_score=247.00; envied_access_hits=26; branch_hits=11; method_loc=40; tier_reason=demoted: envied type is value/domain/protocol/log-like, not safe strict; fetruth_match=none; static_test_evidence=class_level_reference; jacoco_status=no_jacoco_xml_for_class; label_status=review_candidate_not_gold",,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; ./gradlew :tests:cleanTest :tests:test --tests MindustryBuildingCompCoverageBoost_ESTest --no-build-cache --no-daemon",sample_optimized,PASS_GE80,tests/src/test/java/MindustryBuildingCompCoverageBoost_ESTest.java,90.3,17cd5a7499a3,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; ./gradlew --offline :tests:test --tests MindustryBuildingCompCoverageBoost_ESTest --rerun-tasks --no-daemon",class_anchor+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/designite_feature_envy_mindustry_buildingcomp_3_20260621/row_smell_coverage.csv,OK,feature_envy.csv,3,VERIFY_FAILED,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
4,java,feature_envy,commons-compress,/opt/projects/commons-compress,src/main/java/org/apache/commons/compress/harmony/unpack200/Segment.java:method=buildClassFile|line=146,241.00,source=DesigniteJava-2.8.6.0; review_tier=weak; envied_type=ClassBands; designite_score=241.00; envied_access_hits=17; branch_hits=24; method_loc=138; tier_reason=production review candidate; not strong enough for strict without manual confirmation; fetruth_match=source_only:org.apache.commons.compress.harmony.unpack200.bytecode.ClassConstantPool; static_test_evidence=class_level_reference; jacoco_status=no_jacoco_xml_for_class; label_status=review_candidate_not_gold,,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Drat.skip=true test",sample_optimized,PASS_GE80,src/test/java/org/apache/commons/compress/harmony/unpack200/SegmentTest.java,89.4,c6148c966f88,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Drat.skip=true -Dtest=SegmentTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false",class_anchor+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/designite_feature_envy_commons_full_jacoco_20260621/row_smell_coverage.csv,OK,feature_envy.csv,4,PASS,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
5,java,feature_envy,canal-1.1.8,/opt/projects/canal-1.1.8,server/src/main/java/com/alibaba/otter/canal/admin/handler/SessionHandler.java:method=messageReceived|line=33,234.00,source=DesigniteJava-2.8.6.0; review_tier=strict_candidate; envied_type=CanalAdmin; designite_score=234.00; envied_access_hits=14; branch_hits=22; method_loc=108; tier_reason=service/repository/manager-style collaborator with dense access in production code; fetruth_match=none; static_test_evidence=direct_method_reference; jacoco_status=no_jacoco_xml_for_class; label_status=review_candidate_not_gold,server/src/test/java/com/alibaba/otter/canal/server/netty/handler/SessionHandlerCoverageBoostTest.java,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; CANAL_SMELL_MODULES=""client,client-adapter/clickhouse,client-adapter/common,client-adapter/es7x,client-adapter/es8x,client-adapter/escore,client-adapter/hbase,client-adapter/kudu,client-adapter/phoenix,client-adapter/rdb,client-adapter/tablestore,common,connector/core,dbsync,deployer,driver,instance/manager,meta,parse,prometheus,protocol,server,sink""; ./mvnw -V -B -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl ""$CANAL_SMELL_MODULES"" -am clean test -DskipTests=false '-Dtest=*CoverageBoost*,*RefusedBequest*' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false",sample_optimized,PASS_GE80,server/src/test/java/com/alibaba/otter/canal/server/netty/handler/SessionHandlerCoverageBoostTest.java,100.0,e7fd9fd39fdc,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; ./mvnw -V -B -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl server -am -Dtest=SessionHandlerCoverageBoostTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test",runner_test_location+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/canal-1.1.8_manual_batch_20260531_sessionhandler/row_smell_coverage.csv,OK,feature_envy.csv,60,PASS,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
6,java,feature_envy,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-kerb/kerb-server/src/main/java/org/apache/kerby/kerberos/kerb/server/request/TgsRequest.java:method=verifyAuthenticator|line=128,230.00,source=DesigniteJava-2.8.6.0; review_tier=weak; envied_type=Ticket; designite_score=230.00; envied_access_hits=12; branch_hits=41; method_loc=180; tier_reason=production review candidate; not strong enough for strict without manual confirmation; fetruth_match=none; static_test_evidence=direct_method_reference; jacoco_status=no_jacoco_xml_for_class; label_status=review_candidate_not_gold,kerby-kerb/kerb-server/src/test/java/org/apache/kerby/kerberos/kerb/server/ReviewOnlyServerScopeTest.java,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o -Djava.awt.headless=true -B -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -pl kerby-kerb/kerb-crypto -am test -Dtest=DesKeyMakerTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false",sample_optimized,PASS_GE80,kerby-kerb/kerb-kdc-test/src/test/java/org/apache/kerby/kerberos/kerb/server/CacheFileTest.java;kerby-kerb/kerb-server/src/test/java/org/apache/kerby/kerberos/kerb/server/request/TgsRequestCoverageBoostTest.java,80.4,c395d3e02455,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -o -Djava.awt.headless=true -B -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Dcheckstyle.skip=true -pl kerby-kerb/kerb-kdc-test -am -Dpmd.skip=true -Dcheckstyle.skip=true -Dtest=CacheFileTest,TgsRequestCoverageBoostTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test",manual_project_flow_and_branch_boost+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/designite_feature_envy_kerby_tgs_6_20260621/row_smell_coverage.csv,OK,feature_envy.csv,6,PASS,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
7,java,feature_envy,tika,/opt/projects/tika,tika-pipes/tika-pipes-plugins/tika-pipes-solr/src/main/java/org/apache/tika/pipes/iterator/solr/SolrPipesIterator.java:method=configure|line=71,229.80,source=DesigniteJava-2.8.6.0; review_tier=strict_candidate; envied_type=SolrPipesIteratorConfig; designite_score=229.80; envied_access_hits=19; branch_hits=12; method_loc=42; tier_reason=service/repository/manager-style collaborator with dense access in production code; fetruth_match=none; static_test_evidence=no_static_test_evidence; jacoco_status=no_jacoco_xml_for_class; label_status=review_candidate_not_gold,,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; TIKA_DEAD_CODE_MODULES=""tika-core,tika-encoding-detectors/tika-encoding-detector-mojibuster,tika-ml/tika-ml-chardetect,tika-ml/tika-ml-junkdetect,tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-mail-commons,tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module,tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module,tika-pipes/tika-pipes-plugins/tika-pipes-file-system,tika-server/tika-server-core""; ./mvnw -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Dossindex.skip -Dcheckstyle.skip=true -Dforbiddenapis.skip=true -pl ""$TIKA_DEAD_CODE_MODULES"" -am test '-Dtest=*CoverageBoost*,*_ESTest,HtmlByteStripper_ESTest,JunkDetectorSmokeTest,JunkDetectorRoundTripTest,MailDateParserTest,OneNotePtr_ESTest,OpenDocumentContentParserTest,HttpFetcherTest,TikaServerConfigTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false",sample_optimized,PASS_GE80,tika-pipes/tika-pipes-plugins/tika-pipes-solr/src/test/java/org/apache/tika/pipes/iterator/solr/SolrPipesIteratorTest.java,100.0,63e8558f2c56,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; ./mvnw -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Dossindex.skip -Dcheckstyle.skip=true -Dforbiddenapis.skip=true -pl tika-pipes/tika-pipes-plugins/tika-pipes-solr -am -Dtest=SolrPipesIteratorTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test",class_anchor+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/designite_feature_envy_tika_solr_iterator_7_20260621/row_smell_coverage.csv,OK,feature_envy.csv,7,PASS,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
8,java,feature_envy,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/common/src/main/java/stirling/software/common/service/JobExecutorService.java:method=processJobResult|line=273,209.00,source=DesigniteJava-2.8.6.0; review_tier=strict_candidate; envied_type=TaskManager; designite_score=209.00; envied_access_hits=11; branch_hits=26; method_loc=125; tier_reason=service/repository/manager-style collaborator with dense access in production code; fetruth_match=none; static_test_evidence=class_level_reference; jacoco_status=jacoco_method_covered; label_status=review_candidate_not_gold,,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; ./gradlew -PnoSpotless --offline --no-daemon :common:test -PnoSpotless --tests ""stirling.software.common.util.FileToPdfTest"" --tests ""stirling.software.common.util.GeneralUtilsTest"" --tests ""stirling.software.common.util.GeneralUtilsAdditionalTest"" --tests ""stirling.software.common.util.GeneralUtilsCoverageBoost_ESTest""; ./gradlew -PnoSpotless --offline --no-daemon :stirling-pdf:test -PnoSpotless --tests ""stirling.software.SPDF.controller.api.MergeControllerTest"" --tests ""stirling.software.SPDF.service.PdfJsonConversionServiceCoverageBoost_ESTest"" --tests ""stirling.software.SPDF.controller.api.misc.CompressControllerCoverageBoost_ESTest.optimizePdfRejectsMissingOptimizeInputs"" --tests ""stirling.software.SPDF.controller.api.misc.CompressControllerCoverageBoost_ESTest.optimizePdfAppliesImageCompressionPath"" --tests ""stirling.software.SPDF.controller.api.misc.CompressControllerCoverageBoost_ESTest.optimizePdfRejectsMissingLineArtService"" --tests ""stirling.software.SPDF.controller.api.misc.CompressControllerCoverageBoost_ESTest.optimizePdfRejectsLineArtWhenImageMagickDisabled"" --tests ""stirling.software.SPDF.controller.api.misc.CompressControllerCoverageBoost_ESTest.optimizePdfAppliesLineArtConversionPath"" --tests ""stirling.software.SPDF.controller.api.misc.CompressControllerCoverageBoost_ESTest.applyGhostscriptCompressionCoversLevelSwitches"" --tests ""stirling.software.SPDF.controller.api.misc.CompressControllerCoverageBoost_ESTest.applyGhostscriptCompressionCoversSuccessPath""",sample_optimized,PASS_GE80,app/common/src/test/java/stirling/software/common/service/JobExecutorServiceCoverageBoost_ESTest.java;app/common/src/test/java/stirling/software/common/service/JobExecutorServiceTest.java,81.4,b64483b67841,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export GRADLE_USER_HOME=""$BUILDENV/offline-home/.gradle""; ./gradlew -PnoSpotless --offline --no-daemon :common:test --tests stirling.software.common.service.JobExecutorServiceCoverageBoost_ESTest --tests stirling.software.common.service.JobExecutorServiceTest -PnoSpotless",class_anchor+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/designite_feature_envy_stirling_job_executor_8_20260621/row_smell_coverage.csv,OK,feature_envy.csv,8,PASS,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
9,java,feature_envy,tika,/opt/projects/tika,tika-pipes/tika-pipes-plugins/tika-pipes-s3/src/main/java/org/apache/tika/pipes/fetcher/s3/S3Fetcher.java:method=initialize|line=104,171.80,source=DesigniteJava-2.8.6.0; review_tier=strict_candidate; envied_type=S3FetcherConfig; designite_score=171.80; envied_access_hits=13; branch_hits=9; method_loc=47; tier_reason=service/repository/manager-style collaborator with dense access in production code; fetruth_match=none; static_test_evidence=class_level_reference; jacoco_status=no_jacoco_xml_for_class; label_status=review_candidate_not_gold,,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; TIKA_DEAD_CODE_MODULES=""tika-core,tika-encoding-detectors/tika-encoding-detector-mojibuster,tika-ml/tika-ml-chardetect,tika-ml/tika-ml-junkdetect,tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-mail-commons,tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module,tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module,tika-pipes/tika-pipes-plugins/tika-pipes-file-system,tika-server/tika-server-core""; ./mvnw -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Dossindex.skip -Dcheckstyle.skip=true -Dforbiddenapis.skip=true -pl ""$TIKA_DEAD_CODE_MODULES"" -am test '-Dtest=*CoverageBoost*,*_ESTest,HtmlByteStripper_ESTest,JunkDetectorSmokeTest,JunkDetectorRoundTripTest,MailDateParserTest,OneNotePtr_ESTest,OpenDocumentContentParserTest,HttpFetcherTest,TikaServerConfigTest' -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false",sample_optimized,PASS_GE80,tika-pipes/tika-pipes-plugins/tika-pipes-s3/src/test/java/org.apache.tika.pipes.fetcher.s3/TestS3Fetcher.java,94.1,63e8558f2c56,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; ./mvnw -o --errors --show-version --batch-mode --no-transfer-progress -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Dossindex.skip -Dcheckstyle.skip=true -Dforbiddenapis.skip=true -pl tika-pipes/tika-pipes-plugins/tika-pipes-s3 -am -Dtest=TestS3Fetcher -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test",class_anchor+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/designite_feature_envy_tika_s3_fetcher_9_20260621/row_smell_coverage.csv,OK,feature_envy.csv,9,PASS,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
10,java,feature_envy,h2database,/opt/projects/h2database,h2/src/main/org/h2/server/web/WebApp.java:method=tables|line=767,160.00,source=DesigniteJava-2.8.6.0; review_tier=strict_candidate; envied_type=WebSession; designite_score=160.00; envied_access_hits=8; branch_hits=12; method_loc=108; tier_reason=service/repository/manager-style collaborator with dense access in production code; fetruth_match=exact:org.h2.server.web.WebSession; static_test_evidence=class_level_reference; jacoco_status=no_jacoco_xml_for_class; label_status=review_candidate_not_gold,,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; cd ""${project_root}/h2""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; ./mvnw -o -B -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -DskipTests=false '-Dtest=H2CoverageBoost_ESTest,TestTokenizer_ESTest,TestToDateTokenizer_ESTest,TestMetaDataScope_ESTest,TestDateTimeTemplate_ESTest,TestGeometryScope_ESTest,TestInterval_ESTest,TestJSONTextSource_ESTest' test -DfailIfNoTests=false",sample_optimized,PASS_GE80,h2/src/test/org/h2/server/web/TestWebAppScope_ESTest.java,91.0,51e52a8d92d0,projects.yaml:project_full,"set -e; project_root=""$PWD""; BUILDENV=""/opt/buildenv""; cd ""${project_root}/h2""; export MAVEN_USER_HOME=""$BUILDENV/offline-home/.m2""; ./mvnw -o -B -gs ""$BUILDENV/maven-global-settings.xml"" -Dmaven.repo.local=""$MAVEN_USER_HOME/repository"" -Dpmd.skip=true -Dtest=TestWebAppScope_ESTest test -DfailIfNoTests=false",class_anchor+self_contained_env,/Users/a1-6/Code/Extension_develop/smell_datasets/evosuite_runs/designite_feature_envy_h2_web_scope_10_26_43_60_20260621/sample_10/row_smell_coverage.csv,OK,feature_envy.csv,10,PASS,/Users/a1-6/Code/Extension_develop/opencode-java-smell/runs/designite-fe-v1-100-glm47-idea-keep240-projectfull-20260620,primary command is project_full to avoid sample-test-missing failures; focused_test_command is retained when static anchors exist
