sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_false_positive,evidence,class,host_class,fp_reason,test_status,test_file,test_command,test_coverage,test_commit
1,java,god_class,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/core/src/main/java/stirling/software/SPDF/controller/api/security/GetInfoOnPDF.java,getPdfInfo,469,1001,116,app/core/src/main/java/stirling/software/SPDF/controller/api/security/GetInfoOnPDF.java:80,0,nom=19;nof=2;wmc=116;loc=931;atfd=398,GetInfoOnPDF,,,PASS_GE80,app/core/src/test/java/stirling/software/SPDF/controller/api/security/GetInfoOnPDFCoverageBoost_ESTest.java,./gradlew -PnoSpotless :stirling-pdf:cleanTest :stirling-pdf:test --tests stirling.software.SPDF.controller.api.security.GetInfoOnPDFCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,bc351d8a349a
2,java,god_class,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/NetServer.java,registerCommands,313,491,168,core/src/mindustry/core/NetServer.java:36,0,nom=37;nof=32;wmc=168;loc=1149;atfd=183,NetServer,,,PASS_GE80,tests/src/test/java/MindustryNetServerCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryNetServerCoverageBoost_ESTest --no-build-cache --no-daemon,89.2,acde88dcdf
3,java,god_class,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,annotations/src/main/java/mindustry/annotations/entity/EntityProcess.java,process,53,876,127,annotations/src/main/java/mindustry/annotations/entity/EntityProcess.java:24,0,nom=11;nof=16;wmc=127;loc=1014;atfd=209,EntityProcess,,,PASS_GE80,tests/src/test/java/MindustryEntityIOCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryEntityIOCoverageBoost_ESTest --no-build-cache --no-daemon,84.1,acde88dcdf58
4,java,god_class,canal-1.1.8,/opt/projects/canal-1.1.8,parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/dbsync/LogEventConvert.java,parseOneRow,609,889,188,parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/dbsync/LogEventConvert.java:56,0,nom=48;nof=29;wmc=188;loc=1068;atfd=155,LogEventConvert,,,PASS_GE80,parse/src/test/java/com/alibaba/otter/canal/parse/inbound/mysql/dbsync/LogEventConvertCoverageBoostTest.java;parse/src/test/java/com/alibaba/otter/canal/parse/inbound/mysql/dbsync/LogEventConvertCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl parse -am -Dtest=LogEventConvertCoverageBoostTest,LogEventConvertCoverageBoost_ESTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false",83.3,60d4ee828f89
5,java,god_class,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/io/TypeIO.java,writeObject,40,139,228,core/src/mindustry/io/TypeIO.java:36,0,nom=103;nof=2;wmc=228;loc=1146;atfd=105,TypeIO,,,PASS_GE80,tests/src/test/java/MindustryTypeIOCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryTypeIOCoverageBoost_ESTest --no-build-cache --no-daemon,84.8,acde88dcdf
6,java,god_class,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/core/src/main/java/stirling/software/SPDF/controller/api/misc/CompressController.java,optimizePdf,661,845,114,app/core/src/main/java/stirling/software/SPDF/controller/api/misc/CompressController.java:57,0,nom=31;nof=3;wmc=114;loc=1037;atfd=188,CompressController,,,PASS_GE80,app/core/src/test/java/stirling/software/SPDF/controller/api/misc/CompressControllerCoverageBoost_ESTest.java,./gradlew -PnoSpotless :stirling-pdf:cleanTest :stirling-pdf:test --tests stirling.software.SPDF.controller.api.misc.CompressControllerCoverageBoost_ESTest --no-build-cache --no-daemon,90.6,bc351d8a349a
7,java,god_class,mybatis-3,/opt/projects/mybatis-3,src/main/java/org/apache/ibatis/session/Configuration.java,parsePendingResultMaps,1034,1062,162,src/main/java/org/apache/ibatis/session/Configuration.java:103,0,nom=143;nof=56;wmc=162;loc=1109;atfd=126,Configuration,,,TEST_PRESENT_BELOW80,src/test/java/org/apache/ibatis/session/ConfigurationBoost_ESTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dmaven.plugin.validation=NONE -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Dtest=ConfigurationBoost_ESTest test -DfailIfNoTests=false,40.0,a656d34
8,java,god_class,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/core/src/main/java/stirling/software/SPDF/service/CertificateValidationService.java,parseTslAndAddCas,754,818,102,app/core/src/main/java/stirling/software/SPDF/service/CertificateValidationService.java:48,0,nom=28;nof=8;wmc=102;loc=816;atfd=192,CertificateValidationService,,,TEST_PRESENT_BELOW80,app/core/src/test/java/stirling/software/SPDF/service/AttachmentServiceTest.java;app/core/src/test/java/stirling/software/SPDF/service/CertificateValidationServiceTest.java;app/core/src/test/java/stirling/software/SPDF/service/LanguageServiceBasicTest.java;app/core/src/test/java/stirling/software/SPDF/service/LanguageServiceTest.java;app/core/src/test/java/stirling/software/SPDF/service/PdfImageRemovalServiceTest.java;app/core/src/test/java/stirling/software/SPDF/service/PdfJsonConversionServiceCoverageBoost_ESTest.java;app/core/src/test/java/stirling/software/SPDF/service/PdfJsonCosMapperCoverageBoost_ESTest.java;app/core/src/test/java/stirling/software/SPDF/service/PdfMetadataServiceBasicTest.java;app/core/src/test/java/stirling/software/SPDF/service/PdfMetadataServiceTest.java;app/core/src/test/java/stirling/software/SPDF/service/SignatureServiceTest.java;app/core/src/test/java/stirling/software/SPDF/service/pdfjson/PdfJsonImageServiceCoverageBoost_ESTest.java;app/core/src/test/java/stirling/software/SPDF/service/pdfjson/PdfJsonMetadataServiceCoverageBoost_ESTest.java,./gradlew -PnoSpotless :stirling-pdf:cleanTest :stirling-pdf:test --tests stirling.software.SPDF.service.AttachmentServiceTest --tests stirling.software.SPDF.service.CertificateValidationServiceTest --tests stirling.software.SPDF.service.LanguageServiceBasicTest --tests stirling.software.SPDF.service.LanguageServiceTest --tests stirling.software.SPDF.service.PdfImageRemovalServiceTest --tests stirling.software.SPDF.service.PdfJsonConversionServiceCoverageBoost_ESTest --tests stirling.software.SPDF.service.PdfJsonCosMapperCoverageBoost_ESTest --tests stirling.software.SPDF.service.PdfMetadataServiceBasicTest --tests stirling.software.SPDF.service.PdfMetadataServiceTest --tests stirling.software.SPDF.service.SignatureServiceTest --tests stirling.software.SPDF.service.pdfjson.PdfJsonImageServiceCoverageBoost_ESTest --tests stirling.software.SPDF.service.pdfjson.PdfJsonMetadataServiceCoverageBoost_ESTest --no-build-cache --no-daemon,0.0,bc351d8a349a
9,java,god_class,mybatis-3,/opt/projects/mybatis-3,src/main/java/org/apache/ibatis/executor/resultset/DefaultResultSetHandler.java,createAutomaticMappings,534,578,167,src/main/java/org/apache/ibatis/executor/resultset/DefaultResultSetHandler.java:77,0,nom=65;nof=19;wmc=167;loc=1198;atfd=171,DefaultResultSetHandler,,,TEST_PRESENT_NO_COVERAGE,src/test/java/org/apache/ibatis/executor/resultset/DefaultResultSetHandlerTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dmaven.plugin.validation=NONE -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Dtest=DefaultResultSetHandlerTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,,e366cb7ee72e
10,java,god_class,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/common/src/main/java/stirling/software/common/util/GeneralUtils.java,convertSizeToBytes,380,433,118,app/common/src/main/java/stirling/software/common/util/GeneralUtils.java:32,0,nom=36;nof=6;wmc=118;loc=941;atfd=170,GeneralUtils,,,TEST_PRESENT_NO_COVERAGE,app/common/src/test/java/stirling/software/common/util/GeneralUtilsCoverageBoost_ESTest.java;app/common/src/test/java/stirling/software/common/util/GeneralUtilsTest.java,./gradlew -PnoSpotless :common:cleanTest :common:test --tests stirling.software.common.util.GeneralUtilsCoverageBoost_ESTest --tests stirling.software.common.util.GeneralUtilsTest --no-build-cache --no-daemon,,84b47783c530
