sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,reported_occurrence_count,listed_occurrence_count,group_occurrences,test_status,test_file,test_command,verification_mode,test_coverage,test_commit,target_context_json
1,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,annotations/src/main/java/mindustry/annotations/entity/EntityIO.java:method=io|line=224,61.0,"The method 'io(String, String, boolean)' has a NCSS line count of 61.",1,1,"{""file"": ""annotations/src/main/java/mindustry/annotations/entity/EntityIO.java"", ""class"": ""EntityIO"", ""method"": ""io"", ""begin_line"": ""224"", ""end_line"": ""224""}",PASS_GE80,tests/src/test/java/MindustryEntityIOCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryEntityIOCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,96.1,acde88dcdf,"{""target_class"":""EntityIO""}"
2,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,annotations/src/main/java/mindustry/annotations/impl/StructProcess.java:method=process|line=24,62.0,The method 'process(RoundEnvironment)' has a NCSS line count of 62.,1,1,"{""file"": ""annotations/src/main/java/mindustry/annotations/impl/StructProcess.java"", ""class"": ""StructProcess"", ""method"": ""process"", ""begin_line"": ""24"", ""end_line"": ""24""}",PASS_GE80,tests/src/test/java/MindustryStructProcessCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryStructProcessCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""StructProcess""}"
3,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,annotations/src/main/java/mindustry/annotations/remote/CallGenerator.java:method=writeCallMethod|line=215,62.0,"The method 'writeCallMethod(Builder, MethodEntry, boolean, boolean)' has a NCSS line count of 62.",1,1,"{""file"": ""annotations/src/main/java/mindustry/annotations/remote/CallGenerator.java"", ""class"": ""CallGenerator"", ""method"": ""writeCallMethod"", ""begin_line"": ""215"", ""end_line"": ""215""}",PASS_GE80,tests/src/test/java/MindustryCallGeneratorCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryCallGeneratorCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,91.7,acde88dcdf,"{""target_class"":""CallGenerator""}"
4,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/ClientLauncher.java:method=setup|line=38,65.0,The method 'setup()' has a NCSS line count of 65.,1,1,"{""file"": ""core/src/mindustry/ClientLauncher.java"", ""class"": ""ClientLauncher"", ""method"": ""setup"", ""begin_line"": ""38"", ""end_line"": ""38""}",REVIEW_WITH_SUBSTITUTE_TEST,tests/src/test/java/MindustryReviewOnlySourceAnchor_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryReviewOnlySourceAnchor_ESTest --no-build-cache --no-daemon,sample_optimized,-1,06a1397d310b,"{""target_class"":""ClientLauncher""}"
5,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/Renderer.java:method=update|line=152,71.0,The method 'update()' has a NCSS line count of 71.,1,1,"{""file"": ""core/src/mindustry/core/Renderer.java"", ""class"": ""Renderer"", ""method"": ""update"", ""begin_line"": ""152"", ""end_line"": ""152""}",REVIEW_WITH_SUBSTITUTE_TEST,tests/src/test/java/MindustryReviewOnlySourceAnchor_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryReviewOnlySourceAnchor_ESTest --no-build-cache --no-daemon,sample_optimized,-1,06a1397d310b,"{""target_class"":""Renderer""}"
6,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/Renderer.java:method=draw|line=300,65.0,The method 'draw()' has a NCSS line count of 65.,1,1,"{""file"": ""core/src/mindustry/core/Renderer.java"", ""class"": ""Renderer"", ""method"": ""draw"", ""begin_line"": ""300"", ""end_line"": ""300""}",REVIEW_WITH_SUBSTITUTE_TEST,tests/src/test/java/MindustryReviewOnlySourceAnchor_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryReviewOnlySourceAnchor_ESTest --no-build-cache --no-daemon,sample_optimized,-1,06a1397d310b,"{""target_class"":""Renderer""}"
7,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/editor/EditorSpriteCache.java:method=draw|line=58,64.0,"The method 'draw(TextureRegion, float, float, float, float, float, float, float, float)' has a NCSS line count of 64.",1,1,"{""file"": ""core/src/mindustry/editor/EditorSpriteCache.java"", ""class"": ""EditorSpriteCache"", ""method"": ""draw"", ""begin_line"": ""58"", ""end_line"": ""58""}",PASS_GE80,tests/src/test/java/mindustry/editor/MindustryEditorSpriteCacheCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests mindustry.editor.MindustryEditorSpriteCacheCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""EditorSpriteCache""}"
8,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/editor/EditorTool.java:method=touched|line=105,67.0,"The method 'touched(int, int)' has a NCSS line count of 67.",1,1,"{""file"": ""core/src/mindustry/editor/EditorTool.java"", ""class"": ""EditorTool"", ""method"": ""touched"", ""begin_line"": ""105"", ""end_line"": ""105""}",PASS_GE80,tests/src/test/java/mindustry/editor/MindustryEditorToolCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests mindustry.editor.MindustryEditorToolCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""EditorTool""}"
9,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/game/FogControl.java:method=update|line=189,68.0,The method 'update()' has a NCSS line count of 68.,1,1,"{""file"": ""core/src/mindustry/game/FogControl.java"", ""class"": ""FogControl"", ""method"": ""update"", ""begin_line"": ""189"", ""end_line"": ""189""}",PASS_GE80,tests/src/test/java/MindustryFogControlCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryFogControlCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,98.6,acde88dcdf,"{""target_class"":""FogControl""}"
10,java,long_method,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/graphics/FloorRenderer.java:method=draw|line=428,66.0,"The method 'draw(TextureRegion, float, float, float, float, float, float, float)' has a NCSS line count of 66.",1,1,"{""file"": ""core/src/mindustry/graphics/FloorRenderer.java"", ""class"": ""FloorRenderer.FloorRenderBatch"", ""method"": ""draw"", ""begin_line"": ""428"", ""end_line"": ""428""}",PASS_GE80,tests/src/test/java/mindustry/graphics/MindustryFloorRendererCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests mindustry.graphics.MindustryFloorRendererCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""FloorRenderer.FloorRenderBatch""}"
