sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,reported_occurrence_count,listed_occurrence_count,group_occurrences,test_status,test_file,test_command,verification_mode,test_coverage,test_commit,target_context_json
1,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,annotations/src/main/java/mindustry/annotations/entity/EntityProcess.java:method=GroupDefinition|line=991,6.0,Avoid long parameter lists (6 parameters - threshold is 6).,1,1,"{""file"": ""annotations/src/main/java/mindustry/annotations/entity/EntityProcess.java"", ""class"": ""EntityProcess.GroupDefinition"", ""method"": ""GroupDefinition"", ""begin_line"": ""991"", ""end_line"": ""991""}",PASS_GE80,tests/src/test/java/MindustryEntityIOCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryEntityIOCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf58,"{""target_class"":""EntityProcess.GroupDefinition""}"
2,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/ai/RtsAI.java:method=findTarget|line=279,8.0,Avoid long parameter lists (8 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/ai/RtsAI.java"", ""class"": ""RtsAI"", ""method"": ""findTarget"", ""begin_line"": ""279"", ""end_line"": ""279""}",PASS_GE80,tests/src/test/java/MindustryReviewOnlySourceAnchor_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryReviewOnlySourceAnchor_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""RtsAI""}"
3,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/NetClient.java:method=effect|line=219,6.0,Avoid long parameter lists (6 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/core/NetClient.java"", ""class"": ""NetClient"", ""method"": ""effect"", ""begin_line"": ""219"", ""end_line"": ""219""}",PASS_GE80,tests/src/test/java/NetClientCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests NetClientCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""NetClient""}"
4,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/NetServer.java:method=clientSnapshot|line=638,22.0,Avoid long parameter lists (22 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/core/NetServer.java"", ""class"": ""NetServer"", ""method"": ""clientSnapshot"", ""begin_line"": ""638"", ""end_line"": ""651""}",PASS_GE80,tests/src/test/java/MindustryNetServerCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryNetServerCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,98.9,acde88dcdf,"{""target_class"":""NetServer""}"
5,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/UI.java:method=showTextInput|line=283,7.0,Avoid long parameter lists (7 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/core/UI.java"", ""class"": ""UI"", ""method"": ""showTextInput"", ""begin_line"": ""283"", ""end_line"": ""283""}",PASS_GE80,tests/src/test/java/MindustryBuildCoverageBoost_ESTest.java;tests/src/test/java/MindustryConduitCoverageBoost_ESTest.java;tests/src/test/java/MindustryLiquidBlockCoverageBoost_ESTest.java;tests/src/test/java/MindustryMeshBuilderCoverageBoost_ESTest.java;tests/src/test/java/MindustryUICoverageBoost_ESTest.java;tests/src/test/java/meshbuilder_batch/MindustryMeshBuilderCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryBuildCoverageBoost_ESTest --tests MindustryConduitCoverageBoost_ESTest --tests MindustryLiquidBlockCoverageBoost_ESTest --tests MindustryMeshBuilderCoverageBoost_ESTest --tests MindustryUICoverageBoost_ESTest --tests meshbuilder_batch.MindustryMeshBuilderCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf58,"{""target_class"":""UI""}"
6,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/core/UI.java:method=showCustomConfirm|line=570,6.0,Avoid long parameter lists (6 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/core/UI.java"", ""class"": ""UI"", ""method"": ""showCustomConfirm"", ""begin_line"": ""570"", ""end_line"": ""570""}",PASS_GE80,tests/src/test/java/MindustryBuildCoverageBoost_ESTest.java;tests/src/test/java/MindustryConduitCoverageBoost_ESTest.java;tests/src/test/java/MindustryLiquidBlockCoverageBoost_ESTest.java;tests/src/test/java/MindustryUICoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryBuildCoverageBoost_ESTest --tests MindustryConduitCoverageBoost_ESTest --tests MindustryLiquidBlockCoverageBoost_ESTest --tests MindustryUICoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf58,"{""target_class"":""UI""}"
7,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/editor/EditorSpriteCache.java:method=draw|line=58,9.0,Avoid long parameter lists (9 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/editor/EditorSpriteCache.java"", ""class"": ""EditorSpriteCache"", ""method"": ""draw"", ""begin_line"": ""58"", ""end_line"": ""58""}",PASS_GE80,tests/src/test/java/mindustry/editor/MindustryEditorSpriteCacheCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests mindustry.editor.MindustryEditorSpriteCacheCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""EditorSpriteCache""}"
8,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/editor/MapObjectivesDialog.java:method=build|line=709,8.0,Avoid long parameter lists (8 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/editor/MapObjectivesDialog.java"", ""class"": ""MapObjectivesDialog.FieldInterpreter"", ""method"": ""build"", ""begin_line"": ""709"", ""end_line"": ""713""}",EVALUATOR_UNAVAILABLE_WITH_TEST,tests/src/test/java/mapobjectives_batch/MindustryMapObjectivesDialogCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests mapobjectives_batch.MindustryMapObjectivesDialogCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,-1,acde88dcdf58,"{""target_class"":""MapObjectivesDialog.FieldInterpreter""}"
9,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/entities/Damage.java:method=dynamicExplosion|line=73,7.0,Avoid long parameter lists (7 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/entities/Damage.java"", ""class"": ""Damage"", ""method"": ""dynamicExplosion"", ""begin_line"": ""73"", ""end_line"": ""73""}",PASS_GE80,tests/src/test/java/MindustryDamageCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryDamageCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""Damage""}"
10,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/entities/Damage.java:method=dynamicExplosion|line=93,11.0,Avoid long parameter lists (11 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/entities/Damage.java"", ""class"": ""Damage"", ""method"": ""dynamicExplosion"", ""begin_line"": ""93"", ""end_line"": ""93""}",PASS_GE80,tests/src/test/java/MindustryDamageCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryDamageCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,84.0,acde88dcdf,"{""target_class"":""Damage""}"
11,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/entities/Damage.java:method=collideLine|line=232,6.0,Avoid long parameter lists (6 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/entities/Damage.java"", ""class"": ""Damage"", ""method"": ""collideLine"", ""begin_line"": ""232"", ""end_line"": ""232""}",PASS_GE80,tests/src/test/java/MindustryDamageCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryDamageCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""Damage""}"
12,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/entities/Damage.java:method=damage|line=467,7.0,Avoid long parameter lists (7 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/entities/Damage.java"", ""class"": ""Damage"", ""method"": ""damage"", ""begin_line"": ""467"", ""end_line"": ""467""}",PASS_GE80,tests/src/test/java/MindustryDamageCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryDamageCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""Damage""}"
13,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/entities/Effect.java:method=decal|line=234,6.0,Avoid long parameter lists (6 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/entities/Effect.java"", ""class"": ""Effect"", ""method"": ""decal"", ""begin_line"": ""234"", ""end_line"": ""234""}",PASS_GE80,tests/src/test/java/MindustryEffectCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryEffectCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""Effect""}"
14,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/entities/bullet/MultiBulletType.java:method=create|line=45,14.0,Avoid long parameter lists (14 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/entities/bullet/MultiBulletType.java"", ""class"": ""MultiBulletType"", ""method"": ""create"", ""begin_line"": ""45"", ""end_line"": ""48""}",PASS_GE80,tests/src/test/java/MindustryMultiBulletTypeCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryMultiBulletTypeCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""MultiBulletType""}"
15,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/graphics/Drawf.java:method=laser|line=448,7.0,Avoid long parameter lists (7 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/graphics/Drawf.java"", ""class"": ""Drawf"", ""method"": ""laser"", ""begin_line"": ""448"", ""end_line"": ""448""}",PASS_GE80,tests/src/test/java/drawf_laser_construct_batch/MindustryDrawfLaserConstructCoverageBoostHarness.java;tests/src/test/java/drawf_laser_construct_batch/MindustryDrawfLaserConstructCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryDrawfLaserConstructCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf58,"{""target_class"":""Drawf""}"
16,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/graphics/Drawf.java:method=construct|line=487,7.0,Avoid long parameter lists (7 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/graphics/Drawf.java"", ""class"": ""Drawf"", ""method"": ""construct"", ""begin_line"": ""487"", ""end_line"": ""487""}",PASS_GE80,tests/src/test/java/drawf_laser_construct_batch/MindustryDrawfLaserConstructCoverageBoostHarness.java;tests/src/test/java/drawf_laser_construct_batch/MindustryDrawfLaserConstructCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryDrawfLaserConstructCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf58,"{""target_class"":""Drawf""}"
17,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/graphics/ParticleRenderer.java:method=add|line=112,8.0,Avoid long parameter lists (8 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/graphics/ParticleRenderer.java"", ""class"": ""ParticleRenderer"", ""method"": ""add"", ""begin_line"": ""112"", ""end_line"": ""112""}",PASS_GE80,tests/src/test/java/MindustryParticleRendererCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryParticleRendererCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""ParticleRenderer""}"
18,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/graphics/g3d/HexSkyMesh.java:method=HexSkyMesh|line=16,10.0,Avoid long parameter lists (10 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/graphics/g3d/HexSkyMesh.java"", ""class"": ""HexSkyMesh"", ""method"": ""HexSkyMesh"", ""begin_line"": ""16"", ""end_line"": ""16""}",REVIEW_WITH_SUBSTITUTE_TEST,tests/src/test/java/MindustryReviewOnlySourceAnchor_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryReviewOnlySourceAnchor_ESTest --no-build-cache --no-daemon,sample_optimized,-1,06a1397d310b,"{""target_class"":""HexSkyMesh""}"
19,java,long_parameter_list,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/graphics/g3d/MeshBuilder.java:method=vert|line=266,8.0,Avoid long parameter lists (8 parameters - threshold is 6).,1,1,"{""file"": ""core/src/mindustry/graphics/g3d/MeshBuilder.java"", ""class"": ""MeshBuilder"", ""method"": ""vert"", ""begin_line"": ""266"", ""end_line"": ""266""}",PASS_GE80,tests/src/test/java/MindustryReviewOnlySourceAnchor_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryReviewOnlySourceAnchor_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf58,"{""target_class"":""MeshBuilder""}"
