sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,reported_occurrence_count,listed_occurrence_count,group_occurrences,test_status,test_file,test_command,test_coverage,test_commit
1,java,mysterious_name,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/ai/ControlPathfinder.java:636,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""core/src/mindustry/ai/ControlPathfinder.java"", ""class"": ""ControlPathfinder"", ""method"": ""innerAstar(int team, PathCost cost, int minX, int minY, int maxX, int maxY, int startPos, int goalPos, int goalX1, int goalY1, int goalX2, int goalY2)"", ""begin_line"": ""636"", ""end_line"": ""636""}",PASS_GE80,tests/src/test/java/MindustryControlPathfinderCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryControlPathfinderCoverageBoost_ESTest --no-build-cache --no-daemon,81.2,acde88dcdf
2,java,mysterious_name,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/game/FogControl.java:539,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""core/src/mindustry/game/FogControl.java"", ""class"": ""FogControl"", ""method"": ""hline(Bits arr, int x1, int x2, int y)"", ""begin_line"": ""539"", ""end_line"": ""539""}",PASS_GE80,tests/src/test/java/MindustryFogControlCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryFogControlCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,acde88dcdf
3,java,mysterious_name,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/world/blocks/campaign/LandingPad.java:165,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""core/src/mindustry/world/blocks/campaign/LandingPad.java"", ""class"": ""LandingPadBuild"", ""method"": ""updateTimers()"", ""begin_line"": ""165"", ""end_line"": ""165""}",PASS_GE80,tests/src/test/java/MindustryLandingPadCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryLandingPadCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,acde88dcdf
4,java,mysterious_name,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/common/src/main/java/stirling/software/common/model/ApplicationProperties.java:476,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""app/common/src/main/java/stirling/software/common/model/ApplicationProperties.java"", ""class"": ""TempFileManagement"", ""method"": ""getBaseTmpDir()"", ""begin_line"": ""476"", ""end_line"": ""476""}",PASS_GE80,app/common/src/test/java/stirling/software/common/model/ApplicationPropertiesCoverageBoost_ESTest.java;app/common/src/test/java/stirling/software/common/model/ApplicationPropertiesDynamicYamlPropertySourceTest.java;app/common/src/test/java/stirling/software/common/model/ApplicationPropertiesLogicTest.java;app/common/src/test/java/stirling/software/common/model/ApplicationPropertiesSaml2HttpTest.java;app/common/src/test/java/stirling/software/common/model/ApplicationPropertiesSaml2ResourceTest.java;app/common/src/test/java/stirling/software/common/model/FileInfoTest.java;app/common/src/test/java/stirling/software/common/model/InputStreamTemplateResourceTest.java;app/common/src/test/java/stirling/software/common/model/oauth2/ProviderCoverageBoost_ESTest.java,./gradlew -PnoSpotless :common:cleanTest :common:test --tests stirling.software.common.model.ApplicationPropertiesCoverageBoost_ESTest --tests stirling.software.common.model.ApplicationPropertiesDynamicYamlPropertySourceTest --tests stirling.software.common.model.ApplicationPropertiesLogicTest --tests stirling.software.common.model.ApplicationPropertiesSaml2HttpTest --tests stirling.software.common.model.ApplicationPropertiesSaml2ResourceTest --tests stirling.software.common.model.FileInfoTest --tests stirling.software.common.model.InputStreamTemplateResourceTest --tests stirling.software.common.model.oauth2.ProviderCoverageBoost_ESTest --no-build-cache --no-daemon,100.0,bc351d8a349a
5,java,mysterious_name,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/common/src/main/java/stirling/software/common/util/GeneralUtils.java:846,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""app/common/src/main/java/stirling/software/common/util/GeneralUtils.java"", ""class"": ""GeneralUtils"", ""method"": ""copyResourceToFile(ClassPathResource resource, Path target)"", ""begin_line"": ""846"", ""end_line"": ""846""}",PASS_GE80,app/common/src/test/java/stirling/software/common/util/GeneralUtilsAdditionalTest.java;app/common/src/test/java/stirling/software/common/util/GeneralUtilsCoverageBoost_ESTest.java;app/common/src/test/java/stirling/software/common/util/GeneralUtilsTest.java,./gradlew -PnoSpotless :common:cleanTest :common:test --tests stirling.software.common.util.GeneralUtilsAdditionalTest --tests stirling.software.common.util.GeneralUtilsCoverageBoost_ESTest --tests stirling.software.common.util.GeneralUtilsTest --no-build-cache --no-daemon,80.8,bc351d8a349a
6,java,mysterious_name,canal-1.1.8,/opt/projects/canal-1.1.8,client-adapter/common/src/main/java/com/alibaba/otter/canal/client/adapter/support/URLClassExtensionLoader.java:47,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""client-adapter/common/src/main/java/com/alibaba/otter/canal/client/adapter/support/URLClassExtensionLoader.java"", ""class"": ""URLClassExtensionLoader"", ""method"": ""getResources(String name)"", ""begin_line"": ""47"", ""end_line"": ""47""}",PASS_GE80,client-adapter/common/src/test/java/com/alibaba/otter/canal/client/adapter/support/URLClassExtensionLoaderBackfillTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl client-adapter/common -am -Dtest=URLClassExtensionLoaderBackfillTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false,100.0,e7fd9fd39fdc
7,java,mysterious_name,canal-1.1.8,/opt/projects/canal-1.1.8,connector/core/src/main/java/com/alibaba/otter/canal/connector/core/spi/URLClassExtensionLoader.java:45,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""connector/core/src/main/java/com/alibaba/otter/canal/connector/core/spi/URLClassExtensionLoader.java"", ""class"": ""URLClassExtensionLoader"", ""method"": ""getResources(String name)"", ""begin_line"": ""45"", ""end_line"": ""45""}",PASS_GE80,connector/core/src/test/java/com/alibaba/otter/canal/connector/core/spi/URLClassExtensionLoaderBackfillTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl connector/core -am -Dtest=URLClassExtensionLoaderBackfillTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false,100.0,e7fd9fd39fdc
8,java,mysterious_name,commons-lang-3.20.0,/opt/projects/commons-lang-3.20.0,src/main/java/org/apache/commons/lang3/ArrayUtils.java:6541,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""src/main/java/org/apache/commons/lang3/ArrayUtils.java"", ""class"": ""ArrayUtils"", ""method"": ""reverse(final boolean[] array, final int startIndexInclusive, final int endIndexExclusive)"", ""begin_line"": ""6541"", ""end_line"": ""6541""}",PASS_GE80,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Drat.skip=true -Dtest=ArrayUtilsTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,100.0,0378b992b4bf
9,java,mysterious_name,commons-lang-3.20.0,/opt/projects/commons-lang-3.20.0,src/main/java/org/apache/commons/lang3/ArrayUtils.java:6587,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""src/main/java/org/apache/commons/lang3/ArrayUtils.java"", ""class"": ""ArrayUtils"", ""method"": ""reverse(final byte[] array, final int startIndexInclusive, final int endIndexExclusive)"", ""begin_line"": ""6587"", ""end_line"": ""6587""}",PASS_GE80,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Drat.skip=true -Dtest=ArrayUtilsTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,100.0,0378b992b4bf
10,java,mysterious_name,commons-lang-3.20.0,/opt/projects/commons-lang-3.20.0,src/main/java/org/apache/commons/lang3/ArrayUtils.java:6633,1.0,local=tmp; reason=low_info_name; label_strength=medium_high_tp; replacement_source=java_mysterious_name_strict_candidates_20260529_1315,1,1,"{""file"": ""src/main/java/org/apache/commons/lang3/ArrayUtils.java"", ""class"": ""ArrayUtils"", ""method"": ""reverse(final char[] array, final int startIndexInclusive, final int endIndexExclusive)"", ""begin_line"": ""6633"", ""end_line"": ""6633""}",PASS_GE80,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Drat.skip=true -Dtest=ArrayUtilsTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,100.0,0378b992b4bf
