sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,reported_occurrence_count,listed_occurrence_count,group_occurrences,test_status,test_file,test_command,test_coverage,test_commit,test_oracle_sha256
1,java,refused_bequest,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-kerb/kerb-admin/src/main/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImpl.java:method=addPrincipal|line=145,1.0,quality=STRICT_PASS; parents=Kadmin; flags=empty_override; refactor_path=complete_remote_request_overload; target_contract=addPrincipal_String_String_KOptions,1,1,,PASS_GE80,kerby-kerb/kerb-admin/src/test/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImplRefusedBequestTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Pjdk18 -Dpmd.skip=true -pl kerby-kerb/kerb-admin -am -Dtest=RemoteKadminImplRefusedBequestTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,100.0,75cf12a60e7e7fada42adec9c2ef21d367b6be07
2,java,refused_bequest,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-kerb/kerb-admin/src/main/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImpl.java:method=exportKeytab|line=176,1.0,quality=STRICT_PASS; parents=Kadmin; flags=empty_override; refactor_path=delegate_to_existing_overload; target_contract=exportKeytab_File,1,1,,PASS_GE80,kerby-kerb/kerb-admin/src/test/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImplRefusedBequestTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Pjdk18 -Dpmd.skip=true -pl kerby-kerb/kerb-admin -am -Dtest=RemoteKadminImplRefusedBequestTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,100.0,75cf12a60e7e7fada42adec9c2ef21d367b6be07
3,java,refused_bequest,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-kerb/kerb-admin/src/main/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImpl.java:method=removeKeytabEntriesOf|line=181,1.0,quality=STRICT_PASS; parents=Kadmin; flags=empty_override; refactor_path=use_existing_keytab_helper; target_contract=removeKeytabEntriesOf_File_String,1,1,,PASS_GE80,kerby-kerb/kerb-admin/src/test/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImplRefusedBequestTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Pjdk18 -Dpmd.skip=true -pl kerby-kerb/kerb-admin -am -Dtest=RemoteKadminImplRefusedBequestTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,100.0,75cf12a60e7e7fada42adec9c2ef21d367b6be07
4,java,refused_bequest,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-kerb/kerb-admin/src/main/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImpl.java:method=removeKeytabEntriesOf|line=187,1.0,quality=STRICT_PASS; parents=Kadmin; flags=empty_override; refactor_path=use_existing_keytab_helper; target_contract=removeKeytabEntriesOf_File_String_int,1,1,,PASS_GE80,kerby-kerb/kerb-admin/src/test/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImplRefusedBequestTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Pjdk18 -Dpmd.skip=true -pl kerby-kerb/kerb-admin -am -Dtest=RemoteKadminImplRefusedBequestTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,100.0,75cf12a60e7e7fada42adec9c2ef21d367b6be07
5,java,refused_bequest,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-kerb/kerb-admin/src/main/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImpl.java:method=removeOldKeytabEntriesOf|line=193,1.0,quality=STRICT_PASS; parents=Kadmin; flags=empty_override; refactor_path=use_existing_keytab_helper; target_contract=removeOldKeytabEntriesOf_File_String,1,1,,PASS_GE80,kerby-kerb/kerb-admin/src/test/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImplRefusedBequestTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Pjdk18 -Dpmd.skip=true -pl kerby-kerb/kerb-admin -am -Dtest=RemoteKadminImplRefusedBequestTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,100.0,75cf12a60e7e7fada42adec9c2ef21d367b6be07
6,java,refused_bequest,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-kerb/kerb-admin/src/main/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImpl.java:method=modifyPrincipal|line=207,1.0,quality=STRICT_PASS_NEEDS_DESIGN; parents=Kadmin; flags=empty_override; refactor_path=complete_missing_remote_admin_operation; target_contract=modifyPrincipal_String_KOptions,1,1,,PASS_GE80,kerby-kerb/kerb-admin/src/test/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImplRefusedBequestTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Pjdk18 -Dpmd.skip=true -pl kerby-kerb/kerb-admin -am -Dtest=RemoteKadminImplRefusedBequestTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,100.0,75cf12a60e7e7fada42adec9c2ef21d367b6be07
7,java,refused_bequest,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-kerb/kerb-admin/src/main/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImpl.java:method=updateKeys|line=247,1.0,quality=STRICT_PASS_NEEDS_DESIGN; parents=Kadmin; flags=empty_override; refactor_path=complete_missing_remote_admin_operation; target_contract=updateKeys_String,1,1,,PASS_GE80,kerby-kerb/kerb-admin/src/test/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImplRefusedBequestTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Pjdk18 -Dpmd.skip=true -pl kerby-kerb/kerb-admin -am -Dtest=RemoteKadminImplRefusedBequestTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,100.0,75cf12a60e7e7fada42adec9c2ef21d367b6be07
8,java,refused_bequest,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-kerb/kerb-admin/src/main/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImpl.java:method=release|line=253,1.0,quality=STRICT_PASS; parents=Kadmin; flags=empty_override_resource_leak_contract; refactor_path=release_remote_transport; target_contract=release,1,1,,PASS_GE80,kerby-kerb/kerb-admin/src/test/java/org/apache/kerby/kerberos/kerb/admin/kadmin/remote/RemoteKadminImplRefusedBequestTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Pjdk18 -Dpmd.skip=true -pl kerby-kerb/kerb-admin -am -Dtest=RemoteKadminImplRefusedBequestTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,100.0,75cf12a60e7e7fada42adec9c2ef21d367b6be07
9,java,refused_bequest,directory-kerby-2.1.1,/opt/projects/directory-kerby-2.1.1,kerby-common/kerby-config/src/main/java/org/apache/kerby/config/JsonConfigLoader.java:method=loadConfig|line=23,1.0,quality=STRICT_PASS_NEEDS_DESIGN; parents=ConfigLoader; flags=empty_override; refactor_path=implement_loader_using_existing_config_loader_contract; target_contract=loadConfig_ConfigImpl_Resource,1,1,,PASS_GE80,kerby-common/kerby-config/src/test/java/org/apache/kerby/config/JsonConfigLoaderRefusedBequestTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Pjdk18 -Dpmd.skip=true -pl kerby-common/kerby-config -am -Dtest=JsonConfigLoaderRefusedBequestTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,100.0,75cf12a60e7e7fada42adec9c2ef21d367b6be07
10,java,refused_bequest,mybatis-3,/opt/projects/mybatis-3,src/main/java/org/apache/ibatis/reflection/wrapper/CollectionWrapper.java:method=get|line=36,0.85,quality=RELAXED_CLEAR_PATH; parents=ObjectWrapper; flags=explicit_unsupported_throw+unsupported_override_interface_segregation; refactor_path=split_collection_wrapper_from_property_wrapper; target_contract=get_PropertyTokenizer,1,1,,PASS_GE80,src/test/java/org/apache/ibatis/reflection/wrapper/CollectionWrapperRefusedBequest_ESTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dmaven.plugin.validation=NONE -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Dtest=CollectionWrapperRefusedBequest_ESTest test -DfailIfNoTests=false,100.0,e366cb7ee72e71564dded236c3515af64c61dca4
