sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,reported_occurrence_count,listed_occurrence_count,group_occurrences,test_status,test_file,test_command,verification_mode,test_coverage,test_commit,target_context_json
1,java,switch_statements,canal-1.1.8,/opt/projects/canal-1.1.8,dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/event/QueryLogEvent.java:method=unpackVariables|line=673,1.000,"switch_count=1; case_count=27; default_count=1; max_branches=28; density=27.00; loc=172; review_priority=A_strong; context=private final void unpackVariables(LogBuffer buffer, final int end) throws IOException { / int code = -1; / try { / while (buffer.position() < end) { / switch (code = buffer.getUint8()) { / case Q_FLAGS2_CODE: / flags2 = buffer.getUint32(); / break; / case Q_SQL_MODE_CODE: / sql_mode = buffer.getLong64(); // QQ: Fix when sql_mode; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS",1,1,"{""file"": ""dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/event/QueryLogEvent.java"", ""class"": ""QueryLogEvent"", ""method"": ""unpackVariables"", ""begin_line"": ""673"", ""end_line"": ""844""}",PASS_GE80,dbsync/src/test/java/com/taobao/tddl/dbsync/binlog/event/QueryLogEventCoverageBoostTest.java;dbsync/src/test/java/com/taobao/tddl/dbsync/binlog/event/QueryLogEventCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl dbsync -am -Dtest=QueryLogEventCoverageBoostTest,QueryLogEventCoverageBoost_ESTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false",sample_optimized,86.7,60d4ee828f89,"{""target_class"":""QueryLogEvent""}"
2,java,switch_statements,commons-lang-3.20.0,/opt/projects/commons-lang-3.20.0,src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java:method=parsePattern|line=1330,1.000,switch_count=1; case_count=24; default_count=1; max_branches=25; density=24.00; loc=141; review_priority=A_strong; context=protected List<Rule> parsePattern() { / final DateFormatSymbols symbols = new DateFormatSymbols(locale); / final List<Rule> rules = new ArrayList<>(); /  / final String[] ERAs = symbols.getEras(); / final String[] months = symbols.getMonths(); / final String[] shortMonths = symbols.getShortMonths(); / final String[] weekdays = symbols.getWeekdays(); / final String[] shortWeekdays = symbols.getShortWeekdays(); / final String[] AmPmStrings = symbols.getAmPmStrings();; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS,1,1,"{""file"": ""src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java"", ""class"": ""FastDatePrinter"", ""method"": ""parsePattern"", ""begin_line"": ""1330"", ""end_line"": ""1470""}",PASS_GE80,src/test/java/org/apache/commons/lang3/time/FastDatePrinterTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Drat.skip=true -Dtest=FastDatePrinterTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,sample_optimized,93.8,0378b992b4bf,"{""target_class"":""FastDatePrinter""}"
3,java,switch_statements,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/io/TypeIO.java:method=readObject|line=150,1.000,"switch_count=1; case_count=24; default_count=1; max_branches=25; density=24.00; loc=64; review_priority=A_strong; context=public static @Nullable Object readObject(Reads read, boolean box, @Nullable ContentMapper mapper){ / byte type = read.b(); / return switch(type){ / case 0 -> null; / case 1 -> read.i(); / case 2 -> read.l(); / case 3 -> read.f(); / case 4 -> readString(read); / case 5 -> mapper == null ? content.getByID(ContentType.all[read.b()], read.s()) : mapper.get(ContentType.all[read.b()], read.s()); / case 6 -> {; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS",1,1,"{""file"": ""core/src/mindustry/io/TypeIO.java"", ""class"": ""TypeIO"", ""method"": ""readObject"", ""begin_line"": ""150"", ""end_line"": ""213""}",PASS_GE80,tests/src/test/java/MindustryTypeIOCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryTypeIOCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,80.4,acde88dcdf,"{""target_class"":""TypeIO""}"
4,java,switch_statements,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/logic/LExecutor.java:method=run|line=308,1.000,"switch_count=1; case_count=17; default_count=1; max_branches=18; density=17.00; loc=202; review_priority=A_strong; context=@Override / public void run(LExecutor exec){ / Object unitObj = exec.unit.obj(); / LogicAI ai = checkLogicAI(exec, unitObj); /  / //only control standard AI units / if(unitObj instanceof Unit unit && ai != null){ / ai.controlTimer = LogicAI.logicControlTimeout; / float x1 = World.unconv(p1.numf()), y1 = World.unconv(p2.numf()), d1 = World.unconv(p3.numf());; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS",1,1,"{""file"": ""core/src/mindustry/logic/LExecutor.java"", ""class"": ""UnitControlI"", ""method"": ""run"", ""begin_line"": ""308"", ""end_line"": ""509""}",PASS_GE80,tests/src/test/java/MindustryLExecutorCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryLExecutorCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,92.1,acde88dcdf,"{""target_class"":""UnitControlI""}"
5,java,switch_statements,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,tools/src/mindustry/tools/IconConverter.java:method=convert|line=50,1.000,"switch_count=1; case_count=16; default_count=0; max_branches=16; density=16.00; loc=175; review_priority=A_strong; context=void convert(Pixmap pixmap, Fi output){ / boolean[][] grid = new boolean[pixmap.width][pixmap.height]; /  / for(int x = 0; x < pixmap.width; x++){ / for(int y = 0; y < pixmap.height; y++){ / grid[x][pixmap.height - 1 - y] = !pixmap.empty(x, y); / } / } /  / float xscl = 1f, yscl = 1f;//resolution / (float)pixmap.getWidth(), yscl = resolution / (float)pixmap.getHeight();; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS",1,1,"{""file"": ""tools/src/mindustry/tools/IconConverter.java"", ""class"": ""IconConverter"", ""method"": ""convert"", ""begin_line"": ""50"", ""end_line"": ""224""}",PASS_GE80,tools/src/test/java/mindustry/tools/MindustryIconConverterCoverageBoost_ESTest.java,./gradlew :tools:cleanTest :tools:test --tests mindustry.tools.MindustryIconConverterCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,100.0,acde88dcdf,"{""target_class"":""IconConverter""}"
6,java,switch_statements,canal-1.1.8,/opt/projects/canal-1.1.8,dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/event/TableMapLogEvent.java:method=decodeFields|line=546,1.000,"switch_count=1; case_count=17; default_count=1; max_branches=18; density=17.00; loc=64; review_priority=A_strong; context=private final void decodeFields(LogBuffer buffer, final int len) { / final int limit = buffer.limit(); / buffer.limit(len + buffer.position()); / for (int i = 0; i < columnCnt; i++) { / ColumnInfo info = columnInfo[i]; /  / int binlogType = info.type; / if (binlogType == MYSQL_TYPE_TYPED_ARRAY) { / binlogType = buffer.getUint8(); / }; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS",1,1,"{""file"": ""dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/event/TableMapLogEvent.java"", ""class"": ""TableMapLogEvent"", ""method"": ""decodeFields"", ""begin_line"": ""546"", ""end_line"": ""609""}",PASS_GE80,dbsync/src/test/java/com/taobao/tddl/dbsync/binlog/event/TableMapLogEventCoverageBoostTest.java;dbsync/src/test/java/com/taobao/tddl/dbsync/binlog/event/TableMapLogEventCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl dbsync -am -Dtest=TableMapLogEventCoverageBoostTest,TableMapLogEventCoverageBoost_ESTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false",sample_optimized,80.0,60d4ee828f89,"{""target_class"":""TableMapLogEvent""}"
7,java,switch_statements,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/world/blocks/logic/LogicDisplay.java:method=processCommands|line=132,1.000,"switch_count=1; case_count=15; default_count=0; max_branches=15; density=15.00; loc=65; review_priority=A_strong; context=public void processCommands(){ / //don't bother processing commands if displays are off / if(!commands.isEmpty() && buffer != null){ / Draw.draw(Draw.z(), () -> { / if(buffer == null) return; /  / Tmp.m1.set(Draw.proj()); / Tmp.m2.set(Draw.trans()); / Draw.proj(0, 0, buffer.getWidth(), buffer.getHeight()); / if(transform != null){; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS",1,1,"{""file"": ""core/src/mindustry/world/blocks/logic/LogicDisplay.java"", ""class"": ""LogicDisplayBuild"", ""method"": ""processCommands"", ""begin_line"": ""132"", ""end_line"": ""196""}",PASS_GE80,tests/src/test/java/MindustryLogicDisplayCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryLogicDisplayCoverageBoost_ESTest --no-build-cache --no-daemon,sample_optimized,95.9,acde88dcdf,"{""target_class"":""LogicDisplayBuild""}"
8,java,switch_statements,canal-1.1.8,/opt/projects/canal-1.1.8,dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/event/TableMapLogEvent.java:method=TableMapLogEvent|line=405,1.000,"switch_count=1; case_count=12; default_count=1; max_branches=13; density=12.00; loc=135; review_priority=A_strong; context=public TableMapLogEvent(LogHeader header, LogBuffer buffer, FormatDescriptionLogEvent descriptionEvent){ / super(header); /  / final int commonHeaderLen = descriptionEvent.commonHeaderLen; / final int postHeaderLen = descriptionEvent.postHeaderLen[header.type - 1]; / /* Read the post-header */ / buffer.position(commonHeaderLen + TM_MAPID_OFFSET); / if (postHeaderLen == 6) { / /* / * Master is of an intermediate source tree before 5.1.4. Id is 4; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS",1,1,"{""file"": ""dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/event/TableMapLogEvent.java"", ""class"": ""TableMapLogEvent"", ""method"": ""TableMapLogEvent"", ""begin_line"": ""405"", ""end_line"": ""539""}",PASS_GE80,dbsync/src/test/java/com/taobao/tddl/dbsync/binlog/event/TableMapLogEventCoverageBoostTest.java;dbsync/src/test/java/com/taobao/tddl/dbsync/binlog/event/TableMapLogEventCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl dbsync -am -Dtest=TableMapLogEventCoverageBoostTest,TableMapLogEventCoverageBoost_ESTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false",sample_optimized,96.2,60d4ee828f89,"{""target_class"":""TableMapLogEvent""}"
9,java,switch_statements,jcseg-573874f,/opt/projects/jcseg-573874f,jcseg-server/src/main/java/org/lionsoul/jcseg/json/JSONObject.java:method=quote|line=1219,1.000,"switch_count=1; case_count=8; default_count=1; max_branches=9; density=8.00; loc=58; review_priority=A_strong; context=public static Writer quote(String string, Writer w) throws IOException { / if (string == null || string.length() == 0) { / w.write(""\""\""""); / return w; / } /  / char b; / char c = 0; / String hhhh; / int i;; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS",1,1,"{""file"": ""jcseg-server/src/main/java/org/lionsoul/jcseg/json/JSONObject.java"", ""class"": ""JSONObject"", ""method"": ""quote"", ""begin_line"": ""1219"", ""end_line"": ""1276""}",PASS_GE80,jcseg-core/src/test/java/org/lionsoul/jcseg/extractor/impl/TextRankKeyphraseExtractorCoverageBoost_ESTest.java;jcseg-core/src/test/java/org/lionsoul/jcseg/segmenter/DetectSegCoverageBoost_ESTest.java;jcseg-core/src/test/java/org/lionsoul/jcseg/segmenter/MostSegCoverageBoost_ESTest.java;jcseg-core/src/test/java/org/lionsoul/jcseg/segmenter/SegmenterConfigCoverageBoostTest.java;jcseg-server/src/test/java/org/lionsoul/jcseg/json/JSONObjectCoverageBoost_ESTest.java;jcseg-server/src/test/java/org/lionsoul/jcseg/json/JSONTokenerCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl jcseg-core,jcseg-server -am -Dtest=DetectSegCoverageBoost_ESTest,JSONObjectCoverageBoost_ESTest,JSONTokenerCoverageBoost_ESTest,MostSegCoverageBoost_ESTest,SegmenterConfigCoverageBoostTest,TextRankKeyphraseExtractorCoverageBoost_ESTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false",sample_optimized,100.0,79d389b11e0d,"{""target_class"":""JSONObject""}"
10,java,switch_statements,jcseg-573874f,/opt/projects/jcseg-573874f,jcseg-server/src/main/java/org/lionsoul/jcseg/json/zip/Unzipper.java:method=readValue|line=263,0.375,switch_count=2; case_count=6; default_count=1; max_branches=7; density=3.00; loc=42; review_priority=B_review; context=private Object readValue() throws JSONException { / switch (read(2)) { / case 0: / int nr_bits = !bit() ? 4 : !bit() ? 7 : 14; / int integer = read(nr_bits); / switch (nr_bits) { / case 7: / integer += int4; / break; / case 14:; final_quality_gate=PASS; source_batch=previous_quality_gate; subagent_decision=PASS,1,1,"{""file"": ""jcseg-server/src/main/java/org/lionsoul/jcseg/json/zip/Unzipper.java"", ""class"": ""Unzipper"", ""method"": ""readValue"", ""begin_line"": ""263"", ""end_line"": ""304""}",PASS_GE80,jcseg-core/src/test/java/org/lionsoul/jcseg/extractor/impl/TextRankKeyphraseExtractorCoverageBoost_ESTest.java;jcseg-core/src/test/java/org/lionsoul/jcseg/segmenter/DetectSegCoverageBoost_ESTest.java;jcseg-core/src/test/java/org/lionsoul/jcseg/segmenter/DictionaryAndSegmenterCoverageBoost_ESTest.java;jcseg-core/src/test/java/org/lionsoul/jcseg/segmenter/MostSegCoverageBoost_ESTest.java;jcseg-core/src/test/java/org/lionsoul/jcseg/segmenter/SegmenterConfigCoverageBoostTest.java;jcseg-server/src/test/java/org/lionsoul/jcseg/json/JSONObjectCoverageBoost_ESTest.java;jcseg-server/src/test/java/org/lionsoul/jcseg/json/JSONTokenerCoverageBoost_ESTest.java;jcseg-server/src/test/java/org/lionsoul/jcseg/json/zip/JSONZipCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl jcseg-core,jcseg-server -am -Dtest=DetectSegCoverageBoost_ESTest,DictionaryAndSegmenterCoverageBoost_ESTest,JSONObjectCoverageBoost_ESTest,JSONTokenerCoverageBoost_ESTest,JSONZipCoverageBoost_ESTest,MostSegCoverageBoost_ESTest,SegmenterConfigCoverageBoostTest,TextRankKeyphraseExtractorCoverageBoost_ESTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false",sample_optimized,88.0,79d389b11e0d,"{""target_class"":""Unzipper""}"
