sample_id,project_name,revision_alignment,oracle_hash_status,target_oracle_status,semantic_lane,next_action
1,directory-kerby-2.1.1,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,replace_or_add_exact_overload_contract_oracle
2,directory-kerby-2.1.1,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,replace_or_add_exact_overload_contract_oracle
3,directory-kerby-2.1.1,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,add_target_contract_oracle
4,directory-kerby-2.1.1,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,add_target_contract_oracle
5,directory-kerby-2.1.1,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,add_target_contract_oracle
6,directory-kerby-2.1.1,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,define_remote_admin_contract
7,directory-kerby-2.1.1,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,define_remote_admin_contract
8,directory-kerby-2.1.1,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,add_transport_release_contract_oracle
9,directory-kerby-2.1.1,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,define_json_loader_contract
10,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_target_contract_oracle
11,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_target_contract_oracle
12,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_target_contract_oracle
13,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_target_contract_oracle
14,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_target_contract_oracle
15,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_target_contract_oracle
16,mybatis-3,ALIGNED,ALIGNED,STRUCTURAL_GUARD_ONLY,STRUCTURAL_DESIGN_EXPERIMENTAL,do_not_count_as_behavior_preserving_success
17,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_target_contract_oracle
18,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_target_contract_oracle
19,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_target_contract_oracle
20,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,define_closed_executor_contract_before_running
21,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,define_closed_executor_contract_before_running
22,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,define_closed_executor_contract_before_running
23,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,SPEC_REQUIRED,define_closed_executor_contract_before_running
24,mybatis-3,ALIGNED,HASH_UNDECLARED,TARGET_NOT_EXERCISED,STRUCTURAL_DESIGN,add_public_api_compatibility_oracle
25,wumpz-jhotdraw-10.2.4,ALIGNED,ALIGNED,STATE_GETTER_GUARD,BEHAVIOR_FIX,retain
26,canal-1.1.8,ALIGNED,ALIGNED,CAPABILITY_SPLIT_GUARD,STRUCTURAL_DESIGN,retain_with_diff_review
27,commons-lang-3.20.0,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_public_setter_contract_oracle
28,commons-lang-3.20.0,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_public_setter_contract_oracle
29,commons-lang-3.20.0,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_public_setter_contract_oracle
30,commons-lang-3.20.0,IMAGE_VS_TEST_COMMIT,HASH_UNDECLARED,TARGET_NOT_EXERCISED,API_BREAKING_DESIGN_REQUIRED,replace_or_add_public_setter_contract_oracle
