sample_id,language,smell_type,project_name,project_path,location,metric_value,evidence,reported_occurrence_count,listed_occurrence_count,group_occurrences,test_status,test_file,test_command,test_coverage,test_commit,test_oracle_sha256
1,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/SslRequestCommandPacket.java:method=fromBytes|line=23,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=explicit_unsupported_throw; refactor_path=split_readable_packets_from_writable_packets; target_contract=fromBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=1,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
2,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/AuthSwitchResponsePacket.java:method=fromBytes|line=12,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=empty_override; refactor_path=split_readable_packets_from_writable_packets; target_contract=fromBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=1,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
3,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/BinlogDumpGTIDCommandPacket.java:method=fromBytes|line=28,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=empty_override; refactor_path=split_readable_packets_from_writable_packets; target_contract=fromBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=1,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
4,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/QueryCommandPacket.java:method=fromBytes|line=16,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=empty_override; refactor_path=split_readable_packets_from_writable_packets; target_contract=fromBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=1,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
5,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/QuitCommandPacket.java:method=fromBytes|line=21,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=empty_override; refactor_path=split_readable_packets_from_writable_packets; target_contract=fromBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=1,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
6,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/SemiAckCommandPacket.java:method=fromBytes|line=26,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=empty_override; refactor_path=split_readable_packets_from_writable_packets; target_contract=fromBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=1,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
7,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/server/HandshakeInitializationPacket.java:method=toBytes|line=110,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=returns_null; refactor_path=split_readable_packets_from_writable_packets; target_contract=toBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=0,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
8,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/server/ErrorPacket.java:method=toBytes|line=48,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=returns_null; refactor_path=split_readable_packets_from_writable_packets; target_contract=toBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=0,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
9,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/server/OKPacket.java:method=toBytes|line=60,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=returns_null; refactor_path=split_readable_packets_from_writable_packets; target_contract=toBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=0,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
10,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/server/FieldPacket.java:method=toBytes|line=85,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=returns_null; refactor_path=split_readable_packets_from_writable_packets; target_contract=toBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=0,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
11,java,refused_bequest,canal-1.1.8,/opt/projects/canal-1.1.8,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/server/ResultSetHeaderPacket.java:method=toBytes|line=43,1.0,quality=ORACLE_CURATED; parents=IPacket; flags=returns_null; refactor_path=split_readable_packets_from_writable_packets; target_contract=toBytes; structural_expectation=capability_split; refactor_group_id=canal_ipacket_capability_split; behavior_oracle_state=pre_refactor_pass; target_parameter_count=0,1,1,,PRE_REFACTOR_PASS,driver/src/test/java/com/alibaba/otter/canal/parse/driver/mysql/packets/DirectionalPacketBehaviorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Djacoco.skip=true -pl driver -am -Dtest=DirectionalPacketBehaviorTest -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,fdcaa3d3d5c649818bd76a19ea768dbb7427b65e,8a8f149c4c05fdd90c271379a0d937d78746bdf1efed2209a7e049b86000cb7a
