sample_id,case_id,project_name,project_path,source_commit,source_tree,location,parent_capability,rejection_kind,definition_status,refactorability,refactor_path,behavior_oracle,structure_acceptance,test_provenance_action,subagent_review
1,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/SslRequestCommandPacket.java:method=fromBytes|line=23,IPacket inbound deserialization,throws UnsupportedOperationException,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,exact SSL request bytes and MysqlConnector SSL handshake,outbound packet no longer implements readable packet,replace class-anchor test with exact handshake and byte oracle,ACCEPT_CONDITIONAL
2,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/AuthSwitchResponsePacket.java:method=fromBytes|line=12,IPacket inbound deserialization,empty override,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,authentication response bytes and MySQL auth-switch flow,outbound packet no longer implements readable packet,add protocol fixture and authentication integration oracle,ACCEPT_CONDITIONAL
3,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/BinlogDumpGTIDCommandPacket.java:method=fromBytes|line=28,IPacket inbound deserialization,empty override,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,GTID dump command bytes and replication connection,outbound packet no longer implements readable packet,add protocol fixture and replication integration oracle,ACCEPT_CONDITIONAL
4,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/QueryCommandPacket.java:method=fromBytes|line=16,IPacket inbound deserialization,empty override,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,COM_QUERY plus UTF-8 SQL bytes and query update execution,outbound packet no longer implements readable packet,add protocol fixture and query integration oracle,ACCEPT_CONDITIONAL
5,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/QuitCommandPacket.java:method=fromBytes|line=21,IPacket inbound deserialization,empty override,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,COM_QUIT byte and connector shutdown,outbound packet no longer implements readable packet,add protocol fixture and connector shutdown oracle,ACCEPT_CONDITIONAL
6,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/client/SemiAckCommandPacket.java:method=fromBytes|line=26,IPacket inbound deserialization,empty override,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,semi-ack marker position and binlog filename bytes,outbound packet no longer implements readable packet,add semi-ack protocol fixture oracle,ACCEPT_CONDITIONAL
7,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/server/HandshakeInitializationPacket.java:method=toBytes|line=110,IPacket outbound serialization,returns null,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,handshake fixture decodes version capabilities and seed,inbound packet no longer implements writable packet,add handshake decode fixture and connector oracle,ACCEPT_CONDITIONAL
8,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/server/ErrorPacket.java:method=toBytes|line=48,IPacket outbound serialization,returns null,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,error fixture decodes code state and message and propagates through executor,inbound packet no longer implements writable packet,add error fixture and executor propagation oracle,ACCEPT_CONDITIONAL
9,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/server/OKPacket.java:method=toBytes|line=60,IPacket outbound serialization,returns null,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,OK fixture decodes affected rows insert id and status,inbound packet no longer implements writable packet,add OK packet fixture and query executor oracle,ACCEPT_CONDITIONAL
10,canal_bidirectional_ipacket,canal-1.1.8,/opt/projects/canal-1.1.8,5913b85309c4cd0b1696e06896aa21a47e81a415,cf93ed6904399fa212270ec6d79b947bb48ee95b,driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/packets/server/FieldPacket.java:method=toBytes|line=85,IPacket outbound serialization,returns null,TRUE_RB_INTERFACE_SEGREGATION,CONDITIONAL_ORACLE_REQUIRED,split readable packets from writable packets,field fixture decodes catalog name type flags and metadata,inbound packet no longer implements writable packet,add field fixture and result metadata oracle,ACCEPT_CONDITIONAL
