candidate_id,case_id,project_name,project_commit,project_tree,location,parent_capability,rejection_evidence,definition_status,existing_test_anchor,oracle_status,refactor_direction,delivery_readiness
RB-N01,h2_mvdelegate_index,h2database,280a5da951fbb10185df57144a56419a51201c83,0994b731694fa864295e439af46843796bf409a5,h2/src/main/org/h2/mvstore/db/MVDelegateIndex.java:47:addRowsToBuffer,MVIndex exposes buffered bulk insertion,throws internal error instead of supporting the inherited operation,TRUE_RB_CAPABILITY_MISMATCH,NONE_FOUND,TARGET_ORACLE_MISSING,split read-only delegate capability from mutable index capability,DESIGN_ONLY_ORACLE_REQUIRED
RB-N02,h2_mvdelegate_index,h2database,280a5da951fbb10185df57144a56419a51201c83,0994b731694fa864295e439af46843796bf409a5,h2/src/main/org/h2/mvstore/db/MVDelegateIndex.java:52:addBufferedRows,MVIndex exposes committing buffered rows,throws internal error instead of supporting the inherited operation,TRUE_RB_CAPABILITY_MISMATCH,NONE_FOUND,TARGET_ORACLE_MISSING,split read-only delegate capability from mutable index capability,DESIGN_ONLY_ORACLE_REQUIRED
RB-N03,h2_mvdelegate_index,h2database,280a5da951fbb10185df57144a56419a51201c83,0994b731694fa864295e439af46843796bf409a5,h2/src/main/org/h2/mvstore/db/MVDelegateIndex.java:62:add,MVIndex exposes row insertion,no-op because the main index owns mutation,TRUE_RB_CAPABILITY_MISMATCH,NONE_FOUND,TARGET_ORACLE_MISSING,split read-only delegate capability from mutable index capability,DESIGN_ONLY_ORACLE_REQUIRED
RB-N04,h2_mvdelegate_index,h2database,280a5da951fbb10185df57144a56419a51201c83,0994b731694fa864295e439af46843796bf409a5,h2/src/main/org/h2/mvstore/db/MVDelegateIndex.java:82:close,MVIndex exposes index lifecycle close,no-op because the delegate owns no independent resource,TRUE_RB_CAPABILITY_MISMATCH,NONE_FOUND,TARGET_ORACLE_MISSING,move lifecycle ownership out of the read-only delegate capability,DESIGN_ONLY_ORACLE_REQUIRED
RB-N05,h2_mvdelegate_index,h2database,280a5da951fbb10185df57144a56419a51201c83,0994b731694fa864295e439af46843796bf409a5,h2/src/main/org/h2/mvstore/db/MVDelegateIndex.java:120:remove(SessionLocal Row),MVIndex exposes row removal,no-op because the main index owns mutation,TRUE_RB_CAPABILITY_MISMATCH,NONE_FOUND,TARGET_ORACLE_MISSING,split read-only delegate capability from mutable index capability,DESIGN_ONLY_ORACLE_REQUIRED
RB-N06,h2_mvdelegate_index,h2database,280a5da951fbb10185df57144a56419a51201c83,0994b731694fa864295e439af46843796bf409a5,h2/src/main/org/h2/mvstore/db/MVDelegateIndex.java:125:update,MVIndex exposes row update,no-op because the main index owns mutation,TRUE_RB_CAPABILITY_MISMATCH,NONE_FOUND,TARGET_ORACLE_MISSING,split read-only delegate capability from mutable index capability,DESIGN_ONLY_ORACLE_REQUIRED
RB-N07,h2_mvdelegate_index,h2database,280a5da951fbb10185df57144a56419a51201c83,0994b731694fa864295e439af46843796bf409a5,h2/src/main/org/h2/mvstore/db/MVDelegateIndex.java:135:truncate,MVIndex exposes index truncation,no-op because the main index owns mutation,TRUE_RB_CAPABILITY_MISMATCH,NONE_FOUND,TARGET_ORACLE_MISSING,split read-only delegate capability from mutable index capability,DESIGN_ONLY_ORACLE_REQUIRED
RB-N08,jhotdraw_text_area_editing_tool,wumpz-jhotdraw-10.2.4,78e98d66727f64394539e46adff0254c18f63133,0ded2a8c2c9964275e4683519cd9d9c12ba63e21,jhotdraw-core/src/main/java/org/jhotdraw/draw/tool/TextAreaEditingTool.java:158:mouseDragged,Tool exposes mouse-motion drag handling,throws UnsupportedOperationException instead of accepting the inherited event,TRUE_RB_EVENT_CAPABILITY_MISMATCH,NONE_FOUND,TARGET_ORACLE_MISSING,separate click-to-edit tools from drag-capable tools,DESIGN_ONLY_API_RISK
RB-N09,jhotdraw_text_editing_tool,wumpz-jhotdraw-10.2.4,78e98d66727f64394539e46adff0254c18f63133,0ded2a8c2c9964275e4683519cd9d9c12ba63e21,jhotdraw-core/src/main/java/org/jhotdraw/draw/tool/TextEditingTool.java:152:mouseDragged,Tool exposes mouse-motion drag handling,throws UnsupportedOperationException instead of accepting the inherited event,TRUE_RB_EVENT_CAPABILITY_MISMATCH,jhotdraw-core/src/test/java/org/jhotdraw/draw/tool/TextEditingToolRefusedBequest_ESTest.java:13,TEST_FREEZES_REJECTION,separate click-to-edit tools from drag-capable tools,DESIGN_ONLY_TEST_CONFLICT
RB-N10,guava_immutable_bimap_builder,guava,1933e3fc2b4fdb56a6a571f0fb4f12b0da1a4467,7abb1d9d6a5dd028459da3a3249c477463fa48e7,guava/src/com/google/common/collect/ImmutableBiMap.java:494:buildKeepingLast,ImmutableMap.Builder exposes duplicate-key last-value construction,deprecated DoNotCall override always throws because the inherited operation does not make sense for bimaps,TRUE_RB_CAPABILITY_MISMATCH,NONE_FOUND,SOURCE_CONTRACT_FREEZES_REJECTION,remove the incompatible builder capability from the bimap builder hierarchy,DESIGN_ONLY_API_BREAKING
