sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,a_file,a_method,a_begin_line,a_end_line,a_method_begin,a_method_end,b_file,b_method,b_begin_line,b_end_line,b_method_begin,b_method_end,clone_group_id,tokens,lines,group_size
1,c,code_clone_type1,curl,/Users/a1-6/Code/Project/C_Project/curl,,,,,18,"/Users/a1-6/Code/Project/C_Project/curl/lib/mqtt.c:method=mqtt_pollset(struct Curl_easy *data, struct easy_pollset *ps)|line=166;/Users/a1-6/Code/Project/C_Project/curl/lib/tftp.c:method=tftp_pollset(struct Curl_easy *data, struct easy_pollset *ps)|line=1020",0,,lib/mqtt.c,"mqtt_pollset(struct Curl_easy *data, struct easy_pollset *ps)",166,170,166,170,lib/tftp.c,"tftp_pollset(struct Curl_easy *data, struct easy_pollset *ps)",1020,1024,1020,1024,curl::clone_1::pair_1,18,5,2
2,c,code_clone_type1,libuv,/Users/a1-6/Code/Project/C_Project/libuv,,,,,102,/Users/a1-6/Code/Project/C_Project/libuv/src/unix/darwin.c:method=uv_loadavg(double avg[3])|line=133;/Users/a1-6/Code/Project/C_Project/libuv/src/unix/freebsd.c:method=uv_loadavg(double avg[3])|line=129,0,,src/unix/darwin.c,uv_loadavg(double avg[3]),133,143,133,143,src/unix/freebsd.c,uv_loadavg(double avg[3]),129,139,129,139,libuv::clone_1::pair_1,102,11,3
3,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,201,"/Users/a1-6/Code/Project/C_Project/nginx/src/http/modules/ngx_http_log_module.c:method=ngx_http_log_escape(u_char *dst, u_char *src, size_t size)|line=991;/Users/a1-6/Code/Project/C_Project/nginx/src/stream/ngx_stream_log_module.c:method=ngx_stream_log_escape(u_char *dst, u_char *src, size_t size)|line=769",0,,src/http/modules/ngx_http_log_module.c,"ngx_http_log_escape(u_char *dst, u_char *src, size_t size)",991,1048,991,1048,src/stream/ngx_stream_log_module.c,"ngx_stream_log_escape(u_char *dst, u_char *src, size_t size)",769,826,769,826,nginx::clone_4::pair_1,201,58,2
4,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,51,"/Users/a1-6/Code/Project/C_Project/redis/src/script_lua.c:method=redisProtocolToLuaType_NullBulkString(void *ctx, const char *proto, size_t proto_len)|line=239;/Users/a1-6/Code/Project/C_Project/redis/src/script_lua.c:method=redisProtocolToLuaType_NullArray(void *ctx, const char *proto, size_t proto_len)|line=255",0,,src/script_lua.c,"redisProtocolToLuaType_NullBulkString(void *ctx, const char *proto, size_t proto_len)",239,253,239,253,src/script_lua.c,"redisProtocolToLuaType_NullArray(void *ctx, const char *proto, size_t proto_len)",255,268,255,268,redis::clone_9::pair_1,51,15,2
5,c,code_clone_type1,tmux,/Users/a1-6/Code/Project/C_Project/tmux,,,,,322,"/Users/a1-6/Code/Project/C_Project/tmux/compat/forkpty-hpux.c:method=forkpty(int *master, char *name, struct termios *tio, struct winsize *ws)|line=30;/Users/a1-6/Code/Project/C_Project/tmux/compat/forkpty-sunos.c:method=forkpty(int *master, char *name, struct termios *tio, struct winsize *ws)|line=32",0,,compat/forkpty-hpux.c,"forkpty(int *master, char *name, struct termios *tio, struct winsize *ws)",30,90,30,90,compat/forkpty-sunos.c,"forkpty(int *master, char *name, struct termios *tio, struct winsize *ws)",32,92,32,92,tmux::clone_1::pair_1,322,61,2
6,c,code_clone_type1,libuv,/Users/a1-6/Code/Project/C_Project/libuv,,,,,102,/Users/a1-6/Code/Project/C_Project/libuv/src/unix/darwin.c:method=uv_loadavg(double avg[3])|line=133;/Users/a1-6/Code/Project/C_Project/libuv/src/unix/openbsd.c:method=uv_loadavg(double avg[3])|line=48,0,,src/unix/darwin.c,uv_loadavg(double avg[3]),133,143,133,143,src/unix/openbsd.c,uv_loadavg(double avg[3]),48,58,48,58,libuv::clone_1::pair_2,102,11,3
7,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,76,"/Users/a1-6/Code/Project/C_Project/nginx/src/os/unix/ngx_file_aio_read.c:method=ngx_file_aio_init(ngx_file_t *file, ngx_pool_t *pool)|line=39;/Users/a1-6/Code/Project/C_Project/nginx/src/os/unix/ngx_linux_aio_read.c:method=ngx_file_aio_init(ngx_file_t *file, ngx_pool_t *pool)|line=27",0,,src/os/unix/ngx_file_aio_read.c,"ngx_file_aio_init(ngx_file_t *file, ngx_pool_t *pool)",39,58,39,58,src/os/unix/ngx_linux_aio_read.c,"ngx_file_aio_init(ngx_file_t *file, ngx_pool_t *pool)",27,46,27,46,nginx::clone_10::pair_1,76,20,2
8,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,35,"/Users/a1-6/Code/Project/C_Project/redis/src/call_reply.c:method=callReplyBulkString(void *ctx, const char *str, size_t len, const char *proto, size_t proto_len)|line=69;/Users/a1-6/Code/Project/C_Project/redis/src/call_reply.c:method=callReplySimpleStr(void *ctx, const char *str, size_t len, const char *proto, size_t proto_len)|line=83",0,,src/call_reply.c,"callReplyBulkString(void *ctx, const char *str, size_t len, const char *proto, size_t proto_len)",69,74,69,74,src/call_reply.c,"callReplySimpleStr(void *ctx, const char *str, size_t len, const char *proto, size_t proto_len)",83,88,83,88,redis::clone_2::pair_1,35,6,2
9,c,code_clone_type1,libuv,/Users/a1-6/Code/Project/C_Project/libuv,,,,,71,/Users/a1-6/Code/Project/C_Project/libuv/src/unix/netbsd.c:method=uv_uptime(double* uptime)|line=169;/Users/a1-6/Code/Project/C_Project/libuv/src/unix/openbsd.c:method=uv_uptime(double* uptime)|line=168,0,,src/unix/netbsd.c,uv_uptime(double* uptime),169,182,169,182,src/unix/openbsd.c,uv_uptime(double* uptime),168,181,168,181,libuv::clone_5::pair_1,71,14,2
10,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,75,"/Users/a1-6/Code/Project/C_Project/nginx/src/http/ngx_http_script.c:method=ngx_http_script_add_code(ngx_array_t *codes, size_t size, void *code)|line=784;/Users/a1-6/Code/Project/C_Project/nginx/src/stream/ngx_stream_script.c:method=ngx_stream_script_add_code(ngx_array_t *codes, size_t size, void *code)|line=647",0,,src/http/ngx_http_script.c,"ngx_http_script_add_code(ngx_array_t *codes, size_t size, void *code)",784,805,784,805,src/stream/ngx_stream_script.c,"ngx_stream_script_add_code(ngx_array_t *codes, size_t size, void *code)",647,668,647,668,nginx::clone_6::pair_1,75,22,2
