sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,class,host_class,reported_occurrence_count,listed_occurrence_count,group_occurrences,target_context_json
1,c,data_clumps,lua,/opt/projects/c/lua,lmem.c,"luaM_free_(lua_State *L, void *block, size_t osize)",150,155,304,/opt/projects/c/lua/lmem.c:method=luaM_free_|line=150;/opt/projects/c/lua/lmem.c:method=luaM_realloc_|line=176;/opt/projects/c/lua/lmem.c:method=tryagain|line=162;/opt/projects/c/lua/lmem.c:method=luaM_saferealloc_|line=192,0,group=lua_State:L|void:block|size_t:osize;occurrences=4;classes=1;method_names=4,,,4,4,"[{""file"":""lmem.c"",""line"":""150"",""location"":""lmem.c:method=luaM_free_|line=150"",""method"":""luaM_free_""},{""file"":""lmem.c"",""line"":""176"",""location"":""lmem.c:method=luaM_realloc_|line=176"",""method"":""luaM_realloc_""},{""file"":""lmem.c"",""line"":""162"",""location"":""lmem.c:method=tryagain|line=162"",""method"":""tryagain""},{""file"":""lmem.c"",""line"":""192"",""location"":""lmem.c:method=luaM_saferealloc_|line=192"",""method"":""luaM_saferealloc_""}]","{""group"":""lua_state:l|size_t:osize|void:block""}"
2,c,data_clumps,libuv,/opt/projects/c/libuv,src/unix/process.c,"uv__process_child_init(const uv_process_options_t* options, int stdio_count, int (*pipes)[2], int error_fd)",287,417,305,/opt/projects/c/libuv/src/unix/process.c:method=uv__process_child_init|line=287;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_and_init_child_fork|line=819;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_and_init_child_posix_spawn|line=778;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_and_init_child|line=860;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_set_posix_spawn_file_actions|line=541,0,group=const uv_process_options_t*:options|int:stdio_count|int (*)[2]:pipes;occurrences=5;classes=1;method_names=5,,,5,5,"[{""file"":""src/unix/process.c"",""line"":""287"",""location"":""src/unix/process.c:method=uv__process_child_init|line=287"",""method"":""uv__process_child_init""},{""file"":""src/unix/process.c"",""line"":""819"",""location"":""src/unix/process.c:method=uv__spawn_and_init_child_fork|line=819"",""method"":""uv__spawn_and_init_child_fork""},{""file"":""src/unix/process.c"",""line"":""778"",""location"":""src/unix/process.c:method=uv__spawn_and_init_child_posix_spawn|line=778"",""method"":""uv__spawn_and_init_child_posix_spawn""},{""file"":""src/unix/process.c"",""line"":""860"",""location"":""src/unix/process.c:method=uv__spawn_and_init_child|line=860"",""method"":""uv__spawn_and_init_child""},{""file"":""src/unix/process.c"",""line"":""541"",""location"":""src/unix/process.c:method=uv__spawn_set_posix_spawn_file_actions|line=541"",""method"":""uv__spawn_set_posix_spawn_file_actions""}]","{""group"":""constuv_process_options_t*:options|int(*)[2]:pipes|int:stdio_count""}"
3,c,data_clumps,rrdtool,/opt/projects/c/rrdtool,src/rrd_hw_update.c,"update_devpredict(rrd_t *rrd, unsigned long cdp_idx, unsigned long rra_idx, unsigned long ds_idx, unsigned short CDP_scratch_idx)",232,260,307,/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_devpredict|line=232;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_devseasonal|line=262;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_failures|line=369;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_hwpredict|line=38;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_seasonal|line=117;/opt/projects/c/rrdtool/src/rrd_hw.c:method=erase_violations|line=85;/opt/projects/c/rrdtool/src/rrd_hw.c:method=update_aberrant_CF|line=421,0,group=rrd_t:rrd|unsigned long:cdp_idx|unsigned long:rra_idx;occurrences=7;classes=2;method_names=7,,,7,7,"[{""file"":""src/rrd_hw_update.c"",""line"":""232"",""location"":""src/rrd_hw_update.c:method=update_devpredict|line=232"",""method"":""update_devpredict""},{""file"":""src/rrd_hw_update.c"",""line"":""262"",""location"":""src/rrd_hw_update.c:method=update_devseasonal|line=262"",""method"":""update_devseasonal""},{""file"":""src/rrd_hw_update.c"",""line"":""369"",""location"":""src/rrd_hw_update.c:method=update_failures|line=369"",""method"":""update_failures""},{""file"":""src/rrd_hw_update.c"",""line"":""38"",""location"":""src/rrd_hw_update.c:method=update_hwpredict|line=38"",""method"":""update_hwpredict""},{""file"":""src/rrd_hw_update.c"",""line"":""117"",""location"":""src/rrd_hw_update.c:method=update_seasonal|line=117"",""method"":""update_seasonal""},{""file"":""src/rrd_hw.c"",""line"":""85"",""location"":""src/rrd_hw.c:method=erase_violations|line=85"",""method"":""erase_violations""},{""file"":""src/rrd_hw.c"",""line"":""421"",""location"":""src/rrd_hw.c:method=update_aberrant_CF|line=421"",""method"":""update_aberrant_CF""}]","{""group"":""rrd_t:rrd|unsignedlong:cdp_idx|unsignedlong:rra_idx""}"
4,c,data_clumps,lua,/opt/projects/c/lua,lmem.c,"luaM_realloc_(lua_State *L, void *block, size_t osize, size_t nsize)",176,189,304,/opt/projects/c/lua/lmem.c:method=luaM_realloc_|line=176;/opt/projects/c/lua/lmem.c:method=luaM_free_|line=150;/opt/projects/c/lua/lmem.c:method=tryagain|line=162;/opt/projects/c/lua/lmem.c:method=luaM_saferealloc_|line=192,0,group=lua_State:L|void:block|size_t:osize;occurrences=4;classes=1;method_names=4,,,4,4,"[{""file"":""lmem.c"",""line"":""176"",""location"":""lmem.c:method=luaM_realloc_|line=176"",""method"":""luaM_realloc_""},{""file"":""lmem.c"",""line"":""150"",""location"":""lmem.c:method=luaM_free_|line=150"",""method"":""luaM_free_""},{""file"":""lmem.c"",""line"":""162"",""location"":""lmem.c:method=tryagain|line=162"",""method"":""tryagain""},{""file"":""lmem.c"",""line"":""192"",""location"":""lmem.c:method=luaM_saferealloc_|line=192"",""method"":""luaM_saferealloc_""}]","{""group"":""lua_state:l|size_t:osize|void:block""}"
5,c,data_clumps,libuv,/opt/projects/c/libuv,src/unix/process.c,"uv__spawn_and_init_child_fork(const uv_process_options_t* options, int stdio_count, int (*pipes)[2], int error_fd, pid_t* pid)",819,858,305,/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_and_init_child_fork|line=819;/opt/projects/c/libuv/src/unix/process.c:method=uv__process_child_init|line=287;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_and_init_child_posix_spawn|line=778;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_and_init_child|line=860;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_set_posix_spawn_file_actions|line=541,0,group=const uv_process_options_t*:options|int:stdio_count|int (*)[2]:pipes;occurrences=5;classes=1;method_names=5,,,5,5,"[{""file"":""src/unix/process.c"",""line"":""819"",""location"":""src/unix/process.c:method=uv__spawn_and_init_child_fork|line=819"",""method"":""uv__spawn_and_init_child_fork""},{""file"":""src/unix/process.c"",""line"":""287"",""location"":""src/unix/process.c:method=uv__process_child_init|line=287"",""method"":""uv__process_child_init""},{""file"":""src/unix/process.c"",""line"":""778"",""location"":""src/unix/process.c:method=uv__spawn_and_init_child_posix_spawn|line=778"",""method"":""uv__spawn_and_init_child_posix_spawn""},{""file"":""src/unix/process.c"",""line"":""860"",""location"":""src/unix/process.c:method=uv__spawn_and_init_child|line=860"",""method"":""uv__spawn_and_init_child""},{""file"":""src/unix/process.c"",""line"":""541"",""location"":""src/unix/process.c:method=uv__spawn_set_posix_spawn_file_actions|line=541"",""method"":""uv__spawn_set_posix_spawn_file_actions""}]","{""group"":""constuv_process_options_t*:options|int(*)[2]:pipes|int:stdio_count""}"
6,c,data_clumps,rrdtool,/opt/projects/c/rrdtool,src/rrd_hw_update.c,"update_devseasonal(rrd_t *rrd, unsigned long cdp_idx, unsigned long rra_idx, unsigned long ds_idx, unsigned short CDP_scratch_idx, rrd_value_t *seasonal_dev, hw_functions_t * functions)",262,365,307,/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_devseasonal|line=262;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_devpredict|line=232;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_failures|line=369;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_hwpredict|line=38;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_seasonal|line=117;/opt/projects/c/rrdtool/src/rrd_hw.c:method=erase_violations|line=85;/opt/projects/c/rrdtool/src/rrd_hw.c:method=update_aberrant_CF|line=421,0,group=rrd_t:rrd|unsigned long:cdp_idx|unsigned long:rra_idx;occurrences=7;classes=2;method_names=7,,,7,7,"[{""file"":""src/rrd_hw_update.c"",""line"":""262"",""location"":""src/rrd_hw_update.c:method=update_devseasonal|line=262"",""method"":""update_devseasonal""},{""file"":""src/rrd_hw_update.c"",""line"":""232"",""location"":""src/rrd_hw_update.c:method=update_devpredict|line=232"",""method"":""update_devpredict""},{""file"":""src/rrd_hw_update.c"",""line"":""369"",""location"":""src/rrd_hw_update.c:method=update_failures|line=369"",""method"":""update_failures""},{""file"":""src/rrd_hw_update.c"",""line"":""38"",""location"":""src/rrd_hw_update.c:method=update_hwpredict|line=38"",""method"":""update_hwpredict""},{""file"":""src/rrd_hw_update.c"",""line"":""117"",""location"":""src/rrd_hw_update.c:method=update_seasonal|line=117"",""method"":""update_seasonal""},{""file"":""src/rrd_hw.c"",""line"":""85"",""location"":""src/rrd_hw.c:method=erase_violations|line=85"",""method"":""erase_violations""},{""file"":""src/rrd_hw.c"",""line"":""421"",""location"":""src/rrd_hw.c:method=update_aberrant_CF|line=421"",""method"":""update_aberrant_CF""}]","{""group"":""rrd_t:rrd|unsignedlong:cdp_idx|unsignedlong:rra_idx""}"
7,c,data_clumps,cJSON,/opt/projects/c/cJSON,cJSON_Utils.c,"cJSONUtils_GenerateMergePatch(cJSON * const from, cJSON * const to)",1473,1476,206,/opt/projects/c/cJSON/cJSON_Utils.c:method=cJSONUtils_GenerateMergePatch|line=1473;/opt/projects/c/cJSON/cJSON_Utils.c:method=cJSONUtils_GenerateMergePatchCaseSensitive|line=1478;/opt/projects/c/cJSON/cJSON_Utils.c:method=cJSONUtils_GeneratePatches|line=1281;/opt/projects/c/cJSON/cJSON_Utils.c:method=cJSONUtils_GeneratePatchesCaseSensitive|line=1296;/opt/projects/c/cJSON/cJSON_Utils.c:method=create_patches|line=1141;/opt/projects/c/cJSON/cJSON_Utils.c:method=generate_merge_patch|line=1391,0,group=cJSON * const:from|cJSON * const:to;occurrences=6;classes=1;method_names=6,,,6,6,"[{""file"":""cJSON_Utils.c"",""line"":""1473"",""location"":""cJSON_Utils.c:method=cJSONUtils_GenerateMergePatch|line=1473"",""method"":""cJSONUtils_GenerateMergePatch""},{""file"":""cJSON_Utils.c"",""line"":""1478"",""location"":""cJSON_Utils.c:method=cJSONUtils_GenerateMergePatchCaseSensitive|line=1478"",""method"":""cJSONUtils_GenerateMergePatchCaseSensitive""},{""file"":""cJSON_Utils.c"",""line"":""1281"",""location"":""cJSON_Utils.c:method=cJSONUtils_GeneratePatches|line=1281"",""method"":""cJSONUtils_GeneratePatches""},{""file"":""cJSON_Utils.c"",""line"":""1296"",""location"":""cJSON_Utils.c:method=cJSONUtils_GeneratePatchesCaseSensitive|line=1296"",""method"":""cJSONUtils_GeneratePatchesCaseSensitive""},{""file"":""cJSON_Utils.c"",""line"":""1141"",""location"":""cJSON_Utils.c:method=create_patches|line=1141"",""method"":""create_patches""},{""file"":""cJSON_Utils.c"",""line"":""1391"",""location"":""cJSON_Utils.c:method=generate_merge_patch|line=1391"",""method"":""generate_merge_patch""}]","{""group"":""cjson*const:from|cjson*const:to""}"
8,c,data_clumps,lua,/opt/projects/c/lua,ldump.c,"dumpUpvalues(DumpState *D, const Proto *f)",216,224,206,/opt/projects/c/lua/ldump.c:method=dumpUpvalues|line=216;/opt/projects/c/lua/ldump.c:method=dumpCode|line=171;/opt/projects/c/lua/ldump.c:method=dumpConstants|line=181;/opt/projects/c/lua/ldump.c:method=dumpDebug|line=227;/opt/projects/c/lua/ldump.c:method=dumpFunction|line=254;/opt/projects/c/lua/ldump.c:method=dumpProtos|line=207,0,group=DumpState:D|const Proto:f;occurrences=6;classes=1;method_names=6,,,6,6,"[{""file"":""ldump.c"",""line"":""216"",""location"":""ldump.c:method=dumpUpvalues|line=216"",""method"":""dumpUpvalues""},{""file"":""ldump.c"",""line"":""171"",""location"":""ldump.c:method=dumpCode|line=171"",""method"":""dumpCode""},{""file"":""ldump.c"",""line"":""181"",""location"":""ldump.c:method=dumpConstants|line=181"",""method"":""dumpConstants""},{""file"":""ldump.c"",""line"":""227"",""location"":""ldump.c:method=dumpDebug|line=227"",""method"":""dumpDebug""},{""file"":""ldump.c"",""line"":""254"",""location"":""ldump.c:method=dumpFunction|line=254"",""method"":""dumpFunction""},{""file"":""ldump.c"",""line"":""207"",""location"":""ldump.c:method=dumpProtos|line=207"",""method"":""dumpProtos""}]","{""group"":""constproto:f|dumpstate:d""}"
9,c,data_clumps,libuv,/opt/projects/c/libuv,src/unix/process.c,"uv__spawn_and_init_child_posix_spawn(const uv_process_options_t* options, int stdio_count, int (*pipes)[2], pid_t* pid, const uv__posix_spawn_fncs_t* posix_spawn_fncs)",778,816,305,/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_and_init_child_posix_spawn|line=778;/opt/projects/c/libuv/src/unix/process.c:method=uv__process_child_init|line=287;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_and_init_child_fork|line=819;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_and_init_child|line=860;/opt/projects/c/libuv/src/unix/process.c:method=uv__spawn_set_posix_spawn_file_actions|line=541,0,group=const uv_process_options_t*:options|int:stdio_count|int (*)[2]:pipes;occurrences=5;classes=1;method_names=5,,,5,5,"[{""file"":""src/unix/process.c"",""line"":""778"",""location"":""src/unix/process.c:method=uv__spawn_and_init_child_posix_spawn|line=778"",""method"":""uv__spawn_and_init_child_posix_spawn""},{""file"":""src/unix/process.c"",""line"":""287"",""location"":""src/unix/process.c:method=uv__process_child_init|line=287"",""method"":""uv__process_child_init""},{""file"":""src/unix/process.c"",""line"":""819"",""location"":""src/unix/process.c:method=uv__spawn_and_init_child_fork|line=819"",""method"":""uv__spawn_and_init_child_fork""},{""file"":""src/unix/process.c"",""line"":""860"",""location"":""src/unix/process.c:method=uv__spawn_and_init_child|line=860"",""method"":""uv__spawn_and_init_child""},{""file"":""src/unix/process.c"",""line"":""541"",""location"":""src/unix/process.c:method=uv__spawn_set_posix_spawn_file_actions|line=541"",""method"":""uv__spawn_set_posix_spawn_file_actions""}]","{""group"":""constuv_process_options_t*:options|int(*)[2]:pipes|int:stdio_count""}"
10,c,data_clumps,rrdtool,/opt/projects/c/rrdtool,src/rrd_hw_update.c,"update_failures(rrd_t *rrd, unsigned long cdp_idx, unsigned long rra_idx, unsigned long ds_idx, unsigned short CDP_scratch_idx, hw_functions_t * functions)",369,475,307,/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_failures|line=369;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_devpredict|line=232;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_devseasonal|line=262;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_hwpredict|line=38;/opt/projects/c/rrdtool/src/rrd_hw_update.c:method=update_seasonal|line=117;/opt/projects/c/rrdtool/src/rrd_hw.c:method=erase_violations|line=85;/opt/projects/c/rrdtool/src/rrd_hw.c:method=update_aberrant_CF|line=421,0,group=rrd_t:rrd|unsigned long:cdp_idx|unsigned long:rra_idx;occurrences=7;classes=2;method_names=7,,,7,7,"[{""file"":""src/rrd_hw_update.c"",""line"":""369"",""location"":""src/rrd_hw_update.c:method=update_failures|line=369"",""method"":""update_failures""},{""file"":""src/rrd_hw_update.c"",""line"":""232"",""location"":""src/rrd_hw_update.c:method=update_devpredict|line=232"",""method"":""update_devpredict""},{""file"":""src/rrd_hw_update.c"",""line"":""262"",""location"":""src/rrd_hw_update.c:method=update_devseasonal|line=262"",""method"":""update_devseasonal""},{""file"":""src/rrd_hw_update.c"",""line"":""38"",""location"":""src/rrd_hw_update.c:method=update_hwpredict|line=38"",""method"":""update_hwpredict""},{""file"":""src/rrd_hw_update.c"",""line"":""117"",""location"":""src/rrd_hw_update.c:method=update_seasonal|line=117"",""method"":""update_seasonal""},{""file"":""src/rrd_hw.c"",""line"":""85"",""location"":""src/rrd_hw.c:method=erase_violations|line=85"",""method"":""erase_violations""},{""file"":""src/rrd_hw.c"",""line"":""421"",""location"":""src/rrd_hw.c:method=update_aberrant_CF|line=421"",""method"":""update_aberrant_CF""}]","{""group"":""rrd_t:rrd|unsignedlong:cdp_idx|unsignedlong:rra_idx""}"
