sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
1,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__stat(uv_fs_t* req),2231,2234,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__stat(uv_fs_t* req)|line=2231,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
2,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_obj2(int pretty),51,60,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_obj2(int pretty)|line=51,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=10; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
3,c,dead_code,nginx,/opt/projects/c/nginx,src/http/modules/ngx_http_autoindex_module.c,"ngx_http_autoindex_alloc(ngx_http_autoindex_ctx_t *ctx, size_t size)",973,1004,0,"/opt/projects/c/nginx/src/http/modules/ngx_http_autoindex_module.c:method=ngx_http_autoindex_alloc(ngx_http_autoindex_ctx_t *ctx, size_t size)|line=973",0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=32; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
4,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__lstat(uv_fs_t* req),2237,2240,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__lstat(uv_fs_t* req)|line=2237,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
5,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_obj3(int pretty),62,71,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_obj3(int pretty)|line=62,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=10; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
6,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__fstat(uv_fs_t* req),2243,2263,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__fstat(uv_fs_t* req)|line=2243,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=21; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
7,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_obj4(int pretty),73,82,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_obj4(int pretty)|line=73,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=10; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
8,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__rename(uv_fs_t* req),2266,2273,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__rename(uv_fs_t* req)|line=2266,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=8; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
9,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_obj5(int pretty),84,91,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_obj5(int pretty)|line=84,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=8; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
10,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__fsync(uv_fs_t* req),2291,2293,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__fsync(uv_fs_t* req)|line=2291,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
11,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_obj6(int pretty),93,100,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_obj6(int pretty)|line=93,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=8; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
12,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__fdatasync(uv_fs_t* req),2296,2298,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__fdatasync(uv_fs_t* req)|line=2296,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
13,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_arr2(int pretty),144,153,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_arr2(int pretty)|line=144,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=10; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
14,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__ftruncate(uv_fs_t* req),2301,2374,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__ftruncate(uv_fs_t* req)|line=2301,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=74; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
15,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_arr3(int pretty),155,164,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_arr3(int pretty)|line=155,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=10; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
16,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__copyfile(uv_fs_t* req),2377,2411,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__copyfile(uv_fs_t* req)|line=2377,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=35; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
17,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_arr4(int pretty),166,175,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_arr4(int pretty)|line=166,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=10; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
18,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__sendfile(uv_fs_t* req),2414,2458,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__sendfile(uv_fs_t* req)|line=2414,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=45; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
19,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_nest1(int pretty),182,196,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_nest1(int pretty)|line=182,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=15; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
20,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__access(uv_fs_t* req),2461,2484,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__access(uv_fs_t* req)|line=2461,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=24; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
21,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_inline1(int pretty),217,237,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_inline1(int pretty)|line=217,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=21; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
22,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__chmod(uv_fs_t* req),2487,2493,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__chmod(uv_fs_t* req)|line=2487,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=7; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
23,c,dead_code,git,/opt/projects/c/git,t/helper/test-json-writer.c,make_inline2(int pretty),259,282,0,/opt/projects/c/git/t/helper/test-json-writer.c:method=make_inline2(int pretty)|line=259,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=24; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
24,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__fchmod(uv_fs_t* req),2496,2579,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__fchmod(uv_fs_t* req)|line=2496,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=84; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
25,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__utime(uv_fs_t* req),2668,2670,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__utime(uv_fs_t* req)|line=2668,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
26,c,dead_code,libuv,/opt/projects/c/libuv,src/win/fs.c,fs__futime(uv_fs_t* req),2673,2691,0,/opt/projects/c/libuv/src/win/fs.c:method=fs__futime(uv_fs_t* req)|line=2673,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=19; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
