sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
3,c,dead_code,nginx,/opt/projects/c/nginx,src/http/modules/ngx_http_autoindex_module.c,"ngx_http_autoindex_alloc(ngx_http_autoindex_ctx_t *ctx, size_t size)",973,1004,0,"/opt/projects/c/nginx/src/http/modules/ngx_http_autoindex_module.c:method=ngx_http_autoindex_alloc(ngx_http_autoindex_ctx_t *ctx, size_t size)|line=973",0,"kind=compile_excluded_private_function; member_kind=function; visibility=static; active_function_refs=0; preprocessor_condition=if_0; project_commit=f0a084645b8fede56ee08f2cc557c2475eb2a28d; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=preprocessor_aware_symbol_macro_pointer_registry_audit"
31,c,dead_code,curl,/opt/projects/c/curl,lib/multi.c,debug_print_sock_hash(void *p),580,586,0,/opt/projects/c/curl/lib/multi.c:method=debug_print_sock_hash(void *p)|line=580,0,"kind=compile_excluded_private_function; member_kind=function; visibility=static; active_function_refs=0; preprocessor_condition=if_0; project_commit=a946fbb5e60d6c4ca3fab5cd5cf041ea9ca23e10; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=preprocessor_aware_symbol_macro_pointer_registry_audit"
32,c,dead_code,git,/opt/projects/c/git,line-log.c,"dump_range_set(struct range_set *rs, const char *desc)",357,363,0,"/opt/projects/c/git/line-log.c:method=dump_range_set(struct range_set *rs, const char *desc)|line=357",0,"kind=compile_excluded_private_function; member_kind=function; visibility=static; active_function_refs=0; dead_branch_refs=1; preprocessor_condition=if_0; project_commit=7760f83b59750c27df653c5c46d0f80e44cfe02c; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=preprocessor_aware_symbol_macro_pointer_registry_audit"
33,c,dead_code,git,/opt/projects/c/git,line-log.c,dump_line_log_data(struct line_log_data *r),365,373,0,/opt/projects/c/git/line-log.c:method=dump_line_log_data(struct line_log_data *r)|line=365,0,"kind=compile_excluded_private_function; member_kind=function; visibility=static; active_function_refs=0; preprocessor_condition=if_0; project_commit=7760f83b59750c27df653c5c46d0f80e44cfe02c; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=preprocessor_aware_symbol_macro_pointer_registry_audit"
34,c,dead_code,git,/opt/projects/c/git,line-log.c,"dump_diff_ranges(struct diff_ranges *diff, const char *desc)",375,388,0,"/opt/projects/c/git/line-log.c:method=dump_diff_ranges(struct diff_ranges *diff, const char *desc)|line=375",0,"kind=compile_excluded_private_function; member_kind=function; visibility=static; active_function_refs=0; preprocessor_condition=if_0; project_commit=7760f83b59750c27df653c5c46d0f80e44cfe02c; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=preprocessor_aware_symbol_macro_pointer_registry_audit"
35,c,dead_code,libevent,/opt/projects/c/libevent,bufferevent.c,"bufferevent_transfer_lock_ownership_(struct bufferevent *donor, struct bufferevent *recipient)",688,702,0,"/opt/projects/c/libevent/bufferevent.c:method=bufferevent_transfer_lock_ownership_(struct bufferevent *donor, struct bufferevent *recipient)|line=688",0,"kind=compile_excluded_private_function; member_kind=function; visibility=static; active_function_refs=0; preprocessor_condition=if_0; project_commit=74f3ddabe98e34efb6eed32c34204fc936f41557; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=preprocessor_aware_symbol_macro_pointer_registry_audit"
36,c,dead_code,libevent,/opt/projects/c/libevent,bufferevent_openssl.c,print_err(int val),90,103,0,/opt/projects/c/libevent/bufferevent_openssl.c:method=print_err(int val)|line=90,0,"kind=compile_excluded_private_function; member_kind=function; visibility=static; active_function_refs=0; alternate_macro_same_name=true; preprocessor_condition=if_0_else_macro; project_commit=74f3ddabe98e34efb6eed32c34204fc936f41557; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=preprocessor_aware_symbol_macro_pointer_registry_audit"
37,c,dead_code,libevent,/opt/projects/c/libevent,event.c,"common_timeout_ok(const struct timeval *tv, struct event_base *base)",1436,1444,0,"/opt/projects/c/libevent/event.c:method=common_timeout_ok(const struct timeval *tv, struct event_base *base)|line=1436",0,"kind=compile_excluded_private_function; member_kind=function; visibility=static_inline; active_function_refs=0; preprocessor_condition=if_0; project_commit=74f3ddabe98e34efb6eed32c34204fc936f41557; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=preprocessor_aware_symbol_macro_pointer_registry_audit"
38,c,dead_code,libevent,/opt/projects/c/libevent,listener.c,listener_incref_and_lock(struct evconnlistener *listener),121,126,0,/opt/projects/c/libevent/listener.c:method=listener_incref_and_lock(struct evconnlistener *listener)|line=121,0,"kind=compile_excluded_private_function; member_kind=function; visibility=static; active_function_refs=0; preprocessor_condition=if_0; project_commit=74f3ddabe98e34efb6eed32c34204fc936f41557; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=preprocessor_aware_symbol_macro_pointer_registry_audit"
39,c,dead_code,libssh2,/opt/projects/c/libssh2,src/os400qc3.c,"_libssh2_bn_from_bn(_libssh2_bn *to, _libssh2_bn *from)",495,510,0,"/opt/projects/c/libssh2/src/os400qc3.c:method=_libssh2_bn_from_bn(_libssh2_bn *to, _libssh2_bn *from)|line=495",0,"kind=unused_private_function; member_kind=function; visibility=static; raw_symbol_occurrences=1; active_function_refs=0; token_paste_risk=0; function_pointer_refs=0; registry_refs=0; preprocessor_condition=none_os400_translation_unit; project_commit=4e1e02aea9a8df702f63fddab5550b2596cbb3c4; curation=audit_20260809; selector=runtime_tree_sitter_exact; validation=whole_repository_identifier_and_macro_audit"
