sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
1,c,feature_envy,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON.c,"ensure(printbuffer * const p, size_t needed)",485,568,34,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON.c:method=ensure(printbuffer * const p, size_t needed)|line=485",0,envied_receiver=p; foreign_access=34; foreign_ratio=1.00
2,c,feature_envy,curl,/Users/a1-6/Code/Project/C_Project/curl,lib/transfer.c,Curl_pretransfer(struct Curl_easy *data),480,636,142,/Users/a1-6/Code/Project/C_Project/curl/lib/transfer.c:method=Curl_pretransfer(struct Curl_easy *data)|line=480,0,envied_type=Curl_easy; foreign_access=142; foreign_ratio=0.96
3,c,feature_envy,git,/Users/a1-6/Code/Project/C_Project/git,builtin/rebase.c,"cmd_rebase(int argc, const char **argv, const char *prefix, struct repository *repo UNUSED)",1096,1924,282,"/Users/a1-6/Code/Project/C_Project/git/builtin/rebase.c:method=cmd_rebase(int argc, const char **argv, const char *prefix, struct repository *repo UNUSED)|line=1096",0,envied_receiver=options; foreign_access=282; foreign_ratio=0.90
4,c,feature_envy,libevent,/Users/a1-6/Code/Project/C_Project/libevent,win32select.c,"win32_dispatch(struct event_base *base, struct timeval *tv)",279,365,56,"/Users/a1-6/Code/Project/C_Project/libevent/win32select.c:method=win32_dispatch(struct event_base *base, struct timeval *tv)|line=279",0,envied_receiver=win32op; foreign_access=56; foreign_ratio=0.93
5,c,feature_envy,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/win/tty.c,"uv__tty_write_bufs(uv_tty_t* handle, const uv_buf_t bufs[], unsigned int nbufs, DWORD* error)",1691,2460,208,"/Users/a1-6/Code/Project/C_Project/libuv/src/win/tty.c:method=uv__tty_write_bufs(uv_tty_t* handle, const uv_buf_t bufs[], unsigned int nbufs, DWORD* error)|line=1691",0,envied_type=uv_tty_t; foreign_access=208; foreign_ratio=0.88
6,c,feature_envy,lua,/Users/a1-6/Code/Project/C_Project/lua,lcode.c,"luaK_dischargevars(FuncState *fs, expdesc *e)",819,874,75,"/Users/a1-6/Code/Project/C_Project/lua/lcode.c:method=luaK_dischargevars(FuncState *fs, expdesc *e)|line=819",0,envied_type=expdesc; foreign_access=75; foreign_ratio=1.00
7,c,feature_envy,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/http/v3/ngx_http_v3_filter_module.c,ngx_http_v3_header_filter(ngx_http_request_t *r),84,591,235,/Users/a1-6/Code/Project/C_Project/nginx/src/http/v3/ngx_http_v3_filter_module.c:method=ngx_http_v3_header_filter(ngx_http_request_t *r)|line=84,0,envied_type=ngx_http_request_t; foreign_access=235; foreign_ratio=0.67
8,c,feature_envy,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,src/rrd_rpncalc.c,"rpn_calc(rpnp_t *rpnp, rpnstack_t *rpnstack, long data_idx, rrd_value_t *output, int output_idx, int step_width)",613,1446,237,"/Users/a1-6/Code/Project/C_Project/rrdtool/src/rrd_rpncalc.c:method=rpn_calc(rpnp_t *rpnp, rpnstack_t *rpnstack, long data_idx, rrd_value_t *output, int output_idx, int step_width)|line=613",0,envied_type=rpnstack_t; foreign_access=237; foreign_ratio=0.88
9,c,feature_envy,tmux,/Users/a1-6/Code/Project/C_Project/tmux,status.c,"status_prompt_key(struct client *c, key_code key)",1413,1742,139,"/Users/a1-6/Code/Project/C_Project/tmux/status.c:method=status_prompt_key(struct client *c, key_code key)|line=1413",0,envied_type=client; foreign_access=139; foreign_ratio=0.95
10,c,feature_envy,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON.c,"print_object(const cJSON * const item, printbuffer * const output_buffer)",1770,1881,20,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON.c:method=print_object(const cJSON * const item, printbuffer * const output_buffer)|line=1770",0,envied_receiver=output_buffer; foreign_access=20; foreign_ratio=0.80
11,c,feature_envy,git,/Users/a1-6/Code/Project/C_Project/git,revision.c,"handle_revision_opt(struct rev_info *revs, int argc, const char **argv, int *unkc, const char **unkv, const struct setup_revision_opt* opt)",2316,2708,208,"/Users/a1-6/Code/Project/C_Project/git/revision.c:method=handle_revision_opt(struct rev_info *revs, int argc, const char **argv, int *unkc, const char **unkv, const struct setup_revision_opt* opt)|line=2316",0,envied_type=rev_info; foreign_access=208; foreign_ratio=0.99
12,c,feature_envy,libevent,/Users/a1-6/Code/Project/C_Project/libevent,bufferevent_ratelim.c,"bufferevent_decrement_read_buckets_(struct bufferevent_private *bev, ev_ssize_t bytes)",272,308,44,"/Users/a1-6/Code/Project/C_Project/libevent/bufferevent_ratelim.c:method=bufferevent_decrement_read_buckets_(struct bufferevent_private *bev, ev_ssize_t bytes)|line=272",0,envied_type=bufferevent_private; foreign_access=44; foreign_ratio=1.00
13,c,feature_envy,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,src/kex.c,"finish_kex(LIBSSH2_SESSION *session, struct kmdhgGPshakex_state *exchange_state, int digest_len, int sha_algo_value)",358,580,150,"/Users/a1-6/Code/Project/C_Project/libssh2/src/kex.c:method=finish_kex(LIBSSH2_SESSION *session, struct kmdhgGPshakex_state *exchange_state, int digest_len, int sha_algo_value)|line=358",0,envied_type=LIBSSH2_SESSION; foreign_access=150; foreign_ratio=0.97
14,c,feature_envy,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/win/tty.c,"uv_process_tty_read_raw_req(uv_loop_t* loop, uv_tty_t* handle, uv_req_t* req)",719,973,103,"/Users/a1-6/Code/Project/C_Project/libuv/src/win/tty.c:method=uv_process_tty_read_raw_req(uv_loop_t* loop, uv_tty_t* handle, uv_req_t* req)|line=719",0,envied_type=uv_tty_t; foreign_access=103; foreign_ratio=0.67
15,c,feature_envy,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/http/modules/ngx_http_uwsgi_module.c,"ngx_http_uwsgi_merge_loc_conf(ngx_conf_t *cf, void *parent, void *child)",1627,2040,229,"/Users/a1-6/Code/Project/C_Project/nginx/src/http/modules/ngx_http_uwsgi_module.c:method=ngx_http_uwsgi_merge_loc_conf(ngx_conf_t *cf, void *parent, void *child)|line=1627",0,envied_receiver=conf; foreign_access=229; foreign_ratio=0.63
16,c,feature_envy,redis,/Users/a1-6/Code/Project/C_Project/redis,src/server.c,processCommand(client *c),4372,4753,135,/Users/a1-6/Code/Project/C_Project/redis/src/server.c:method=processCommand(client *c)|line=4372,0,envied_type=client; foreign_access=135; foreign_ratio=0.75
