sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_false_positive,evidence,class,host_class,fp_reason
1,c,god_class,cJSON,/opt/projects/c/cJSON,cJSON_Utils.c,create_patches,1141,1279,362,/opt/projects/c/cJSON/cJSON_Utils.c:class=cJSON_Utils|line=1,0,nom=38;nof=0;wmc=362;loc=1481;atfd=0,cJSON_Utils,,
2,c,god_class,curl,/opt/projects/c/curl,lib/cookie.c,parse_cookie_header,426,646,636,/opt/projects/c/curl/lib/cookie.c:class=cookie|line=1,0,nom=34;nof=0;wmc=636;loc=1644;atfd=0,cookie,,
3,c,god_class,curl,/opt/projects/c/curl,lib/socks.c,socks5_connect,1032,1182,527,/opt/projects/c/curl/lib/socks.c:class=socks|line=1,0,nom=26;nof=0;wmc=527;loc=1407;atfd=0,socks,,
4,c,god_class,curl,/opt/projects/c/curl,lib/doh.c,doh_resp_decode,732,873,335,/opt/projects/c/curl/lib/doh.c:class=doh|line=1,0,nom=28;nof=0;wmc=335;loc=1362;atfd=0,doh,,
5,c,god_class,git,/opt/projects/c/git,attr.c,read_attr,841,872,204,/opt/projects/c/git/attr.c:class=attr|line=1,0,nom=59;nof=10;wmc=204;loc=1367;atfd=0,attr,,
6,c,god_class,git,/opt/projects/c/git,rerere.c,handle_conflict,367,422,254,/opt/projects/c/git/rerere.c:class=rerere|line=1,0,nom=48;nof=5;wmc=254;loc=1312;atfd=0,rerere,,
7,c,god_class,git,/opt/projects/c/git,odb.c,do_oid_object_info_extended,583,668,206,/opt/projects/c/git/odb.c:class=odb|line=1,0,nom=47;nof=3;wmc=206;loc=1181;atfd=0,odb,,
8,c,god_class,libevent,/opt/projects/c/libevent,bufferevent.c,bufferevent_setwatermark,593,638,127,/opt/projects/c/libevent/bufferevent.c:class=bufferevent|line=1,0,nom=54;nof=0;wmc=127;loc=1036;atfd=0,bufferevent,,
9,c,god_class,libevent,/opt/projects/c/libevent,bufferevent_openssl.c,do_write,653,730,515,/opt/projects/c/libevent/bufferevent_openssl.c:class=bufferevent_openssl|line=1,0,nom=55;nof=2;wmc=515;loc=1524;atfd=0,bufferevent_openssl,,
10,c,god_class,libevent,/opt/projects/c/libevent,evmap.c,evmap_io_add_,272,349,122,/opt/projects/c/libevent/evmap.c:class=evmap|line=1,0,nom=42;nof=0;wmc=122;loc=1062;atfd=0,evmap,,
11,c,god_class,libssh2,/opt/projects/c/libssh2,src/agent.c,agent_sign,766,926,153,/opt/projects/c/libssh2/src/agent.c:class=agent|line=1,0,nom=27;nof=1;wmc=153;loc=1351;atfd=0,agent,,
12,c,god_class,libssh2,/opt/projects/c/libssh2,src/hostkey.c,hostkey_method_ssh_ecdsa_init,781,855,142,/opt/projects/c/libssh2/src/hostkey.c:class=hostkey|line=1,0,nom=32;nof=1;wmc=142;loc=1497;atfd=0,hostkey,,
