sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
1,c,mysterious_name,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON.c,"ensure(printbuffer * const p, size_t needed)",485,568,1,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON.c:method=ensure(printbuffer * const p, size_t needed)|line=485",0,kind=param; name=p; reason=too_short; len=1
2,c,mysterious_name,curl,/Users/a1-6/Code/Project/C_Project/curl,CMake/CurlTests.c,main(void),66,101,1,/Users/a1-6/Code/Project/C_Project/curl/CMake/CurlTests.c:method=main(void)|line=66,0,kind=local; name=h; reason=too_short; len=1
3,c,mysterious_name,git,/Users/a1-6/Code/Project/C_Project/git,add-interactive.c,"init_add_i_state(struct add_i_state *s, struct repository *r, struct interactive_options *opts)",22,27,1,"/Users/a1-6/Code/Project/C_Project/git/add-interactive.c:method=init_add_i_state(struct add_i_state *s, struct repository *r, struct interactive_options *opts)|line=22",0,kind=param; name=s; reason=too_short; len=1
4,c,mysterious_name,libevent,/Users/a1-6/Code/Project/C_Project/libevent,arc4random.c,arc4_init(void),99,108,1,/Users/a1-6/Code/Project/C_Project/libevent/arc4random.c:method=arc4_init(void)|line=99,0,kind=local; name=n; reason=too_short; len=1
5,c,mysterious_name,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,example/sftp.c,"kbd_callback(const char *name, int name_len, const char *instruction, int instruction_len, int num_prompts, const LIBSSH2_USERAUTH_KBDINT_PROMPT *prompts, LIBSSH2_USERAUTH_KBDINT_RESPONSE *responses, void **abstract)",43,89,1,"/Users/a1-6/Code/Project/C_Project/libssh2/example/sftp.c:method=kbd_callback(const char *name, int name_len, const char *instruction, int instruction_len, int num_prompts, const LIBSSH2_USERAUTH_KBDINT_PROMPT *prompts, LIBSSH2_USERAUTH_KBDINT_RESPONSE *responses, void **abstract)|line=43",0,kind=local; name=n; reason=too_short; len=1
6,c,mysterious_name,libuv,/Users/a1-6/Code/Project/C_Project/libuv,docs/code/cgi/main.c,invoke_cgi_script(uv_tcp_t *client),17,48,1,/Users/a1-6/Code/Project/C_Project/libuv/docs/code/cgi/main.c:method=invoke_cgi_script(uv_tcp_t *client)|line=17,0,kind=local; name=r; reason=too_short; len=1
7,c,mysterious_name,lua,/Users/a1-6/Code/Project/C_Project/lua,lapi.c,"index2value(lua_State *L, int idx)",58,86,1,"/Users/a1-6/Code/Project/C_Project/lua/lapi.c:method=index2value(lua_State *L, int idx)|line=58",0,kind=param; name=L; reason=too_short; len=1
8,c,mysterious_name,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/core/nginx.c,"main(int argc, char *const *argv)",196,388,1,"/Users/a1-6/Code/Project/C_Project/nginx/src/core/nginx.c:method=main(int argc, char *const *argv)|line=196",0,kind=local; name=b; reason=too_short; len=1
9,c,mysterious_name,redis,/Users/a1-6/Code/Project/C_Project/redis,deps/fpconv/fpconv_dtoa.c,get_dbits(double d),75,83,1,/Users/a1-6/Code/Project/C_Project/redis/deps/fpconv/fpconv_dtoa.c:method=get_dbits(double d)|line=75,0,kind=param; name=d; reason=too_short; len=1
10,c,mysterious_name,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,bindings/lua/compat-5.1r5/compat-5.1.c,"getfield(lua_State *L, int idx, const char *name)",34,48,1,"/Users/a1-6/Code/Project/C_Project/rrdtool/bindings/lua/compat-5.1r5/compat-5.1.c:method=getfield(lua_State *L, int idx, const char *name)|line=34",0,kind=param; name=L; reason=too_short; len=1
11,c,mysterious_name,tmux,/Users/a1-6/Code/Project/C_Project/tmux,alerts.c,"alerts_timer(__unused int fd, __unused short events, void *arg)",42,49,1,"/Users/a1-6/Code/Project/C_Project/tmux/alerts.c:method=alerts_timer(__unused int fd, __unused short events, void *arg)|line=42",0,kind=local; name=w; reason=too_short; len=1
12,c,mysterious_name,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON.c,"compare_double(double a, double b)",584,588,1,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON.c:method=compare_double(double a, double b)|line=584",0,kind=param; name=a; reason=too_short; len=1
13,c,mysterious_name,curl,/Users/a1-6/Code/Project/C_Project/curl,CMake/CurlTests.c,check(char c),278,281,1,/Users/a1-6/Code/Project/C_Project/curl/CMake/CurlTests.c:method=check(char c)|line=278,0,kind=param; name=c; reason=too_short; len=1
14,c,mysterious_name,libevent,/Users/a1-6/Code/Project/C_Project/libevent,arc4random.c,"arc4_addrandom(const unsigned char *dat, int datlen)",110,125,1,"/Users/a1-6/Code/Project/C_Project/libevent/arc4random.c:method=arc4_addrandom(const unsigned char *dat, int datlen)|line=110",0,kind=local; name=n; reason=too_short; len=1
15,c,mysterious_name,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,example/ssh2.c,"main(int argc, char *argv[])",62,364,1,"/Users/a1-6/Code/Project/C_Project/libssh2/example/ssh2.c:method=main(int argc, char *argv[])|line=62",0,kind=local; name=h; reason=too_short; len=1
16,c,mysterious_name,libuv,/Users/a1-6/Code/Project/C_Project/libuv,docs/code/cgi/main.c,main(),66,81,1,/Users/a1-6/Code/Project/C_Project/libuv/docs/code/cgi/main.c:method=main()|line=66,0,kind=local; name=r; reason=too_short; len=1
17,c,mysterious_name,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/core/nginx.c,ngx_add_inherited_sockets(ngx_cycle_t *cycle),459,516,1,/Users/a1-6/Code/Project/C_Project/nginx/src/core/nginx.c:method=ngx_add_inherited_sockets(ngx_cycle_t *cycle)|line=459,0,kind=local; name=p; reason=too_short; len=1
18,c,mysterious_name,redis,/Users/a1-6/Code/Project/C_Project/redis,deps/fpconv/fpconv_dtoa.c,build_fp(double d),85,101,1,/Users/a1-6/Code/Project/C_Project/redis/deps/fpconv/fpconv_dtoa.c:method=build_fp(double d)|line=85,0,kind=param; name=d; reason=too_short; len=1
19,c,mysterious_name,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,bindings/lua/compat-5.1r5/compat-5.1.c,"setfield(lua_State *L, int idx, const char *name)",50,72,1,"/Users/a1-6/Code/Project/C_Project/rrdtool/bindings/lua/compat-5.1r5/compat-5.1.c:method=setfield(lua_State *L, int idx, const char *name)|line=50",0,kind=param; name=L; reason=too_short; len=1
20,c,mysterious_name,tmux,/Users/a1-6/Code/Project/C_Project/tmux,alerts.c,"alerts_callback(__unused int fd, __unused short events, __unused void *arg)",51,68,1,"/Users/a1-6/Code/Project/C_Project/tmux/alerts.c:method=alerts_callback(__unused int fd, __unused short events, __unused void *arg)|line=51",0,kind=local; name=w; reason=too_short; len=1
21,c,mysterious_name,curl,/Users/a1-6/Code/Project/C_Project/curl,CMake/CurlTests.c,check(float f),298,301,1,/Users/a1-6/Code/Project/C_Project/curl/CMake/CurlTests.c:method=check(float f)|line=298,0,kind=param; name=f; reason=too_short; len=1
22,c,mysterious_name,git,/Users/a1-6/Code/Project/C_Project/git,add-interactive.c,clear_add_i_state(struct add_i_state *s),29,34,1,/Users/a1-6/Code/Project/C_Project/git/add-interactive.c:method=clear_add_i_state(struct add_i_state *s)|line=29,0,kind=param; name=s; reason=too_short; len=1
23,c,mysterious_name,libevent,/Users/a1-6/Code/Project/C_Project/libevent,arc4random.c,arc4_seed_getrandom(void),175,201,1,/Users/a1-6/Code/Project/C_Project/libevent/arc4random.c:method=arc4_seed_getrandom(void)|line=175,0,kind=local; name=n; reason=too_short; len=1
24,c,mysterious_name,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,example/ssh2_echo.c,"main(int argc, char *argv[])",84,390,1,"/Users/a1-6/Code/Project/C_Project/libssh2/example/ssh2_echo.c:method=main(int argc, char *argv[])|line=84",0,kind=local; name=n; reason=too_short; len=1
25,c,mysterious_name,libuv,/Users/a1-6/Code/Project/C_Project/libuv,docs/code/detach/main.c,main(),9,31,1,/Users/a1-6/Code/Project/C_Project/libuv/docs/code/detach/main.c:method=main()|line=9,0,kind=local; name=r; reason=too_short; len=1
26,c,mysterious_name,lua,/Users/a1-6/Code/Project/C_Project/lua,lapi.c,"index2stack(lua_State *L, int idx)",93,106,1,"/Users/a1-6/Code/Project/C_Project/lua/lapi.c:method=index2stack(lua_State *L, int idx)|line=93",0,kind=param; name=L; reason=too_short; len=1
27,c,mysterious_name,redis,/Users/a1-6/Code/Project/C_Project/redis,deps/fpconv/fpconv_dtoa.c,"multiply(Fp *a, Fp *b)",137,152,1,"/Users/a1-6/Code/Project/C_Project/redis/deps/fpconv/fpconv_dtoa.c:method=multiply(Fp *a, Fp *b)|line=137",0,kind=param; name=a; reason=too_short; len=1
28,c,mysterious_name,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,bindings/lua/compat-5.1r5/compat-5.1.c,"luaL_module(lua_State *L, const char *libname, const luaL_reg *l, int nup)",74,117,1,"/Users/a1-6/Code/Project/C_Project/rrdtool/bindings/lua/compat-5.1r5/compat-5.1.c:method=luaL_module(lua_State *L, const char *libname, const luaL_reg *l, int nup)|line=74",0,kind=param; name=L; reason=too_short; len=1
29,c,mysterious_name,tmux,/Users/a1-6/Code/Project/C_Project/tmux,alerts.c,alerts_check_all(struct window *w),91,100,1,/Users/a1-6/Code/Project/C_Project/tmux/alerts.c:method=alerts_check_all(struct window *w)|line=91,0,kind=param; name=w; reason=too_short; len=1
30,c,mysterious_name,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON.c,"print_number(const cJSON * const item, printbuffer * const output_buffer)",591,658,1,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON.c:method=print_number(const cJSON * const item, printbuffer * const output_buffer)|line=591",0,kind=local; name=d; reason=too_short; len=1
