sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
1,c,nested_complexity,curl,/Users/a1-6/Code/Project/C_Project/curl,lib/curl_fnmatch.c,"loop(const unsigned char *pattern, const unsigned char *string, int maxstars)",251,344,14,"/Users/a1-6/Code/Project/C_Project/curl/lib/curl_fnmatch.c:method=loop(const unsigned char *pattern, const unsigned char *string, int maxstars)|line=251",0
2,c,nested_complexity,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,src/packet.c,"_libssh2_packet_add(LIBSSH2_SESSION *session, unsigned char *data, size_t datalen, int macstate, uint32_t seq)",650,1461,9,"/Users/a1-6/Code/Project/C_Project/libssh2/src/packet.c:method=_libssh2_packet_add(LIBSSH2_SESSION *session, unsigned char *data, size_t datalen, int macstate, uint32_t seq)|line=650",0
3,c,nested_complexity,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/idna.c,"uv__idna_toascii(const char* s, const char* se, char* d, char* de)",318,367,5,"/Users/a1-6/Code/Project/C_Project/libuv/src/idna.c:method=uv__idna_toascii(const char* s, const char* se, char* d, char* de)|line=318",0
4,c,nested_complexity,lua,/Users/a1-6/Code/Project/C_Project/lua,llex.c,"read_string(LexState *ls, int del, SemInfo *seminfo)",404,464,5,"/Users/a1-6/Code/Project/C_Project/lua/llex.c:method=read_string(LexState *ls, int del, SemInfo *seminfo)|line=404",0
5,c,nested_complexity,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/core/ngx_slab.c,"ngx_slab_alloc_locked(ngx_slab_pool_t *pool, size_t size)",183,417,8,"/Users/a1-6/Code/Project/C_Project/nginx/src/core/ngx_slab.c:method=ngx_slab_alloc_locked(ngx_slab_pool_t *pool, size_t size)|line=183",0
6,c,nested_complexity,redis,/Users/a1-6/Code/Project/C_Project/redis,src/rdb.c,"rdbLoadRioWithLoadingCtx(rio *rdb, int rdbflags, rdbSaveInfo *rsi, rdbLoadingCtx *rdb_loading_ctx)",3829,4225,22,"/Users/a1-6/Code/Project/C_Project/redis/src/rdb.c:method=rdbLoadRioWithLoadingCtx(rio *rdb, int rdbflags, rdbSaveInfo *rsi, rdbLoadingCtx *rdb_loading_ctx)|line=3829",0
7,c,nested_complexity,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,src/rrd_fetch_libdbi.c,"rrd_fetch_dbi_long(dbi_result result, int idx)",35,102,7,"/Users/a1-6/Code/Project/C_Project/rrdtool/src/rrd_fetch_libdbi.c:method=rrd_fetch_dbi_long(dbi_result result, int idx)|line=35",0
8,c,nested_complexity,tmux,/Users/a1-6/Code/Project/C_Project/tmux,cmd-refresh-client.c,"cmd_refresh_client_exec(struct cmd *self, struct cmdq_item *item)",194,306,7,"/Users/a1-6/Code/Project/C_Project/tmux/cmd-refresh-client.c:method=cmd_refresh_client_exec(struct cmd *self, struct cmdq_item *item)|line=194",0
9,c,nested_complexity,curl,/Users/a1-6/Code/Project/C_Project/curl,src/tool_writeout.c,"ourWriteOut(struct OperationConfig *config, struct per_transfer *per, CURLcode per_result)",717,873,11,"/Users/a1-6/Code/Project/C_Project/curl/src/tool_writeout.c:method=ourWriteOut(struct OperationConfig *config, struct per_transfer *per, CURLcode per_result)|line=717",0
10,c,nested_complexity,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,vms/man2help.c,"convertman(char *filespec, FILE *hlp, int base_level, int add_parentheses)",216,452,8,"/Users/a1-6/Code/Project/C_Project/libssh2/vms/man2help.c:method=convertman(char *filespec, FILE *hlp, int base_level, int add_parentheses)|line=216",0
11,c,nested_complexity,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/idna.c,"uv_utf16_length_as_wtf8(const uint16_t* w_source_ptr, ssize_t w_source_len)",427,457,5,"/Users/a1-6/Code/Project/C_Project/libuv/src/idna.c:method=uv_utf16_length_as_wtf8(const uint16_t* w_source_ptr, ssize_t w_source_len)|line=427",0
12,c,nested_complexity,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/core/ngx_cycle.c,ngx_init_cycle(ngx_cycle_t *old_cycle),38,954,7,/Users/a1-6/Code/Project/C_Project/nginx/src/core/ngx_cycle.c:method=ngx_init_cycle(ngx_cycle_t *old_cycle)|line=38,0
13,c,nested_complexity,redis,/Users/a1-6/Code/Project/C_Project/redis,src/geo.c,"georadiusGeneric(client *c, int srcKeyIndex, int flags)",524,845,17,"/Users/a1-6/Code/Project/C_Project/redis/src/geo.c:method=georadiusGeneric(client *c, int srcKeyIndex, int flags)|line=524",0
14,c,nested_complexity,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,src/rrd_fetch_libdbi.c,"rrd_fetch_dbi_double(dbi_result result, int idx)",104,177,7,"/Users/a1-6/Code/Project/C_Project/rrdtool/src/rrd_fetch_libdbi.c:method=rrd_fetch_dbi_double(dbi_result result, int idx)|line=104",0
15,c,nested_complexity,tmux,/Users/a1-6/Code/Project/C_Project/tmux,tty-draw.c,"tty_draw_line(struct tty *tty, struct screen *s, u_int px, u_int py, u_int nx, u_int atx, u_int aty, const struct grid_cell *defaults, struct colour_palette *palette)",123,338,7,"/Users/a1-6/Code/Project/C_Project/tmux/tty-draw.c:method=tty_draw_line(struct tty *tty, struct screen *s, u_int px, u_int py, u_int nx, u_int atx, u_int aty, const struct grid_cell *defaults, struct colour_palette *palette)|line=123",0
16,c,nested_complexity,curl,/Users/a1-6/Code/Project/C_Project/curl,lib/cookie.c,"parse_cookie_header(struct Curl_easy *data, struct Cookie *co, struct CookieInfo *ci, bool *okay, /* if the cookie was fine */ const char *ptr, const char *domain, /* default domain */ const char *path, /* full path used when this cookie is set, used to get default path for the cookie unless set */ bool secure)",426,646,10,"/Users/a1-6/Code/Project/C_Project/curl/lib/cookie.c:method=parse_cookie_header(struct Curl_easy *data, struct Cookie *co, struct CookieInfo *ci, bool *okay, /* if the cookie was fine */ const char *ptr, const char *domain, /* default domain */ const char *path, /* full path used when this cookie is set, used to get default path for the cookie unless set */ bool secure)|line=426",0
17,c,nested_complexity,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,src/packet.c,"packet_queue_listener(LIBSSH2_SESSION *session, unsigned char *data, size_t datalen, struct packet_queue_listener_state *listen_state)",65,272,6,"/Users/a1-6/Code/Project/C_Project/libssh2/src/packet.c:method=packet_queue_listener(LIBSSH2_SESSION *session, unsigned char *data, size_t datalen, struct packet_queue_listener_state *listen_state)|line=65",0
18,c,nested_complexity,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/idna.c,"uv_utf16_to_wtf8(const uint16_t* w_source_ptr, ssize_t w_source_len, char** target_ptr, size_t* target_len_ptr)",460,560,5,"/Users/a1-6/Code/Project/C_Project/libuv/src/idna.c:method=uv_utf16_to_wtf8(const uint16_t* w_source_ptr, ssize_t w_source_len, char** target_ptr, size_t* target_len_ptr)|line=460",0
19,c,nested_complexity,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/http/modules/ngx_http_ssi_filter_module.c,"ngx_http_ssi_body_filter(ngx_http_request_t *r, ngx_chain_t *in)",414,942,7,"/Users/a1-6/Code/Project/C_Project/nginx/src/http/modules/ngx_http_ssi_filter_module.c:method=ngx_http_ssi_body_filter(ngx_http_request_t *r, ngx_chain_t *in)|line=414",0
20,c,nested_complexity,redis,/Users/a1-6/Code/Project/C_Project/redis,src/acl.c,aclCommand(client *c),2876,3204,15,/Users/a1-6/Code/Project/C_Project/redis/src/acl.c:method=aclCommand(client *c)|line=2876,0
21,c,nested_complexity,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,src/rrd_cgi.c,rrdcgiReadVariables(void),1373,1555,6,/Users/a1-6/Code/Project/C_Project/rrdtool/src/rrd_cgi.c:method=rrdcgiReadVariables(void)|line=1373,0
22,c,nested_complexity,tmux,/Users/a1-6/Code/Project/C_Project/tmux,cmd-find-window.c,"cmd_find_window_exec(struct cmd *self, struct cmdq_item *item)",44,116,6,"/Users/a1-6/Code/Project/C_Project/tmux/cmd-find-window.c:method=cmd_find_window_exec(struct cmd *self, struct cmdq_item *item)|line=44",0
23,c,nested_complexity,curl,/Users/a1-6/Code/Project/C_Project/curl,lib/curl_fnmatch.c,"parsekeyword(const unsigned char **pattern, unsigned char *charset)",69,122,10,"/Users/a1-6/Code/Project/C_Project/curl/lib/curl_fnmatch.c:method=parsekeyword(const unsigned char **pattern, unsigned char *charset)|line=69",0
24,c,nested_complexity,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,src/packet.c,"_libssh2_packet_require(LIBSSH2_SESSION *session, unsigned char packet_type, unsigned char **data, size_t *data_len, int match_ofs, const unsigned char *match_buf, size_t match_len, struct packet_require_state *state)",1546,1599,6,"/Users/a1-6/Code/Project/C_Project/libssh2/src/packet.c:method=_libssh2_packet_require(LIBSSH2_SESSION *session, unsigned char packet_type, unsigned char **data, size_t *data_len, int match_ofs, const unsigned char *match_buf, size_t match_len, struct packet_require_state *state)|line=1546",0
25,c,nested_complexity,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/unix/process.c,"uv__spawn_and_init_child(uv_loop_t* loop, const uv_process_options_t* options, int stdio_count, int (*pipes)[2], pid_t* pid)",860,963,5,"/Users/a1-6/Code/Project/C_Project/libuv/src/unix/process.c:method=uv__spawn_and_init_child(uv_loop_t* loop, const uv_process_options_t* options, int stdio_count, int (*pipes)[2], pid_t* pid)|line=860",0
