sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,class,host_class
1,c,switch_statements,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON_Utils.c,"compare_json(cJSON *a, cJSON *b, const cJSON_bool case_sensitive)",604,690,5,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON_Utils.c:method=compare_json(cJSON *a, cJSON *b, const cJSON_bool case_sensitive)|line=604",0,switches=1;kind=switch;branches=5,,
2,c,switch_statements,curl,/Users/a1-6/Code/Project/C_Project/curl,lib/vssh/libssh2.c,"ssh_statemachine(struct Curl_easy *data, struct ssh_conn *sshc, struct SSHPROTO *sshp, bool *block)",2911,3168,58,"/Users/a1-6/Code/Project/C_Project/curl/lib/vssh/libssh2.c:method=ssh_statemachine(struct Curl_easy *data, struct ssh_conn *sshc, struct SSHPROTO *sshp, bool *block)|line=2911",0,switches=1;kind=switch;branches=58,,
3,c,switch_statements,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,src/packet.c,"_libssh2_packet_add(LIBSSH2_SESSION *session, unsigned char *data, size_t datalen, int macstate, uint32_t seq)",650,1461,13,"/Users/a1-6/Code/Project/C_Project/libssh2/src/packet.c:method=_libssh2_packet_add(LIBSSH2_SESSION *session, unsigned char *data, size_t datalen, int macstate, uint32_t seq)|line=650",0,switches=2;kind=switch;branches=13,,
4,c,switch_statements,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/random.c,"uv__random(void* buf, size_t buflen)",31,70,7,"/Users/a1-6/Code/Project/C_Project/libuv/src/random.c:method=uv__random(void* buf, size_t buflen)|line=31",0,switches=1;kind=switch;branches=7,,
5,c,switch_statements,lua,/Users/a1-6/Code/Project/C_Project/lua,llex.c,"llex(LexState *ls, SemInfo *seminfo)",467,585,29,"/Users/a1-6/Code/Project/C_Project/lua/llex.c:method=llex(LexState *ls, SemInfo *seminfo)|line=467",0,switches=1;kind=switch;branches=29,,
6,c,switch_statements,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/event/quic/ngx_event_quic_frames.c,"ngx_quic_log_frame(ngx_log_t *log, ngx_quic_frame_t *f, ngx_uint_t tx)",657,893,25,"/Users/a1-6/Code/Project/C_Project/nginx/src/event/quic/ngx_event_quic_frames.c:method=ngx_quic_log_frame(ngx_log_t *log, ngx_quic_frame_t *f, ngx_uint_t tx)|line=657",0,switches=1;kind=switch;branches=25,,
7,c,switch_statements,redis,/Users/a1-6/Code/Project/C_Project/redis,src/lzf_d.c,"lzf_decompress(const void *const in_data, size_t in_len, void *out_data, size_t out_len)",59,188,32,"/Users/a1-6/Code/Project/C_Project/redis/src/lzf_d.c:method=lzf_decompress(const void *const in_data, size_t in_len, void *out_data, size_t out_len)|line=59",0,switches=2;kind=switch;branches=32,,
8,c,switch_statements,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,src/rrd_fetch_libdbi.c,_hexcharhelper(char c),383,409,22,/Users/a1-6/Code/Project/C_Project/rrdtool/src/rrd_fetch_libdbi.c:method=_hexcharhelper(char c)|line=383,0,switches=1;kind=switch;branches=22,,
9,c,switch_statements,tmux,/Users/a1-6/Code/Project/C_Project/tmux,utf8-combined.c,"utf8_should_combine(const struct utf8_data *with, const struct utf8_data *add)",86,179,72,"/Users/a1-6/Code/Project/C_Project/tmux/utf8-combined.c:method=utf8_should_combine(const struct utf8_data *with, const struct utf8_data *add)|line=86",0,switches=1;kind=switch;branches=72,,
10,c,switch_statements,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON_Utils.c,"create_patches(cJSON * const patches, const unsigned char * const path, cJSON * const from, cJSON * const to, const cJSON_bool case_sensitive)",1141,1279,5,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON_Utils.c:method=create_patches(cJSON * const patches, const unsigned char * const path, cJSON * const from, cJSON * const to, const cJSON_bool case_sensitive)|line=1141",0,switches=1;kind=switch;branches=5,,
11,c,switch_statements,curl,/Users/a1-6/Code/Project/C_Project/curl,src/tool_writeout.c,"writeString(FILE *stream, const struct writeoutvar *wovar, struct per_transfer *per, CURLcode per_result, bool use_json)",172,321,25,"/Users/a1-6/Code/Project/C_Project/curl/src/tool_writeout.c:method=writeString(FILE *stream, const struct writeoutvar *wovar, struct per_transfer *per, CURLcode per_result, bool use_json)|line=172",0,switches=1;kind=switch;branches=25,,
12,c,switch_statements,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,vms/man2help.c,"convertman(char *filespec, FILE *hlp, int base_level, int add_parentheses)",216,452,6,"/Users/a1-6/Code/Project/C_Project/libssh2/vms/man2help.c:method=convertman(char *filespec, FILE *hlp, int base_level, int add_parentheses)|line=216",0,switches=3;kind=switch;branches=6,,
