sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,a_file,a_method,a_begin_line,a_end_line,a_method_begin,a_method_end,b_file,b_method,b_begin_line,b_end_line,b_method_begin,b_method_end,clone_group_id,tokens,lines,group_size
1,cpp,code_clone_type1,Catch2,/opt/projects/cpp/Catch2,,,,,43,/opt/projects/cpp/Catch2/src/catch2/catch_tostring.cpp:method=StringMaker<long long>::convert(long long value)|line=194;/opt/projects/cpp/Catch2/src/catch2/catch_tostring.cpp:method=StringMaker<unsigned long long>::convert(unsigned long long value)|line=209,0,,src/catch2/catch_tostring.cpp,StringMaker<long long>::convert(long long value),194,201,194,201,src/catch2/catch_tostring.cpp,StringMaker<unsigned long long>::convert(unsigned long long value),209,216,209,216,Catch2::clone_5::pair_1,43,8,2
2,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,311,/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/MD4Engine.cpp:method=MD4Engine::digest()|line=108;/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/MD5Engine.cpp:method=MD5Engine::digest()|line=108,0,,Foundation/src/MD4Engine.cpp,MD4Engine::digest(),108,148,108,148,Foundation/src/MD5Engine.cpp,MD5Engine::digest(),108,148,108,148,poco-poco-1.14.2-release::clone_137::pair_1,311,41,2
3,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,622,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/java/full/enum_field.cc:method=RepeatedImmutableEnumFieldGenerator::GenerateKotlinDslMembers(io::Printer* printer)|line=1080;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/java/full/primitive_field.cc:method=RepeatedImmutablePrimitiveFieldGenerator::GenerateKotlinDslMembers(io::Printer* printer)|line=843,0,,src/google/protobuf/compiler/java/full/enum_field.cc,RepeatedImmutableEnumFieldGenerator::GenerateKotlinDslMembers(io::Printer* printer),1080,1179,1080,1179,src/google/protobuf/compiler/java/full/primitive_field.cc,RepeatedImmutablePrimitiveFieldGenerator::GenerateKotlinDslMembers(io::Printer* printer),843,942,843,942,protobuf-29.3::clone_63::pair_1,622,100,2
4,cpp,code_clone_type1,yaml-cpp,/opt/projects/cpp/yaml-cpp,,,,,31,"/opt/projects/cpp/yaml-cpp/include/yaml-cpp/node/detail/impl.h:method=get(const std::vector<node*>& sequence, const Key& key, shared_memory_holder pMemory)|line=47;/opt/projects/cpp/yaml-cpp/include/yaml-cpp/node/detail/impl.h:method=get(std::vector<node*>& sequence, const Key& key, shared_memory_holder pMemory)|line=53",0,,include/yaml-cpp/node/detail/impl.h,"get(const std::vector<node*>& sequence, const Key& key, shared_memory_holder pMemory)",47,52,47,52,include/yaml-cpp/node/detail/impl.h,"get(std::vector<node*>& sequence, const Key& key, shared_memory_holder pMemory)",53,58,53,58,yaml-cpp::clone_1::pair_1,31,6,2
5,cpp,code_clone_type1,Catch2,/opt/projects/cpp/Catch2,,,,,34,/opt/projects/cpp/Catch2/src/catch2/catch_tostring.cpp:method=StringMaker<wchar_t const*>::convert(wchar_t const * str)|line=165;/opt/projects/cpp/Catch2/src/catch2/catch_tostring.cpp:method=StringMaker<wchar_t *>::convert(wchar_t * str)|line=172,0,,src/catch2/catch_tostring.cpp,StringMaker<wchar_t const*>::convert(wchar_t const * str),165,171,165,171,src/catch2/catch_tostring.cpp,StringMaker<wchar_t *>::convert(wchar_t * str),172,178,172,178,Catch2::clone_3::pair_1,34,7,2
6,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,197,"/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/MD4Engine.cpp:method=MD4Engine::updateImpl(const void* input_, std::size_t inputLen)|line=58;/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/MD5Engine.cpp:method=MD5Engine::updateImpl(const void* input_, std::size_t inputLen)|line=58",0,,Foundation/src/MD4Engine.cpp,"MD4Engine::updateImpl(const void* input_, std::size_t inputLen)",58,88,58,88,Foundation/src/MD5Engine.cpp,"MD5Engine::updateImpl(const void* input_, std::size_t inputLen)",58,88,58,88,poco-poco-1.14.2-release::clone_135::pair_1,197,31,2
7,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,190,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_field.cc:method=SingularString::GenerateCopyConstructorCode(io::Printer* p)|line=626;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc:method=SingularStringView::GenerateCopyConstructorCode(io::Printer* p)|line=443,0,,src/google/protobuf/compiler/cpp/field_generators/string_field.cc,SingularString::GenerateCopyConstructorCode(io::Printer* p),626,660,626,660,src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc,SingularStringView::GenerateCopyConstructorCode(io::Printer* p),443,477,443,477,protobuf-29.3::clone_33::pair_1,190,35,2
8,cpp,code_clone_type1,Catch2,/opt/projects/cpp/Catch2,,,,,29,/opt/projects/cpp/Catch2/src/catch2/reporters/catch_reporter_compact.cpp:method=printMessage()|line=162;/opt/projects/cpp/Catch2/src/catch2/reporters/catch_reporter_tap.cpp:method=printMessage()|line=153,0,,src/catch2/reporters/catch_reporter_compact.cpp,printMessage(),162,167,162,167,src/catch2/reporters/catch_reporter_tap.cpp,printMessage(),153,158,153,158,Catch2::clone_15::pair_1,29,6,2
9,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,193,"/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/ConsoleChannel.cpp:method=ColorConsoleChannel::setProperty(const std::string& name, const std::string& value)|line=102;/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/WindowsConsoleChannel.cpp:method=WindowsColorConsoleChannel::setProperty(const std::string& name, const std::string& value)|line=112",0,,Foundation/src/ConsoleChannel.cpp,"ColorConsoleChannel::setProperty(const std::string& name, const std::string& value)",102,144,102,144,Foundation/src/WindowsConsoleChannel.cpp,"WindowsColorConsoleChannel::setProperty(const std::string& name, const std::string& value)",112,154,112,154,poco-poco-1.14.2-release::clone_114::pair_1,193,43,2
10,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,125,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_field.cc:method=SingularString::GenerateMessageClearingCode(io::Printer* p)|line=537;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc:method=SingularStringView::GenerateMessageClearingCode(io::Printer* p)|line=362,0,,src/google/protobuf/compiler/cpp/field_generators/string_field.cc,SingularString::GenerateMessageClearingCode(io::Printer* p),537,582,537,582,src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc,SingularStringView::GenerateMessageClearingCode(io::Printer* p),362,399,362,399,protobuf-29.3::clone_31::pair_1,125,46,2
11,cpp,code_clone_type1,Catch2,/opt/projects/cpp/Catch2,,,,,27,/opt/projects/cpp/Catch2/src/catch2/matchers/catch_matchers_contains.hpp:method=match(RangeLike&& rng)|line=57;/opt/projects/cpp/Catch2/src/catch2/matchers/catch_matchers_quantifiers.hpp:method=match(RangeLike&& rng)|line=78,0,,src/catch2/matchers/catch_matchers_contains.hpp,match(RangeLike&& rng),57,64,57,64,src/catch2/matchers/catch_matchers_quantifiers.hpp,match(RangeLike&& rng),78,85,78,85,Catch2::clone_10::pair_1,27,8,2
