sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,class,host_class,reported_occurrence_count,listed_occurrence_count,group_occurrences,target_context_json
1,cpp,data_clumps,Catch2,/opt/projects/cpp/Catch2,src/catch2/catch_approx.cpp,"marginComparison(double lhs, double rhs, double margin)",19,21,302,/opt/projects/cpp/Catch2/src/catch2/catch_approx.cpp:method=marginComparison|line=19;/opt/projects/cpp/Catch2/src/catch2/matchers/catch_matchers_floating_point.cpp:method=marginComparison|line=52;/opt/projects/cpp/Catch2/extras/catch_amalgamated.cpp:method=marginComparison|line=552;/opt/projects/cpp/Catch2/extras/catch_amalgamated.cpp:method=marginComparison|line=7953,0,group=double:lhs|double:rhs|double:margin;occurrences=4;classes=3;method_names=1,,,4,4,"[{""file"":""src/catch2/catch_approx.cpp"",""line"":""19"",""location"":""src/catch2/catch_approx.cpp:method=marginComparison|line=19"",""method"":""marginComparison""},{""file"":""src/catch2/matchers/catch_matchers_floating_point.cpp"",""line"":""52"",""location"":""src/catch2/matchers/catch_matchers_floating_point.cpp:method=marginComparison|line=52"",""method"":""marginComparison""},{""file"":""extras/catch_amalgamated.cpp"",""line"":""552"",""location"":""extras/catch_amalgamated.cpp:method=marginComparison|line=552"",""method"":""marginComparison""},{""file"":""extras/catch_amalgamated.cpp"",""line"":""7953"",""location"":""extras/catch_amalgamated.cpp:method=marginComparison|line=7953"",""method"":""marginComparison""}]","{""group"":""double:lhs|double:margin|double:rhs""}"
2,cpp,data_clumps,yaml-cpp,/opt/projects/cpp/yaml-cpp,src/emitfromevents.cpp,"EmitFromEvents::OnMapStart(const Mark&, const std::string& tag, anchor_t anchor, EmitterStyle::value style)",74,92,304,/opt/projects/cpp/yaml-cpp/src/emitfromevents.cpp:method=OnMapStart|line=74;/opt/projects/cpp/yaml-cpp/src/emitfromevents.cpp:method=OnSequenceStart|line=47;/opt/projects/cpp/yaml-cpp/src/nodebuilder.cpp:method=OnMapStart|line=65;/opt/projects/cpp/yaml-cpp/src/nodebuilder.cpp:method=OnSequenceStart|line=55,0,group=const std::string&:tag|anchor_t:anchor|EmitterStyle::value:style;occurrences=4;classes=2;method_names=2,EmitFromEvents,,4,4,"[{""file"":""src/emitfromevents.cpp"",""line"":""74"",""location"":""src/emitfromevents.cpp:method=OnMapStart|line=74"",""method"":""OnMapStart""},{""file"":""src/emitfromevents.cpp"",""line"":""47"",""location"":""src/emitfromevents.cpp:method=OnSequenceStart|line=47"",""method"":""OnSequenceStart""},{""file"":""src/nodebuilder.cpp"",""line"":""65"",""location"":""src/nodebuilder.cpp:method=OnMapStart|line=65"",""method"":""OnMapStart""},{""file"":""src/nodebuilder.cpp"",""line"":""55"",""location"":""src/nodebuilder.cpp:method=OnSequenceStart|line=55"",""method"":""OnSequenceStart""}]","{""group"":""anchor_t:anchor|conststd::string&:tag|emitterstyle::value:style""}"
3,cpp,data_clumps,Catch2,/opt/projects/cpp/Catch2,src/catch2/catch_registry_hub.cpp,"registerTagAlias(std::string const& alias, std::string const& tag, SourceLineInfo const& lineInfo)",65,67,302,/opt/projects/cpp/Catch2/src/catch2/catch_registry_hub.cpp:method=registerTagAlias|line=65;/opt/projects/cpp/Catch2/src/catch2/internal/catch_tag_alias_registry.cpp:method=add|line=38;/opt/projects/cpp/Catch2/extras/catch_amalgamated.cpp:method=registerTagAlias|line=1112;/opt/projects/cpp/Catch2/extras/catch_amalgamated.cpp:method=add|line=6446,0,group=std::string const&:alias|std::string const&:tag|SourceLineInfo const&:lineInfo;occurrences=4;classes=3;method_names=2,RegistryHub,,4,4,"[{""file"":""src/catch2/catch_registry_hub.cpp"",""line"":""65"",""location"":""src/catch2/catch_registry_hub.cpp:method=registerTagAlias|line=65"",""method"":""registerTagAlias""},{""file"":""src/catch2/internal/catch_tag_alias_registry.cpp"",""line"":""38"",""location"":""src/catch2/internal/catch_tag_alias_registry.cpp:method=add|line=38"",""method"":""add""},{""file"":""extras/catch_amalgamated.cpp"",""line"":""1112"",""location"":""extras/catch_amalgamated.cpp:method=registerTagAlias|line=1112"",""method"":""registerTagAlias""},{""file"":""extras/catch_amalgamated.cpp"",""line"":""6446"",""location"":""extras/catch_amalgamated.cpp:method=add|line=6446"",""method"":""add""}]","{""group"":""sourcelineinfoconst&:lineinfo|std::stringconst&:alias|std::stringconst&:tag""}"
4,cpp,data_clumps,yaml-cpp,/opt/projects/cpp/yaml-cpp,src/emitfromevents.cpp,"EmitFromEvents::OnSequenceStart(const Mark&, const std::string& tag, anchor_t anchor, EmitterStyle::value style)",47,66,304,/opt/projects/cpp/yaml-cpp/src/emitfromevents.cpp:method=OnSequenceStart|line=47;/opt/projects/cpp/yaml-cpp/src/emitfromevents.cpp:method=OnMapStart|line=74;/opt/projects/cpp/yaml-cpp/src/nodebuilder.cpp:method=OnMapStart|line=65;/opt/projects/cpp/yaml-cpp/src/nodebuilder.cpp:method=OnSequenceStart|line=55,0,group=const std::string&:tag|anchor_t:anchor|EmitterStyle::value:style;occurrences=4;classes=2;method_names=2,EmitFromEvents,,4,4,"[{""file"":""src/emitfromevents.cpp"",""line"":""47"",""location"":""src/emitfromevents.cpp:method=OnSequenceStart|line=47"",""method"":""OnSequenceStart""},{""file"":""src/emitfromevents.cpp"",""line"":""74"",""location"":""src/emitfromevents.cpp:method=OnMapStart|line=74"",""method"":""OnMapStart""},{""file"":""src/nodebuilder.cpp"",""line"":""65"",""location"":""src/nodebuilder.cpp:method=OnMapStart|line=65"",""method"":""OnMapStart""},{""file"":""src/nodebuilder.cpp"",""line"":""55"",""location"":""src/nodebuilder.cpp:method=OnSequenceStart|line=55"",""method"":""OnSequenceStart""}]","{""group"":""anchor_t:anchor|conststd::string&:tag|emitterstyle::value:style""}"
5,cpp,data_clumps,Catch2,/opt/projects/cpp/Catch2,src/catch2/generators/catch_generators_range.hpp,"range(T const& start, T const& end, T const& step)",54,57,302,/opt/projects/cpp/Catch2/src/catch2/generators/catch_generators_range.hpp:method=range|line=54;/opt/projects/cpp/Catch2/src/catch2/generators/catch_generators_range.hpp:method=RangeGenerator|line=28;/opt/projects/cpp/Catch2/extras/catch_amalgamated.hpp:method=RangeGenerator|line=8586;/opt/projects/cpp/Catch2/extras/catch_amalgamated.hpp:method=range|line=8612,0,group=T const&:start|T const&:end|T const&:step;occurrences=4;classes=2;method_names=2,,,4,4,"[{""file"":""src/catch2/generators/catch_generators_range.hpp"",""line"":""54"",""location"":""src/catch2/generators/catch_generators_range.hpp:method=range|line=54"",""method"":""range""},{""file"":""src/catch2/generators/catch_generators_range.hpp"",""line"":""28"",""location"":""src/catch2/generators/catch_generators_range.hpp:method=RangeGenerator|line=28"",""method"":""RangeGenerator""},{""file"":""extras/catch_amalgamated.hpp"",""line"":""8586"",""location"":""extras/catch_amalgamated.hpp:method=RangeGenerator|line=8586"",""method"":""RangeGenerator""},{""file"":""extras/catch_amalgamated.hpp"",""line"":""8612"",""location"":""extras/catch_amalgamated.hpp:method=range|line=8612"",""method"":""range""}]","{""group"":""tconst&:end|tconst&:start|tconst&:step""}"
6,cpp,data_clumps,yaml-cpp,/opt/projects/cpp/yaml-cpp,src/nodebuilder.cpp,"NodeBuilder::OnMapStart(const Mark& mark, const std::string& tag, anchor_t anchor, EmitterStyle::value style)",65,72,304,/opt/projects/cpp/yaml-cpp/src/nodebuilder.cpp:method=OnMapStart|line=65;/opt/projects/cpp/yaml-cpp/src/emitfromevents.cpp:method=OnMapStart|line=74;/opt/projects/cpp/yaml-cpp/src/emitfromevents.cpp:method=OnSequenceStart|line=47;/opt/projects/cpp/yaml-cpp/src/nodebuilder.cpp:method=OnSequenceStart|line=55,0,group=const std::string&:tag|anchor_t:anchor|EmitterStyle::value:style;occurrences=4;classes=2;method_names=2,NodeBuilder,,4,4,"[{""file"":""src/nodebuilder.cpp"",""line"":""65"",""location"":""src/nodebuilder.cpp:method=OnMapStart|line=65"",""method"":""OnMapStart""},{""file"":""src/emitfromevents.cpp"",""line"":""74"",""location"":""src/emitfromevents.cpp:method=OnMapStart|line=74"",""method"":""OnMapStart""},{""file"":""src/emitfromevents.cpp"",""line"":""47"",""location"":""src/emitfromevents.cpp:method=OnSequenceStart|line=47"",""method"":""OnSequenceStart""},{""file"":""src/nodebuilder.cpp"",""line"":""55"",""location"":""src/nodebuilder.cpp:method=OnSequenceStart|line=55"",""method"":""OnSequenceStart""}]","{""group"":""anchor_t:anchor|conststd::string&:tag|emitterstyle::value:style""}"
7,cpp,data_clumps,Catch2,/opt/projects/cpp/Catch2,src/catch2/generators/catch_generators_range.hpp,"RangeGenerator(T const& start, T const& end, T const& step)",28,37,302,/opt/projects/cpp/Catch2/src/catch2/generators/catch_generators_range.hpp:method=RangeGenerator|line=28;/opt/projects/cpp/Catch2/src/catch2/generators/catch_generators_range.hpp:method=range|line=54;/opt/projects/cpp/Catch2/extras/catch_amalgamated.hpp:method=RangeGenerator|line=8586;/opt/projects/cpp/Catch2/extras/catch_amalgamated.hpp:method=range|line=8612,0,group=T const&:start|T const&:end|T const&:step;occurrences=4;classes=2;method_names=2,RangeGenerator,,4,4,"[{""file"":""src/catch2/generators/catch_generators_range.hpp"",""line"":""28"",""location"":""src/catch2/generators/catch_generators_range.hpp:method=RangeGenerator|line=28"",""method"":""RangeGenerator""},{""file"":""src/catch2/generators/catch_generators_range.hpp"",""line"":""54"",""location"":""src/catch2/generators/catch_generators_range.hpp:method=range|line=54"",""method"":""range""},{""file"":""extras/catch_amalgamated.hpp"",""line"":""8586"",""location"":""extras/catch_amalgamated.hpp:method=RangeGenerator|line=8586"",""method"":""RangeGenerator""},{""file"":""extras/catch_amalgamated.hpp"",""line"":""8612"",""location"":""extras/catch_amalgamated.hpp:method=range|line=8612"",""method"":""range""}]","{""group"":""tconst&:end|tconst&:start|tconst&:step""}"
8,cpp,data_clumps,yaml-cpp,/opt/projects/cpp/yaml-cpp,src/nodebuilder.cpp,"NodeBuilder::OnSequenceStart(const Mark& mark, const std::string& tag, anchor_t anchor, EmitterStyle::value style)",55,61,304,/opt/projects/cpp/yaml-cpp/src/nodebuilder.cpp:method=OnSequenceStart|line=55;/opt/projects/cpp/yaml-cpp/src/emitfromevents.cpp:method=OnMapStart|line=74;/opt/projects/cpp/yaml-cpp/src/emitfromevents.cpp:method=OnSequenceStart|line=47;/opt/projects/cpp/yaml-cpp/src/nodebuilder.cpp:method=OnMapStart|line=65,0,group=const std::string&:tag|anchor_t:anchor|EmitterStyle::value:style;occurrences=4;classes=2;method_names=2,NodeBuilder,,4,4,"[{""file"":""src/nodebuilder.cpp"",""line"":""55"",""location"":""src/nodebuilder.cpp:method=OnSequenceStart|line=55"",""method"":""OnSequenceStart""},{""file"":""src/emitfromevents.cpp"",""line"":""74"",""location"":""src/emitfromevents.cpp:method=OnMapStart|line=74"",""method"":""OnMapStart""},{""file"":""src/emitfromevents.cpp"",""line"":""47"",""location"":""src/emitfromevents.cpp:method=OnSequenceStart|line=47"",""method"":""OnSequenceStart""},{""file"":""src/nodebuilder.cpp"",""line"":""65"",""location"":""src/nodebuilder.cpp:method=OnMapStart|line=65"",""method"":""OnMapStart""}]","{""group"":""anchor_t:anchor|conststd::string&:tag|emitterstyle::value:style""}"
9,cpp,data_clumps,Catch2,/opt/projects/cpp/Catch2,src/catch2/internal/catch_enum_values_registry.cpp,"EnumValuesRegistry::registerEnum(StringRef enumName, StringRef allValueNames, std::vector<int> const& values)",66,69,302,/opt/projects/cpp/Catch2/src/catch2/internal/catch_enum_values_registry.cpp:method=registerEnum|line=66;/opt/projects/cpp/Catch2/src/catch2/internal/catch_enum_values_registry.cpp:method=makeEnumInfo|line=52;/opt/projects/cpp/Catch2/extras/catch_amalgamated.cpp:method=makeEnumInfo|line=3909;/opt/projects/cpp/Catch2/extras/catch_amalgamated.cpp:method=registerEnum|line=3923,0,group=StringRef:enumName|StringRef:allValueNames|std::vector<int> const&:values;occurrences=4;classes=2;method_names=2,EnumValuesRegistry,,4,4,"[{""file"":""src/catch2/internal/catch_enum_values_registry.cpp"",""line"":""66"",""location"":""src/catch2/internal/catch_enum_values_registry.cpp:method=registerEnum|line=66"",""method"":""registerEnum""},{""file"":""src/catch2/internal/catch_enum_values_registry.cpp"",""line"":""52"",""location"":""src/catch2/internal/catch_enum_values_registry.cpp:method=makeEnumInfo|line=52"",""method"":""makeEnumInfo""},{""file"":""extras/catch_amalgamated.cpp"",""line"":""3909"",""location"":""extras/catch_amalgamated.cpp:method=makeEnumInfo|line=3909"",""method"":""makeEnumInfo""},{""file"":""extras/catch_amalgamated.cpp"",""line"":""3923"",""location"":""extras/catch_amalgamated.cpp:method=registerEnum|line=3923"",""method"":""registerEnum""}]","{""group"":""std::vector<int>const&:values|stringref:allvaluenames|stringref:enumname""}"
10,cpp,data_clumps,Catch2,/opt/projects/cpp/Catch2,src/catch2/internal/catch_enum_values_registry.cpp,"makeEnumInfo(StringRef enumName, StringRef allValueNames, std::vector<int> const& values)",52,64,302,/opt/projects/cpp/Catch2/src/catch2/internal/catch_enum_values_registry.cpp:method=makeEnumInfo|line=52;/opt/projects/cpp/Catch2/src/catch2/internal/catch_enum_values_registry.cpp:method=registerEnum|line=66;/opt/projects/cpp/Catch2/extras/catch_amalgamated.cpp:method=makeEnumInfo|line=3909;/opt/projects/cpp/Catch2/extras/catch_amalgamated.cpp:method=registerEnum|line=3923,0,group=StringRef:enumName|StringRef:allValueNames|std::vector<int> const&:values;occurrences=4;classes=2;method_names=2,,,4,4,"[{""file"":""src/catch2/internal/catch_enum_values_registry.cpp"",""line"":""52"",""location"":""src/catch2/internal/catch_enum_values_registry.cpp:method=makeEnumInfo|line=52"",""method"":""makeEnumInfo""},{""file"":""src/catch2/internal/catch_enum_values_registry.cpp"",""line"":""66"",""location"":""src/catch2/internal/catch_enum_values_registry.cpp:method=registerEnum|line=66"",""method"":""registerEnum""},{""file"":""extras/catch_amalgamated.cpp"",""line"":""3909"",""location"":""extras/catch_amalgamated.cpp:method=makeEnumInfo|line=3909"",""method"":""makeEnumInfo""},{""file"":""extras/catch_amalgamated.cpp"",""line"":""3923"",""location"":""extras/catch_amalgamated.cpp:method=registerEnum|line=3923"",""method"":""registerEnum""}]","{""group"":""std::vector<int>const&:values|stringref:allvaluenames|stringref:enumname""}"
