sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
1,cpp,dead_code,rocksdb,/Users/a1-6/Code/Project/CPP_Project/rocksdb,db/db_impl/db_impl.h,"LoadSnapshots(std::vector<SequenceNumber>* snap_vector,
                     SequenceNumber* oldest_write_conflict_snapshot,
                     const SequenceNumber& max_seq) const",927,932,0,"/Users/a1-6/Code/Project/CPP_Project/rocksdb/db/db_impl/db_impl.h:method=LoadSnapshots(std::vector<SequenceNumber>* snap_vector,
                     SequenceNumber* oldest_write_conflict_snapshot,
                     const SequenceNumber& max_seq) const|line=927",0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=DBImpl
2,cpp,dead_code,duckdb,/Users/a1-6/Code/Project/CPP_Project/duckdb,extension/parquet/include/parquet_support.hpp,outputRows() const,178,183,0,/Users/a1-6/Code/Project/CPP_Project/duckdb/extension/parquet/include/parquet_support.hpp:method=outputRows() const|line=178,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=SelectiveColumnReader
3,cpp,dead_code,CMake,/Users/a1-6/Code/Project/CPP_Project/CMake,Source/cmake.h,GetCheckInProgressSize() const,479,482,0,/Users/a1-6/Code/Project/CPP_Project/CMake/Source/cmake.h:method=GetCheckInProgressSize() const|line=479,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=cmake
4,cpp,dead_code,OpenTTD,/Users/a1-6/Code/Project/CPP_Project/OpenTTD,src/3rdparty/catch2/catch.hpp,makeRef(LambdaT const &lambda),9303,9305,0,/Users/a1-6/Code/Project/CPP_Project/OpenTTD/src/3rdparty/catch2/catch.hpp:method=makeRef(LambdaT const &lambda)|line=9303,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=ExeName
5,cpp,dead_code,aria2,/Users/a1-6/Code/Project/CPP_Project/aria2,src/ActivePeerConnectionCommand.h,setNumNewConnection(int numNewConnection),76,79,0,/Users/a1-6/Code/Project/CPP_Project/aria2/src/ActivePeerConnectionCommand.h:method=setNumNewConnection(int numNewConnection)|line=76,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=ActivePeerConnectionCommand
6,cpp,dead_code,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/descriptor.cc,get_enforce_weak(const DescriptorPool* pool),4645,4647,0,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/descriptor.cc:method=get_enforce_weak(const DescriptorPool* pool)|line=4645,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=DescriptorBuilder
7,cpp,dead_code,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,ActiveRecord/include/Poco/ActiveRecord/Query.h,totalResults() const,151,156,0,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/ActiveRecord/include/Poco/ActiveRecord/Query.h:method=totalResults() const|line=151,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=Query
8,cpp,dead_code,spdlog-1.14.1,/Users/a1-6/Code/Project/CPP_Project/spdlog-1.14.1,include/spdlog/sinks/dist_sink.h,remove_sink(std::shared_ptr<sink> sub_sink),37,40,0,/Users/a1-6/Code/Project/CPP_Project/spdlog-1.14.1/include/spdlog/sinks/dist_sink.h:method=remove_sink(std::shared_ptr<sink> sub_sink)|line=37,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=dist_sink
9,cpp,dead_code,yaml-cpp,/Users/a1-6/Code/Project/CPP_Project/yaml-cpp,include/yaml-cpp/depthguard.h,current_depth() const,67,69,0,/Users/a1-6/Code/Project/CPP_Project/yaml-cpp/include/yaml-cpp/depthguard.h:method=current_depth() const|line=67,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=DepthGuard
10,cpp,dead_code,rocksdb,/Users/a1-6/Code/Project/CPP_Project/rocksdb,db/import_column_family_job.h,files_to_import(),66,68,0,/Users/a1-6/Code/Project/CPP_Project/rocksdb/db/import_column_family_job.h:method=files_to_import()|line=66,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=ImportColumnFamilyJob
11,cpp,dead_code,duckdb,/Users/a1-6/Code/Project/CPP_Project/duckdb,extension/parquet/include/parquet_support.hpp,dropResults(vector_size_t count),213,216,0,/Users/a1-6/Code/Project/CPP_Project/duckdb/extension/parquet/include/parquet_support.hpp:method=dropResults(vector_size_t count)|line=213,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=SelectiveColumnReader
12,cpp,dead_code,CMake,/Users/a1-6/Code/Project/CPP_Project/CMake,Source/cmArchiveWrite.h,SetPermissionsMask(int permissionsMask_),109,112,0,/Users/a1-6/Code/Project/CPP_Project/CMake/Source/cmArchiveWrite.h:method=SetPermissionsMask(int permissionsMask_)|line=109,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=cmArchiveWrite
13,cpp,dead_code,OpenTTD,/Users/a1-6/Code/Project/CPP_Project/OpenTTD,src/3rdparty/fmt/std.h,display_string() const,168,171,0,/Users/a1-6/Code/Project/CPP_Project/OpenTTD/src/3rdparty/fmt/std.h:method=display_string() const|line=168,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=path
14,cpp,dead_code,aria2,/Users/a1-6/Code/Project/CPP_Project/aria2,src/DefaultBtAnnounce.h,getPeerStorage(),90,93,0,/Users/a1-6/Code/Project/CPP_Project/aria2/src/DefaultBtAnnounce.h:method=getPeerStorage()|line=90,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=DefaultBtAnnounce
15,cpp,dead_code,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/map.h,NodeFromTreeIterator(TreeIterator it),1679,1684,0,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/map.h:method=NodeFromTreeIterator(TreeIterator it)|line=1679,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=Map
16,cpp,dead_code,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Data/include/Poco/Data/LOB.h,"assignVal(std::size_t count, const T& val)",155,160,0,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Data/include/Poco/Data/LOB.h:method=assignVal(std::size_t count, const T& val)|line=155",0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=LOB
