sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
6,cpp,dead_code,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,src/google/protobuf/descriptor.cc,get_enforce_weak(const DescriptorPool* pool),4645,4647,0,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/descriptor.cc:method=get_enforce_weak(const DescriptorPool* pool)|line=4645,0,kind=unused_private_static_member_function; member_kind=function; visibility=private; refs=0; loc=3; validation=whole_project_text_identifier_refs_outside_definition_zero; form=private_static_inline_method; guard_tier=single_location; class=DescriptorBuilder; project_commit=155963c02a95bd726cd183b8b360227b9bef4680; risk_checks=non_virtual_non_override_non_macro_non_registration_non_generated_non_vendored; curation=audit_20260809; selector=runtime_tree_sitter_exact
15,cpp,dead_code,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,src/google/protobuf/map.h,NodeFromTreeIterator(TreeIterator it),1679,1684,0,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/map.h:method=NodeFromTreeIterator(TreeIterator it)|line=1679,0,kind=unused_private_static_member_function; member_kind=function; visibility=private; refs=0; loc=6; validation=whole_project_text_identifier_refs_outside_definition_zero; form=private_static_inline_method; guard_tier=single_location; class=Map; template_context=class_template; project_commit=155963c02a95bd726cd183b8b360227b9bef4680; risk_checks=no_dependent_reference_non_virtual_non_override_non_macro_non_registration_non_generated_non_vendored; curation=audit_20260809; selector=runtime_tree_sitter_exact
27,cpp,dead_code,rocksdb,/opt/projects/cpp/rocksdb,db/version_builder.cc,GetAdditionalGarbageCount() const,117,119,0,/opt/projects/cpp/rocksdb/db/version_builder.cc:method=GetAdditionalGarbageCount() const|line=117,0,kind=unused_source_private_member_function; member_kind=function; visibility=public_member_of_source_private_nested_type; refs=0; loc=3; validation=whole_project_text_identifier_refs_outside_definition_zero; form=source_private_nested_type_method; guard_tier=single_location; class=VersionBuilder::Rep::BlobFileMetaDataDelta; project_commit=e07ccc35280c3696761dbf37a2af363435f56e7a; risk_checks=source_file_only_type_non_virtual_non_override_non_macro_non_registration_non_generated_non_vendored; curation=audit_20260809; selector=runtime_tree_sitter_exact
31,cpp,dead_code,duckdb,/opt/projects/cpp/duckdb,src/main/extension/extension_load.cpp,"LoadFunctionFromDLL(void *dll, const string &function_name, const string &filename)",149,156,0,"/opt/projects/cpp/duckdb/src/main/extension/extension_load.cpp:method=LoadFunctionFromDLL(void *dll, const string &function_name, const string &filename)|line=150",0,kind=unused_static_function_template; member_kind=function; visibility=translation_unit_static; refs=0; loc=8; validation=whole_project_text_identifier_refs_outside_definition_zero; form=static_free_function_template; guard_tier=single_location; template_head_line=149; selector_line=150; preprocessor_guard=!DUCKDB_DISABLE_EXTENSION_LOAD; project_commit=a697a1c97629c3fb8af5c1fb8ecd4b40ee2605e3; risk_checks=non_virtual_non_adl_non_macro_non_registration_non_generated_non_vendored_non_public_api; curation=audit_20260809; selector=runtime_tree_sitter_exact
32,cpp,dead_code,duckdb,/opt/projects/cpp/duckdb,src/storage/table/column_segment.cpp,"TemplatedNullSelection(UnifiedVectorFormat &vdata, SelectionVector &sel, idx_t &approved_tuple_count)",388,413,0,"/opt/projects/cpp/duckdb/src/storage/table/column_segment.cpp:method=TemplatedNullSelection(UnifiedVectorFormat &vdata, SelectionVector &sel, idx_t &approved_tuple_count)|line=389",0,kind=unused_static_function_template; member_kind=function; visibility=translation_unit_static; refs=0; loc=26; validation=whole_project_text_identifier_refs_outside_definition_zero; form=static_free_function_template; guard_tier=single_location; template_head_line=388; selector_line=389; project_commit=a697a1c97629c3fb8af5c1fb8ecd4b40ee2605e3; risk_checks=non_virtual_non_adl_non_macro_non_registration_non_generated_non_vendored_non_public_api; curation=audit_20260809; selector=runtime_tree_sitter_exact
33,cpp,dead_code,duckdb,/opt/projects/cpp/duckdb,src/storage/table/column_segment.cpp,"FilterSelectionSwitch(UnifiedVectorFormat &vdata, T predicate, SelectionVector &sel, idx_t &approved_tuple_count, ExpressionType comparison_type)",315,386,0,"/opt/projects/cpp/duckdb/src/storage/table/column_segment.cpp:method=FilterSelectionSwitch(UnifiedVectorFormat &vdata, T predicate, SelectionVector &sel, idx_t &approved_tuple_count, ExpressionType comparison_type)|line=316",0,kind=unused_static_function_template; member_kind=function; visibility=translation_unit_static; refs=0; loc=72; validation=whole_project_text_identifier_refs_outside_definition_zero; form=static_free_function_template; guard_tier=single_location; template_head_line=315; selector_line=316; project_commit=a697a1c97629c3fb8af5c1fb8ecd4b40ee2605e3; risk_checks=non_virtual_non_adl_non_macro_non_registration_non_generated_non_vendored_non_public_api; curation=audit_20260809; selector=runtime_tree_sitter_exact
34,cpp,dead_code,rocksdb,/opt/projects/cpp/rocksdb,table/plain/plain_table_reader.h,IsFixedLength() const,174,176,0,/opt/projects/cpp/rocksdb/table/plain/plain_table_reader.h:method=IsFixedLength() const|line=174,0,kind=unused_private_member_function; member_kind=function; visibility=private; refs=0; loc=3; validation=whole_project_text_identifier_refs_outside_definition_zero; form=private_inline_method; guard_tier=single_location; class=PlainTableReader; project_commit=e07ccc35280c3696761dbf37a2af363435f56e7a; risk_checks=non_virtual_non_override_non_macro_non_registration_non_generated_non_vendored; curation=audit_20260809; selector=runtime_tree_sitter_exact
35,cpp,dead_code,rocksdb,/opt/projects/cpp/rocksdb,utilities/blob_db/blob_file.h,set_expiration_range(const ExpirationRange& expiration_range),222,224,0,/opt/projects/cpp/rocksdb/utilities/blob_db/blob_file.h:method=set_expiration_range(const ExpirationRange& expiration_range)|line=222,0,kind=unused_private_member_function; member_kind=function; visibility=private; refs=0; loc=3; validation=whole_project_text_identifier_refs_outside_definition_zero; form=private_inline_method; guard_tier=single_location; class=BlobFile; project_commit=e07ccc35280c3696761dbf37a2af363435f56e7a; risk_checks=non_virtual_non_override_non_macro_non_registration_non_generated_non_vendored; curation=audit_20260809; selector=runtime_tree_sitter_exact
36,cpp,dead_code,duckdb,/opt/projects/cpp/duckdb,src/include/duckdb/common/owning_string_map.hpp,GetInsertionString(string_t input_str),106,113,0,/opt/projects/cpp/duckdb/src/include/duckdb/common/owning_string_map.hpp:method=GetInsertionString(string_t input_str)|line=106,0,kind=unused_private_member_function; member_kind=function; visibility=private; refs=0; loc=8; validation=whole_project_text_identifier_refs_outside_definition_zero; form=private_inline_method; guard_tier=single_location; class=OwningStringMap; template_context=class_template; project_commit=a697a1c97629c3fb8af5c1fb8ecd4b40ee2605e3; risk_checks=no_dependent_reference_non_virtual_non_override_non_macro_non_registration_non_generated_non_vendored; curation=audit_20260809; selector=runtime_tree_sitter_exact
37,cpp,dead_code,duckdb,/opt/projects/cpp/duckdb,src/storage/table/variant/variant_shredding.cpp,"WriteStringInternal(const string_t &str, VariantShreddingStats &stats, idx_t stats_column_index)",67,68,0,"/opt/projects/cpp/duckdb/src/storage/table/variant/variant_shredding.cpp:method=WriteStringInternal(const string_t &str, VariantShreddingStats &stats, idx_t stats_column_index)|line=67",0,kind=unused_anonymous_namespace_static_member_function; member_kind=function; visibility=public_member_of_anonymous_namespace_type; refs=0; loc=2; validation=whole_project_text_identifier_refs_outside_definition_zero; form=anonymous_namespace_type_static_method; guard_tier=single_location; class=VariantStatsVisitor; project_commit=a697a1c97629c3fb8af5c1fb8ecd4b40ee2605e3; risk_checks=translation_unit_internal_non_virtual_non_override_non_macro_non_registration_non_generated_non_vendored; curation=audit_20260809; selector=runtime_tree_sitter_exact
