sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,target_context_json
1,cpp,feature_envy,CMake,/opt/projects/cpp/CMake,Source/cmVersion_Dependencies.cxx,CollectDependencyInfo(),29,361,91,/opt/projects/cpp/CMake/Source/cmVersion_Dependencies.cxx:method=CollectDependencyInfo()|line=29,0,envied_receiver=info; foreign_access=91; foreign_ratio=0.75,"{""receiver_type"":""info""}"
2,cpp,feature_envy,OpenTTD,/opt/projects/cpp/OpenTTD,src/roadveh_cmd.cpp,"IndividualRoadVehicleController(RoadVehicle *v, const RoadVehicle *prev)",1150,1578,199,"/opt/projects/cpp/OpenTTD/src/roadveh_cmd.cpp:method=IndividualRoadVehicleController(RoadVehicle *v, const RoadVehicle *prev)|line=1150",0,envied_type=RoadVehicle; foreign_access=199; foreign_ratio=0.75,"{""receiver_type"":""v""}"
3,cpp,feature_envy,aria2,/opt/projects/cpp/aria2,src/Context.cc,"Context(bool standalone, int argc, char** argv, const KeyVals& options)",153,316,38,"/opt/projects/cpp/aria2/src/Context.cc:method=Context(bool standalone, int argc, char** argv, const KeyVals& options)|line=153",0,envied_receiver=op; foreign_access=38; foreign_ratio=0.68,"{""receiver_type"":""op""}"
4,cpp,feature_envy,json-3.11.3,/opt/projects/cpp/json-3.11.3,include/nlohmann/detail/output/binary_writer.hpp,write_msgpack(const BasicJsonType& j),413,730,154,/opt/projects/cpp/json-3.11.3/include/nlohmann/detail/output/binary_writer.hpp:method=write_msgpack(const BasicJsonType& j)|line=413,0,envied_type=BasicJsonType; foreign_access=154; foreign_ratio=0.85,"{""receiver_type"":""j""}"
5,cpp,feature_envy,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,XML/src/xmlparse.cpp,"doProlog(XML_Parser parser, const ENCODING *enc, const char *s, const char *end, int tok, const char *next, const char **nextPtr, XML_Bool haveMore, XML_Bool allowClosingDoctype, enum XML_Account account)",4846,5915,384,"/opt/projects/cpp/poco-poco-1.14.2-release/XML/src/xmlparse.cpp:method=doProlog(XML_Parser parser, const ENCODING *enc, const char *s, const char *end, int tok, const char *next, const char **nextPtr, XML_Bool haveMore, XML_Bool allowClosingDoctype, enum XML_Account account)|line=4846",0,envied_type=XML_Parser; foreign_access=384; foreign_ratio=0.70,"{""receiver_type"":""parser""}"
6,cpp,feature_envy,yaml-cpp,/opt/projects/cpp/yaml-cpp,src/scantoken.cpp,ScanTag(),256,292,13,/opt/projects/cpp/yaml-cpp/src/scantoken.cpp:method=ScanTag()|line=256,0,envied_receiver=token; foreign_access=13; foreign_ratio=0.68,"{""receiver_type"":""token""}"
7,cpp,feature_envy,CMake,/opt/projects/cpp/CMake,Source/CTest/cmCTestMultiProcessHandler.cxx,DumpCTestProperties(cmCTestTestHandler::cmCTestTestProperties& testProperties),1142,1273,82,/opt/projects/cpp/CMake/Source/CTest/cmCTestMultiProcessHandler.cxx:method=DumpCTestProperties(cmCTestTestHandler::cmCTestTestProperties& testProperties)|line=1142,0,envied_type=cmCTestTestProperties; foreign_access=82; foreign_ratio=0.72,"{""receiver_type"":""testProperties""}"
8,cpp,feature_envy,Catch2,/opt/projects/cpp/Catch2,src/catch2/internal/catch_commandline.cpp,makeCommandLineParser(ConfigData& config),24,312,60,/opt/projects/cpp/Catch2/src/catch2/internal/catch_commandline.cpp:method=makeCommandLineParser(ConfigData& config)|line=24,0,envied_type=ConfigData; foreign_access=60; foreign_ratio=0.81,"{""receiver_type"":""config""}"
9,cpp,feature_envy,aria2,/opt/projects/cpp/aria2,src/DownloadEngineFactory.cc,"newDownloadEngine(Option* op, std::vector<std::shared_ptr<RequestGroup>> requestGroups)",148,223,36,"/opt/projects/cpp/aria2/src/DownloadEngineFactory.cc:method=newDownloadEngine(Option* op, std::vector<std::shared_ptr<RequestGroup>> requestGroups)|line=148",0,envied_receiver=e; foreign_access=36; foreign_ratio=0.64,"{""receiver_type"":""e""}"
10,cpp,feature_envy,json-3.11.3,/opt/projects/cpp/json-3.11.3,single_include/nlohmann/json.hpp,write_msgpack(const BasicJsonType& j),15452,15769,154,/opt/projects/cpp/json-3.11.3/single_include/nlohmann/json.hpp:method=write_msgpack(const BasicJsonType& j)|line=15452,0,envied_type=BasicJsonType; foreign_access=154; foreign_ratio=0.85,"{""receiver_type"":""j""}"
