sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_false_positive,evidence,class,host_class,fp_reason
1,cpp,god_class,rocksdb,/Users/a1-6/Code/Project/CPP_Project/rocksdb,db/write_batch.cc,PutCFImpl,2275,2422,261,/Users/a1-6/Code/Project/CPP_Project/rocksdb/db/write_batch.cc:class=MemTableInserter|line=2024,0,nom=36;nof=25;wmc=261;loc=3550;atfd=0,MemTableInserter,,
2,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,ProGen/src/ProGen.cpp,generateProject,634,883,229,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/ProGen/src/ProGen.cpp:class=ProGenApp|line=60,0,nom=171;nof=5;wmc=229;loc=882;atfd=118,ProGenApp,,
3,cpp,god_class,json-3.11.3,/Users/a1-6/Code/Project/CPP_Project/json-3.11.3,include/nlohmann/detail/input/lexer.hpp,scan_string,255,839,650,/Users/a1-6/Code/Project/CPP_Project/json-3.11.3/include/nlohmann/detail/input/lexer.hpp:class=lexer|line=112,0,nom=15;nof=3;wmc=650;loc=1200;atfd=17,lexer,,
4,cpp,god_class,OpenTTD,/Users/a1-6/Code/Project/CPP_Project/OpenTTD,src/smallmap_gui.cpp,OnClick,1705,1818,615,/Users/a1-6/Code/Project/CPP_Project/OpenTTD/src/smallmap_gui.cpp:class=SmallMapWindow|line=629,0,nom=44;nof=17;wmc=615;loc=2110;atfd=0,SmallMapWindow,,
5,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Foundation/include/Poco/ordered_hash.h,rehash_impl,976,1024,146,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Foundation/include/Poco/ordered_hash.h:class=ordered_hash|line=210,0,nom=122;nof=11;wmc=146;loc=1070;atfd=20,ordered_hash,,
6,cpp,god_class,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/text_format.cc,ConsumeField,506,750,145,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/text_format.cc:class=TextFormat::Parser::ParserImpl|line=334,0,nom=47;nof=26;wmc=145;loc=1116;atfd=62,TextFormat::Parser::ParserImpl,,
7,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,PocoDoc/src/PocoDoc.cpp,buildFileList,230,254,82,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/PocoDoc/src/PocoDoc.cpp:class=PocoDocApp|line=111,0,nom=61;nof=4;wmc=82;loc=436;atfd=47,PocoDocApp,,
8,cpp,god_class,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/map.h,TryEmplaceInternal,1713,1749,75,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/map.h:class=Map|line=1243,0,nom=73;nof=6;wmc=75;loc=563;atfd=31,Map,,
9,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,PDF/src/XMLTemplate.cpp,endTd,455,522,126,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/PDF/src/XMLTemplate.cpp:class=TemplateHandler|line=216,0,nom=70;nof=12;wmc=126;loc=625;atfd=26,TemplateHandler,,
10,cpp,god_class,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/repeated_field.h,AnnotateSize,543,554,33,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/repeated_field.h:class=RepeatedField|line=246,0,nom=31;nof=60;wmc=33;loc=388;atfd=31,RepeatedField,,
