sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
1,cpp,long_method,Catch2,/opt/projects/cpp/Catch2,src/catch2/internal/catch_commandline.cpp,makeCommandLineParser(ConfigData& config),24,312,266,/opt/projects/cpp/Catch2/src/catch2/internal/catch_commandline.cpp:method=makeCommandLineParser(ConfigData& config)|line=24,0
2,cpp,long_method,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,Net/src/Socket.cpp,"Socket::select(SocketList& readList, SocketList& writeList, SocketList& exceptList, const Poco::Timespan& timeout)",109,341,199,"/opt/projects/cpp/poco-poco-1.14.2-release/Net/src/Socket.cpp:method=Socket::select(SocketList& readList, SocketList& writeList, SocketList& exceptList, const Poco::Timespan& timeout)|line=109",0
3,cpp,long_method,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,src/google/protobuf/compiler/cpp/message.cc,MessageGenerator::GenerateClassDefinition(io::Printer* p),1692,2212,433,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/message.cc:method=MessageGenerator::GenerateClassDefinition(io::Printer* p)|line=1692,0
4,cpp,long_method,yaml-cpp,/opt/projects/cpp/yaml-cpp,src/scanscalar.cpp,"ScanScalar(Stream& INPUT, ScanScalarParams& params)",21,250,178,"/opt/projects/cpp/yaml-cpp/src/scanscalar.cpp:method=ScanScalar(Stream& INPUT, ScanScalarParams& params)|line=21",0
5,cpp,long_method,Catch2,/opt/projects/cpp/Catch2,src/catch2/reporters/catch_reporter_console.cpp,"ConsoleAssertionPrinter(std::ostream& _stream, AssertionStats const& _stats, ColourImpl* colourImpl_, bool _printInfoMessages)",49,135,84,"/opt/projects/cpp/Catch2/src/catch2/reporters/catch_reporter_console.cpp:method=ConsoleAssertionPrinter(std::ostream& _stream, AssertionStats const& _stats, ColourImpl* colourImpl_, bool _printInfoMessages)|line=49",0
6,cpp,long_method,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,Foundation/src/DateTimeParser.cpp,"DateTimeParser::parse(const std::string& fmt, const std::string& dtStr, DateTime& dateTime, int& timeZoneDifferential)",79,298,198,"/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/DateTimeParser.cpp:method=DateTimeParser::parse(const std::string& fmt, const std::string& dtStr, DateTime& dateTime, int& timeZoneDifferential)|line=79",0
7,cpp,long_method,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,src/google/protobuf/compiler/cpp/message.cc,MessageGenerator::GenerateFieldAccessorDeclarations(io::Printer* p),650,1020,325,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/message.cc:method=MessageGenerator::GenerateFieldAccessorDeclarations(io::Printer* p)|line=650,0
8,cpp,long_method,yaml-cpp,/opt/projects/cpp/yaml-cpp,util/api.cpp,main(),6,137,92,/opt/projects/cpp/yaml-cpp/util/api.cpp:method=main()|line=6,0
9,cpp,long_method,Catch2,/opt/projects/cpp/Catch2,src/catch2/reporters/catch_reporter_tap.cpp,print(),41,115,73,/opt/projects/cpp/Catch2/src/catch2/reporters/catch_reporter_tap.cpp:method=print()|line=41,0
10,cpp,long_method,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,PageCompiler/src/PageReader.cpp,PageReader::parse(std::istream& pageStream),61,249,186,/opt/projects/cpp/poco-poco-1.14.2-release/PageCompiler/src/PageReader.cpp:method=PageReader::parse(std::istream& pageStream)|line=61,0
