sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
1,cpp,long_parameter_list,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Data/ODBC/src/Unicode_UNIXODBC.cpp,"SQLForeignKeys(SQLHSTMT hstmt, SQLCHAR* szPkCatalogName, SQLSMALLINT cbPkCatalogName, SQLCHAR* szPkSchemaName, SQLSMALLINT cbPkSchemaName, SQLCHAR* szPkTableName, SQLSMALLINT cbPkTableName, SQLCHAR* szFkCatalogName, SQLSMALLINT cbFkCatalogName, SQLCHAR* szFkSchemaName, SQLSMALLINT cbFkSchemaName, SQLCHAR* szFkTableName, SQLSMALLINT cbFkTableName)",723,738,13,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Data/ODBC/src/Unicode_UNIXODBC.cpp:method=SQLForeignKeys(SQLHSTMT hstmt, SQLCHAR* szPkCatalogName, SQLSMALLINT cbPkCatalogName, SQLCHAR* szPkSchemaName, SQLSMALLINT cbPkSchemaName, SQLCHAR* szPkTableName, SQLSMALLINT cbPkTableName, SQLCHAR* szFkCatalogName, SQLSMALLINT cbFkCatalogName, SQLCHAR* szFkSchemaName, SQLSMALLINT cbFkSchemaName, SQLCHAR* szFkTableName, SQLSMALLINT cbFkTableName)|line=723",0
2,cpp,long_parameter_list,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/cpp/parse_function_generator.cc,"ParseFunctionGenerator::ParseFunctionGenerator(const Descriptor* descriptor, int max_has_bit_index, const std::vector<int>& has_bit_indices, const std::vector<int>& inlined_string_indices, const Options& options, MessageSCCAnalyzer* scc_analyzer, const absl::flat_hash_map<absl::string_view, std::string>& vars, int index_in_file_messages)",53,98,8,"/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/cpp/parse_function_generator.cc:method=ParseFunctionGenerator::ParseFunctionGenerator(const Descriptor* descriptor, int max_has_bit_index, const std::vector<int>& has_bit_indices, const std::vector<int>& inlined_string_indices, const Options& options, MessageSCCAnalyzer* scc_analyzer, const absl::flat_hash_map<absl::string_view, std::string>& vars, int index_in_file_messages)|line=53",0
3,cpp,long_parameter_list,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,DNSSD/Avahi/src/AvahiBrowserImpl.cpp,"onResolveReply(AvahiServiceResolver* resolver, AvahiIfIndex interface, AvahiProtocol protocol, AvahiResolverEvent event, const char* name, const char* type, const char* domain, const char* host, const AvahiAddress* a, uint16_t port, AvahiStringList* txt, AvahiLookupResultFlags flags, void* context)",54,77,13,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/DNSSD/Avahi/src/AvahiBrowserImpl.cpp:method=onResolveReply(AvahiServiceResolver* resolver, AvahiIfIndex interface, AvahiProtocol protocol, AvahiResolverEvent event, const char* name, const char* type, const char* domain, const char* host, const AvahiAddress* a, uint16_t port, AvahiStringList* txt, AvahiLookupResultFlags flags, void* context)|line=54",0
4,cpp,long_parameter_list,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/cpp/message.cc,"MaybeEmitHaswordsCheck(ChunkIterator it, ChunkIterator end, const Options& options, const std::vector<int>& has_bit_indices, int cached_has_word_index, const std::string& from, io::Printer* p)",439,496,7,"/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/cpp/message.cc:method=MaybeEmitHaswordsCheck(ChunkIterator it, ChunkIterator end, const Options& options, const std::vector<int>& has_bit_indices, int cached_has_word_index, const std::string& from, io::Printer* p)|line=439",0
5,cpp,long_parameter_list,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,DNSSD/Avahi/src/AvahiBrowserImpl.cpp,"AvahiBrowserImpl::onResolveReply(AvahiServiceResolver* resolver, AvahiIfIndex interface, AvahiProtocol protocol, AvahiResolverEvent event, const char* name, const char* type, const char* domain, const char* host, const AvahiAddress* a, uint16_t port, AvahiStringList* txt, AvahiLookupResultFlags flags)",374,425,12,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/DNSSD/Avahi/src/AvahiBrowserImpl.cpp:method=AvahiBrowserImpl::onResolveReply(AvahiServiceResolver* resolver, AvahiIfIndex interface, AvahiProtocol protocol, AvahiResolverEvent event, const char* name, const char* type, const char* domain, const char* host, const AvahiAddress* a, uint16_t port, AvahiStringList* txt, AvahiLookupResultFlags flags)|line=374",0
6,cpp,long_parameter_list,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/java/full/enum_field.cc,"SetEnumVariables(const FieldDescriptor* descriptor, int messageBitIndex, int builderBitIndex, const FieldGeneratorInfo* info, ClassNameResolver* name_resolver, absl::flat_hash_map<absl::string_view, std::string>* variables, Context* context)",41,109,7,"/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/java/full/enum_field.cc:method=SetEnumVariables(const FieldDescriptor* descriptor, int messageBitIndex, int builderBitIndex, const FieldGeneratorInfo* info, ClassNameResolver* name_resolver, absl::flat_hash_map<absl::string_view, std::string>* variables, Context* context)|line=41",0
7,cpp,long_parameter_list,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Data/ODBC/src/Unicode_UNIXODBC.cpp,"SQLGetDescRec(SQLHDESC hdesc, SQLSMALLINT iRecord, SQLCHAR* szName, SQLSMALLINT cbNameMax, SQLSMALLINT* pcbName, SQLSMALLINT* pfType, SQLSMALLINT* pfSubType, SQLLEN* pLength, SQLSMALLINT* pPrecision, SQLSMALLINT* pScale, SQLSMALLINT* pNullable)",326,339,11,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Data/ODBC/src/Unicode_UNIXODBC.cpp:method=SQLGetDescRec(SQLHDESC hdesc, SQLSMALLINT iRecord, SQLCHAR* szName, SQLSMALLINT cbNameMax, SQLSMALLINT* pcbName, SQLSMALLINT* pfType, SQLSMALLINT* pfSubType, SQLLEN* pLength, SQLSMALLINT* pPrecision, SQLSMALLINT* pScale, SQLSMALLINT* pNullable)|line=326",0
8,cpp,long_parameter_list,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/java/full/message_field.cc,"SetMessageVariables(const FieldDescriptor* descriptor, int messageBitIndex, int builderBitIndex, const FieldGeneratorInfo* info, ClassNameResolver* name_resolver, absl::flat_hash_map<absl::string_view, std::string>* variables, Context* context)",37,92,7,"/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/java/full/message_field.cc:method=SetMessageVariables(const FieldDescriptor* descriptor, int messageBitIndex, int builderBitIndex, const FieldGeneratorInfo* info, ClassNameResolver* name_resolver, absl::flat_hash_map<absl::string_view, std::string>* variables, Context* context)|line=37",0
9,cpp,long_parameter_list,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,DNSSD/Avahi/src/AvahiBrowserImpl.cpp,"onQueryRecordReply(AvahiRecordBrowser* browser, AvahiIfIndex interface, AvahiProtocol protocol, AvahiBrowserEvent event, const char* name, uint16_t clazz, uint16_t type, const void* data, std::size_t size, AvahiLookupResultFlags flags, void* context)",168,189,11,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/DNSSD/Avahi/src/AvahiBrowserImpl.cpp:method=onQueryRecordReply(AvahiRecordBrowser* browser, AvahiIfIndex interface, AvahiProtocol protocol, AvahiBrowserEvent event, const char* name, uint16_t clazz, uint16_t type, const void* data, std::size_t size, AvahiLookupResultFlags flags, void* context)|line=168",0
10,cpp,long_parameter_list,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/java/full/primitive_field.cc,"SetPrimitiveVariables(const FieldDescriptor* descriptor, int messageBitIndex, int builderBitIndex, const FieldGeneratorInfo* info, ClassNameResolver* name_resolver, absl::flat_hash_map<absl::string_view, std::string>* variables, Context* context)",39,153,7,"/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/java/full/primitive_field.cc:method=SetPrimitiveVariables(const FieldDescriptor* descriptor, int messageBitIndex, int builderBitIndex, const FieldGeneratorInfo* info, ClassNameResolver* name_resolver, absl::flat_hash_map<absl::string_view, std::string>* variables, Context* context)|line=39",0
11,cpp,long_parameter_list,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Data/ODBC/src/Unicode_UNIXODBC.cpp,"SQLSpecialColumns(SQLHSTMT hstmt, SQLUSMALLINT fColType, SQLCHAR* szCatalogName, SQLSMALLINT cbCatalogName, SQLCHAR* szSchemaName, SQLSMALLINT cbSchemaName, SQLCHAR* szTableName, SQLSMALLINT cbTableName, SQLUSMALLINT fScope, SQLUSMALLINT fNullable)",566,578,10,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Data/ODBC/src/Unicode_UNIXODBC.cpp:method=SQLSpecialColumns(SQLHSTMT hstmt, SQLUSMALLINT fColType, SQLCHAR* szCatalogName, SQLSMALLINT cbCatalogName, SQLCHAR* szSchemaName, SQLSMALLINT cbSchemaName, SQLCHAR* szTableName, SQLSMALLINT cbTableName, SQLUSMALLINT fScope, SQLUSMALLINT fNullable)|line=566",0
12,cpp,long_parameter_list,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/java/full/string_field.cc,"SetPrimitiveVariables(const FieldDescriptor* descriptor, int messageBitIndex, int builderBitIndex, const FieldGeneratorInfo* info, ClassNameResolver* name_resolver, absl::flat_hash_map<absl::string_view, std::string>* variables, Context* context)",41,110,7,"/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/java/full/string_field.cc:method=SetPrimitiveVariables(const FieldDescriptor* descriptor, int messageBitIndex, int builderBitIndex, const FieldGeneratorInfo* info, ClassNameResolver* name_resolver, absl::flat_hash_map<absl::string_view, std::string>* variables, Context* context)|line=41",0
13,cpp,long_parameter_list,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,DNSSD/Avahi/src/AvahiBrowserImpl.cpp,"AvahiBrowserImpl::onQueryRecordReply(AvahiRecordBrowser* browser, AvahiIfIndex interface, AvahiProtocol protocol, AvahiBrowserEvent event, const char* name, uint16_t clazz, uint16_t type, const void* data, std::size_t size, AvahiLookupResultFlags flags)",500,536,10,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/DNSSD/Avahi/src/AvahiBrowserImpl.cpp:method=AvahiBrowserImpl::onQueryRecordReply(AvahiRecordBrowser* browser, AvahiIfIndex interface, AvahiProtocol protocol, AvahiBrowserEvent event, const char* name, uint16_t clazz, uint16_t type, const void* data, std::size_t size, AvahiLookupResultFlags flags)|line=500",0
