sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
1,cpp,nested_complexity,Catch2,/Users/a1-6/Code/Project/CPP_Project/Catch2,src/catch2/internal/catch_jsonwriter.cpp,"JsonValueWriter::writeImpl(Catch::StringRef value, bool quote)",119,146,7,"/Users/a1-6/Code/Project/CPP_Project/Catch2/src/catch2/internal/catch_jsonwriter.cpp:method=JsonValueWriter::writeImpl(Catch::StringRef value, bool quote)|line=119",0
2,cpp,nested_complexity,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Net/src/RemoteSyslogChannel.cpp,"RemoteSyslogChannel::setProperty(const std::string& name, const std::string& value)",167,253,26,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Net/src/RemoteSyslogChannel.cpp:method=RemoteSyslogChannel::setProperty(const std::string& name, const std::string& value)|line=167",0
3,cpp,nested_complexity,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/cpp/generator.cc,"CppGenerator::Generate(const FileDescriptor* file, const std::string& parameter, GeneratorContext* generator_context, std::string* error)",94,344,18,"/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/cpp/generator.cc:method=CppGenerator::Generate(const FileDescriptor* file, const std::string& parameter, GeneratorContext* generator_context, std::string* error)|line=94",0
4,cpp,nested_complexity,yaml-cpp,/Users/a1-6/Code/Project/CPP_Project/yaml-cpp,src/emitterutils.cpp,"WriteChar(ostream_wrapper& out, char ch, StringEscaping::value stringEscapingStyle)",382,407,9,"/Users/a1-6/Code/Project/CPP_Project/yaml-cpp/src/emitterutils.cpp:method=WriteChar(ostream_wrapper& out, char ch, StringEscaping::value stringEscapingStyle)|line=382",0
5,cpp,nested_complexity,Catch2,/Users/a1-6/Code/Project/CPP_Project/Catch2,src/catch2/internal/catch_reporter_spec_parser.cpp,parseReporterSpec(StringRef reporterSpec),106,161,6,/Users/a1-6/Code/Project/CPP_Project/Catch2/src/catch2/internal/catch_reporter_spec_parser.cpp:method=parseReporterSpec(StringRef reporterSpec)|line=106,0
6,cpp,nested_complexity,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Net/src/RemoteSyslogChannel.cpp,RemoteSyslogChannel::getProperty(const std::string& name),256,338,26,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Net/src/RemoteSyslogChannel.cpp:method=RemoteSyslogChannel::getProperty(const std::string& name)|line=256,0
7,cpp,nested_complexity,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/objectivec/generator.cc,"ObjectiveCGenerator::GenerateAll(const std::vector<const FileDescriptor*>& files, const std::string& parameter, GeneratorContext* context, std::string* error)",77,476,18,"/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/objectivec/generator.cc:method=ObjectiveCGenerator::GenerateAll(const std::vector<const FileDescriptor*>& files, const std::string& parameter, GeneratorContext* context, std::string* error)|line=77",0
8,cpp,nested_complexity,yaml-cpp,/Users/a1-6/Code/Project/CPP_Project/yaml-cpp,src/emitterutils.cpp,"WriteDoubleQuotedString(ostream_wrapper& out, const std::string& str, StringEscaping::value stringEscaping)",319,364,5,"/Users/a1-6/Code/Project/CPP_Project/yaml-cpp/src/emitterutils.cpp:method=WriteDoubleQuotedString(ostream_wrapper& out, const std::string& str, StringEscaping::value stringEscaping)|line=319",0
9,cpp,nested_complexity,Catch2,/Users/a1-6/Code/Project/CPP_Project/Catch2,src/catch2/catch_tostring.cpp,StringMaker<signed char>::convert(signed char value),218,234,5,/Users/a1-6/Code/Project/CPP_Project/Catch2/src/catch2/catch_tostring.cpp:method=StringMaker<signed char>::convert(signed char value)|line=218,0
10,cpp,nested_complexity,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Foundation/src/SyslogChannel.cpp,"SyslogChannel::setProperty(const std::string& name, const std::string& value)",77,146,22,"/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Foundation/src/SyslogChannel.cpp:method=SyslogChannel::setProperty(const std::string& name, const std::string& value)|line=77",0
