sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,class,host_class
1,cpp,switch_statements,Catch2,/opt/projects/cpp/Catch2,src/catch2/internal/catch_console_colour.cpp,use(Colour::Code _colourCode),125,147,15,/opt/projects/cpp/Catch2/src/catch2/internal/catch_console_colour.cpp:method=use(Colour::Code _colourCode)|line=125,0,switches=1;kind=switch;branches=15,Win32ColourImpl,
2,cpp,switch_statements,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,Foundation/src/Windows1251Encoding.cpp,"Windows1251Encoding::convert(int ch, unsigned char* bytes, int length)",93,221,114,"/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/Windows1251Encoding.cpp:method=Windows1251Encoding::convert(int ch, unsigned char* bytes, int length)|line=93",0,switches=1;kind=switch;branches=114,Windows1251Encoding,
3,cpp,switch_statements,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,src/google/protobuf/json/internal/writer.cc,"MustEscape(uint32_t scalar, absl::string_view& custom_escape)",196,267,21,"/opt/projects/cpp/protobuf-29.3/src/google/protobuf/json/internal/writer.cc:method=MustEscape(uint32_t scalar, absl::string_view& custom_escape)|line=196",0,switches=1;kind=switch;branches=21,,
4,cpp,switch_statements,spdlog-1.14.1,/opt/projects/cpp/spdlog-1.14.1,include/spdlog/sinks/android_sink.h,convert_to_android_(spdlog::level::level_enum level),88,105,7,/opt/projects/cpp/spdlog-1.14.1/include/spdlog/sinks/android_sink.h:method=convert_to_android_(spdlog::level::level_enum level)|line=88,0,switches=1;kind=switch;branches=7,android_sink,
5,cpp,switch_statements,yaml-cpp,/opt/projects/cpp/yaml-cpp,src/exp.cpp,Escape(Stream& in),74,135,22,/opt/projects/cpp/yaml-cpp/src/exp.cpp:method=Escape(Stream& in)|line=74,0,switches=1;kind=switch;branches=22,,
6,cpp,switch_statements,Catch2,/opt/projects/cpp/Catch2,src/catch2/internal/catch_console_colour.cpp,use(Colour::Code _colourCode),198,225,15,/opt/projects/cpp/Catch2/src/catch2/internal/catch_console_colour.cpp:method=use(Colour::Code _colourCode)|line=198,0,switches=1;kind=switch;branches=15,ANSIColourImpl,
7,cpp,switch_statements,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,Foundation/src/Windows1250Encoding.cpp,"Windows1250Encoding::convert(int ch, unsigned char* bytes, int length)",93,181,74,"/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/Windows1250Encoding.cpp:method=Windows1250Encoding::convert(int ch, unsigned char* bytes, int length)|line=93",0,switches=1;kind=switch;branches=74,Windows1250Encoding,
8,cpp,switch_statements,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,src/google/protobuf/compiler/csharp/csharp_field_base.cc,FieldGeneratorBase::capitalized_type_name(),414,456,19,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/csharp/csharp_field_base.cc:method=FieldGeneratorBase::capitalized_type_name()|line=414,0,switches=1;kind=switch;branches=19,FieldGeneratorBase,
9,cpp,switch_statements,yaml-cpp,/opt/projects/cpp/yaml-cpp,src/emitterutils.cpp,Utf8BytesIndicated(char ch),64,86,13,/opt/projects/cpp/yaml-cpp/src/emitterutils.cpp:method=Utf8BytesIndicated(char ch)|line=64,0,switches=1;kind=switch;branches=13,,
10,cpp,switch_statements,Catch2,/opt/projects/cpp/Catch2,src/catch2/reporters/catch_reporter_compact.cpp,print(),49,120,12,/opt/projects/cpp/Catch2/src/catch2/reporters/catch_reporter_compact.cpp:method=print()|line=49,0,switches=1;kind=switch;branches=12,AssertionPrinter,
11,cpp,switch_statements,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,Net/src/HTTPResponse.cpp,HTTPResponse::getReasonForStatus(HTTPStatus status),309,438,62,/opt/projects/cpp/poco-poco-1.14.2-release/Net/src/HTTPResponse.cpp:method=HTTPResponse::getReasonForStatus(HTTPStatus status)|line=309,0,switches=1;kind=switch;branches=62,HTTPResponse,
12,cpp,switch_statements,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,src/google/protobuf/compiler/csharp/csharp_field_base.cc,FieldGeneratorBase::default_value(const FieldDescriptor* descriptor),337,408,19,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/csharp/csharp_field_base.cc:method=FieldGeneratorBase::default_value(const FieldDescriptor* descriptor)|line=337,0,switches=1;kind=switch;branches=19,FieldGeneratorBase,
