sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,a_file,a_method,a_begin_line,a_end_line,a_method_begin,a_method_end,b_file,b_method,b_begin_line,b_end_line,b_method_begin,b_method_end,clone_group_id,tokens,lines,group_size
1,python,code_clone_type1,django,/Users/a1-6/Code/Project/Python_Project/django,,,,,64,"/Users/a1-6/Code/Project/Python_Project/django/django/db/models/constraints.py:method=_get_condition_sql(self, model, schema_editor)|line=194;/Users/a1-6/Code/Project/Python_Project/django/django/db/models/indexes.py:method=_get_condition_sql(self, model, schema_editor)|line=83",0,,django/db/models/constraints.py,"_get_condition_sql(self, model, schema_editor)",194,201,194,201,django/db/models/indexes.py,"_get_condition_sql(self, model, schema_editor)",83,90,83,90,django::clone_58::pair_1,64,8,2
2,python,code_clone_type1,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,,,,,17,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/installation/operations/install.py:method=__init__(self, package: Package, reason: str | None = None, priority: int = 0)|line=13;/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/installation/operations/uninstall.py:method=__init__(self, package: Package, reason: str | None = None, priority: float = float(""inf""),)|line=13",0,,src/poetry/installation/operations/install.py,"__init__(self, package: Package, reason: str | None = None, priority: int = 0)",13,18,13,18,src/poetry/installation/operations/uninstall.py,"__init__(self, package: Package, reason: str | None = None, priority: float = float(""inf""),)",13,21,13,21,poetry::clone_1::pair_1,17,9,2
3,python,code_clone_type1,requests,/Users/a1-6/Code/Project/Python_Project/requests,,,,,31,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/auth.py:method=__eq__(self, other: object)|line=100;/Users/a1-6/Code/Project/Python_Project/requests/src/requests/auth.py:method=__eq__(self, other: object)|line=345",0,,src/requests/auth.py,"__eq__(self, other: object)",100,106,100,106,src/requests/auth.py,"__eq__(self, other: object)",345,351,345,351,requests::clone_1::pair_1,31,7,2
4,python,code_clone_type1,django,/Users/a1-6/Code/Project/Python_Project/django,,,,,55,"/Users/a1-6/Code/Project/Python_Project/django/django/db/backends/mysql/operations.py:method=return_insert_columns(self, fields)|line=188;/Users/a1-6/Code/Project/Python_Project/django/django/db/backends/postgresql/operations.py:method=return_insert_columns(self, fields)|line=314",0,,django/db/backends/mysql/operations.py,"return_insert_columns(self, fields)",188,201,188,201,django/db/backends/postgresql/operations.py,"return_insert_columns(self, fields)",314,325,314,325,django::clone_44::pair_1,55,14,3
5,python,code_clone_type1,requests,/Users/a1-6/Code/Project/Python_Project/requests,,,,,28,/Users/a1-6/Code/Project/Python_Project/requests/src/requests/models.py:method=__bool__(self)|line=835;/Users/a1-6/Code/Project/Python_Project/requests/src/requests/models.py:method=__nonzero__(self)|line=845,0,,src/requests/models.py,__bool__(self),835,843,835,843,src/requests/models.py,__nonzero__(self),845,853,845,853,requests::clone_2::pair_1,28,9,2
6,python,code_clone_type1,django,/Users/a1-6/Code/Project/Python_Project/django,,,,,51,"/Users/a1-6/Code/Project/Python_Project/django/django/contrib/auth/hashers.py:method=safe_summary(self, encoded)|line=668;/Users/a1-6/Code/Project/Python_Project/django/django/contrib/auth/hashers.py:method=safe_summary(self, encoded)|line=710",0,,django/contrib/auth/hashers.py,"safe_summary(self, encoded)",668,674,668,674,django/contrib/auth/hashers.py,"safe_summary(self, encoded)",710,716,710,716,django::clone_5::pair_1,51,7,2
7,python,code_clone_type1,django,/Users/a1-6/Code/Project/Python_Project/django,,,,,46,/Users/a1-6/Code/Project/Python_Project/django/django/db/migrations/operations/fields.py:method=deconstruct(self)|line=82;/Users/a1-6/Code/Project/Python_Project/django/django/db/migrations/operations/fields.py:method=deconstruct(self)|line=208,0,,django/db/migrations/operations/fields.py,deconstruct(self),82,90,82,90,django/db/migrations/operations/fields.py,deconstruct(self),208,216,208,216,django::clone_52::pair_1,46,9,2
8,python,code_clone_type1,django,/Users/a1-6/Code/Project/Python_Project/django,,,,,44,"/Users/a1-6/Code/Project/Python_Project/django/django/db/backends/mysql/client.py:method=runshell(self, parameters)|line=64;/Users/a1-6/Code/Project/Python_Project/django/django/db/backends/postgresql/client.py:method=runshell(self, parameters)|line=56",0,,django/db/backends/mysql/client.py,"runshell(self, parameters)",64,72,64,72,django/db/backends/postgresql/client.py,"runshell(self, parameters)",56,64,56,64,django::clone_40::pair_1,44,9,2
9,python,code_clone_type1,django,/Users/a1-6/Code/Project/Python_Project/django,,,,,44,"/Users/a1-6/Code/Project/Python_Project/django/django/db/migrations/operations/fields.py:method=database_backwards(self, app_label, schema_editor, from_state, to_state)|line=115;/Users/a1-6/Code/Project/Python_Project/django/django/db/migrations/operations/fields.py:method=database_forwards(self, app_label, schema_editor, from_state, to_state)|line=167",0,,django/db/migrations/operations/fields.py,"database_backwards(self, app_label, schema_editor, from_state, to_state)",115,120,115,120,django/db/migrations/operations/fields.py,"database_forwards(self, app_label, schema_editor, from_state, to_state)",167,172,167,172,django::clone_53::pair_1,44,6,2
10,python,code_clone_type1,django,/Users/a1-6/Code/Project/Python_Project/django,,,,,40,/Users/a1-6/Code/Project/Python_Project/django/django/contrib/gis/db/backends/postgis/models.py:method=__str__(self)|line=27;/Users/a1-6/Code/Project/Python_Project/django/django/contrib/gis/db/backends/spatialite/models.py:method=__str__(self)|line=25,0,,django/contrib/gis/db/backends/postgis/models.py,__str__(self),27,34,27,34,django/contrib/gis/db/backends/spatialite/models.py,__str__(self),25,32,25,32,django::clone_11::pair_1,40,8,2
