sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,class,host_class,reported_occurrence_count,listed_occurrence_count,group_occurrences,target_context_json
1,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/inspection/lazy_wheel.py,"_ensure_downloaded(self, start: int, end: int)",468,485,305,/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_merge|line=130;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152,0,group=:self|int:start|int:end;occurrences=5;classes=2;method_names=5,LazyFileOverHTTP,,5,5,"[{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""468"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468"",""method"":""_ensure_downloaded""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""447"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447"",""method"":""_fetch_content_range""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""130"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_merge|line=130"",""method"":""_merge""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""431"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431"",""method"":""_stream_response""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""152"",""location"":""src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152"",""method"":""minimal_intervals_covering""}]","{""group"":"":self|int:end|int:start""}"
2,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/inspection/lazy_wheel.py,"_fetch_content_range(self, start: int, end: int)",447,454,305,/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_merge|line=130;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152,0,group=:self|int:start|int:end;occurrences=5;classes=2;method_names=5,LazyFileOverHTTP,,5,5,"[{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""447"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447"",""method"":""_fetch_content_range""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""468"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468"",""method"":""_ensure_downloaded""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""130"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_merge|line=130"",""method"":""_merge""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""431"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431"",""method"":""_stream_response""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""152"",""location"":""src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152"",""method"":""minimal_intervals_covering""}]","{""group"":"":self|int:end|int:start""}"
3,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/inspection/lazy_wheel.py,"_merge(self, start: int, end: int, left: int, right: int)",130,150,305,/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_merge|line=130;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152,0,group=:self|int:start|int:end;occurrences=5;classes=2;method_names=5,MergeIntervals,,5,5,"[{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""130"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_merge|line=130"",""method"":""_merge""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""468"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468"",""method"":""_ensure_downloaded""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""447"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447"",""method"":""_fetch_content_range""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""431"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431"",""method"":""_stream_response""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""152"",""location"":""src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152"",""method"":""minimal_intervals_covering""}]","{""group"":"":self|int:end|int:start""}"
4,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/inspection/lazy_wheel.py,"_stream_response(self, start: int, end: int)",431,445,305,/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_merge|line=130;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152,0,group=:self|int:start|int:end;occurrences=5;classes=2;method_names=5,LazyFileOverHTTP,,5,5,"[{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""431"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431"",""method"":""_stream_response""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""468"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468"",""method"":""_ensure_downloaded""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""447"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447"",""method"":""_fetch_content_range""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""130"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_merge|line=130"",""method"":""_merge""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""152"",""location"":""src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152"",""method"":""minimal_intervals_covering""}]","{""group"":"":self|int:end|int:start""}"
5,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/inspection/lazy_wheel.py,"minimal_intervals_covering(self, start: int, end: int)",152,168,305,/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_merge|line=130;/opt/projects/python/poetry/src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431,0,group=:self|int:start|int:end;occurrences=5;classes=2;method_names=5,MergeIntervals,,5,5,"[{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""152"",""location"":""src/poetry/inspection/lazy_wheel.py:method=minimal_intervals_covering|line=152"",""method"":""minimal_intervals_covering""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""468"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_ensure_downloaded|line=468"",""method"":""_ensure_downloaded""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""447"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_fetch_content_range|line=447"",""method"":""_fetch_content_range""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""130"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_merge|line=130"",""method"":""_merge""},{""file"":""src/poetry/inspection/lazy_wheel.py"",""line"":""431"",""location"":""src/poetry/inspection/lazy_wheel.py:method=_stream_response|line=431"",""method"":""_stream_response""}]","{""group"":"":self|int:end|int:start""}"
6,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/repositories/cached_repository.py,"get_release_info(self, name: NormalizedName, version: Version)",40,67,305,/opt/projects/python/poetry/src/poetry/repositories/cached_repository.py:method=get_release_info|line=40;/opt/projects/python/poetry/src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115;/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100;/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=yanked|line=111;/opt/projects/python/poetry/src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126,0,group=:self|NormalizedName:name|Version:version;occurrences=5;classes=4;method_names=5,CachedRepository,,5,5,"[{""file"":""src/poetry/repositories/cached_repository.py"",""line"":""40"",""location"":""src/poetry/repositories/cached_repository.py:method=get_release_info|line=40"",""method"":""get_release_info""},{""file"":""src/poetry/repositories/legacy_repository.py"",""line"":""115"",""location"":""src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115"",""method"":""_get_release_info""},{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""100"",""location"":""src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100"",""method"":""links_for_version""},{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""111"",""location"":""src/poetry/repositories/link_sources/base.py:method=yanked|line=111"",""method"":""yanked""},{""file"":""src/poetry/repositories/pypi_repository.py"",""line"":""126"",""location"":""src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126"",""method"":""_get_release_info""}]","{""group"":"":self|normalizedname:name|version:version""}"
7,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/repositories/legacy_repository.py,"_get_release_info(self, name: NormalizedName, version: Version)",115,135,305,/opt/projects/python/poetry/src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115;/opt/projects/python/poetry/src/poetry/repositories/cached_repository.py:method=get_release_info|line=40;/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100;/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=yanked|line=111;/opt/projects/python/poetry/src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126,0,group=:self|NormalizedName:name|Version:version;occurrences=5;classes=4;method_names=5,LegacyRepository,,5,5,"[{""file"":""src/poetry/repositories/legacy_repository.py"",""line"":""115"",""location"":""src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115"",""method"":""_get_release_info""},{""file"":""src/poetry/repositories/cached_repository.py"",""line"":""40"",""location"":""src/poetry/repositories/cached_repository.py:method=get_release_info|line=40"",""method"":""get_release_info""},{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""100"",""location"":""src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100"",""method"":""links_for_version""},{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""111"",""location"":""src/poetry/repositories/link_sources/base.py:method=yanked|line=111"",""method"":""yanked""},{""file"":""src/poetry/repositories/pypi_repository.py"",""line"":""126"",""location"":""src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126"",""method"":""_get_release_info""}]","{""group"":"":self|normalizedname:name|version:version""}"
8,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/repositories/link_sources/base.py,"links_for_version(self, name: NormalizedName, version: Version)",100,103,305,/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100;/opt/projects/python/poetry/src/poetry/repositories/cached_repository.py:method=get_release_info|line=40;/opt/projects/python/poetry/src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115;/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=yanked|line=111;/opt/projects/python/poetry/src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126,0,group=:self|NormalizedName:name|Version:version;occurrences=5;classes=4;method_names=5,LinkSource,,5,5,"[{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""100"",""location"":""src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100"",""method"":""links_for_version""},{""file"":""src/poetry/repositories/cached_repository.py"",""line"":""40"",""location"":""src/poetry/repositories/cached_repository.py:method=get_release_info|line=40"",""method"":""get_release_info""},{""file"":""src/poetry/repositories/legacy_repository.py"",""line"":""115"",""location"":""src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115"",""method"":""_get_release_info""},{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""111"",""location"":""src/poetry/repositories/link_sources/base.py:method=yanked|line=111"",""method"":""yanked""},{""file"":""src/poetry/repositories/pypi_repository.py"",""line"":""126"",""location"":""src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126"",""method"":""_get_release_info""}]","{""group"":"":self|normalizedname:name|version:version""}"
9,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/repositories/link_sources/base.py,"yanked(self, name: NormalizedName, version: Version)",111,123,305,/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=yanked|line=111;/opt/projects/python/poetry/src/poetry/repositories/cached_repository.py:method=get_release_info|line=40;/opt/projects/python/poetry/src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115;/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100;/opt/projects/python/poetry/src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126,0,group=:self|NormalizedName:name|Version:version;occurrences=5;classes=4;method_names=5,LinkSource,,5,5,"[{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""111"",""location"":""src/poetry/repositories/link_sources/base.py:method=yanked|line=111"",""method"":""yanked""},{""file"":""src/poetry/repositories/cached_repository.py"",""line"":""40"",""location"":""src/poetry/repositories/cached_repository.py:method=get_release_info|line=40"",""method"":""get_release_info""},{""file"":""src/poetry/repositories/legacy_repository.py"",""line"":""115"",""location"":""src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115"",""method"":""_get_release_info""},{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""100"",""location"":""src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100"",""method"":""links_for_version""},{""file"":""src/poetry/repositories/pypi_repository.py"",""line"":""126"",""location"":""src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126"",""method"":""_get_release_info""}]","{""group"":"":self|normalizedname:name|version:version""}"
10,python,data_clumps,poetry,/opt/projects/python/poetry,src/poetry/repositories/pypi_repository.py,"_get_release_info(self, name: NormalizedName, version: Version)",126,184,305,/opt/projects/python/poetry/src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126;/opt/projects/python/poetry/src/poetry/repositories/cached_repository.py:method=get_release_info|line=40;/opt/projects/python/poetry/src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115;/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100;/opt/projects/python/poetry/src/poetry/repositories/link_sources/base.py:method=yanked|line=111,0,group=:self|NormalizedName:name|Version:version;occurrences=5;classes=4;method_names=5,PyPiRepository,,5,5,"[{""file"":""src/poetry/repositories/pypi_repository.py"",""line"":""126"",""location"":""src/poetry/repositories/pypi_repository.py:method=_get_release_info|line=126"",""method"":""_get_release_info""},{""file"":""src/poetry/repositories/cached_repository.py"",""line"":""40"",""location"":""src/poetry/repositories/cached_repository.py:method=get_release_info|line=40"",""method"":""get_release_info""},{""file"":""src/poetry/repositories/legacy_repository.py"",""line"":""115"",""location"":""src/poetry/repositories/legacy_repository.py:method=_get_release_info|line=115"",""method"":""_get_release_info""},{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""100"",""location"":""src/poetry/repositories/link_sources/base.py:method=links_for_version|line=100"",""method"":""links_for_version""},{""file"":""src/poetry/repositories/link_sources/base.py"",""line"":""111"",""location"":""src/poetry/repositories/link_sources/base.py:method=yanked|line=111"",""method"":""yanked""}]","{""group"":"":self|normalizedname:name|version:version""}"
