sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
1,python,dead_code,salt,/opt/projects/python/salt,salt/beacons/log_beacon.py,_get_loc(),41,46,0,/opt/projects/python/salt/salt/beacons/log_beacon.py:method=_get_loc()|line=41,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
2,python,dead_code,ray,/opt/projects/python/ray,python/ray/_private/log.py,_print_loggers(),9,17,0,/opt/projects/python/ray/python/ray/_private/log.py:method=_print_loggers()|line=9,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=9; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
3,python,dead_code,mlflow,/opt/projects/python/mlflow,mlflow/gateway/app.py,_custom(request),157,158,0,/opt/projects/python/mlflow/mlflow/gateway/app.py:method=_custom(request)|line=157,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=2; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
4,python,dead_code,dagster,/opt/projects/python/dagster,python_modules/dagster-graphql/dagster_graphql/implementation/fetch_runs.py,"_fetch_runs_not_in_backfill(instance, cursor, limit, filters)",439,456,0,"/opt/projects/python/dagster/python_modules/dagster-graphql/dagster_graphql/implementation/fetch_runs.py:method=_fetch_runs_not_in_backfill(instance, cursor, limit, filters)|line=439",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=18; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
5,python,dead_code,airflow,/opt/projects/python/airflow,airflow-core/src/airflow/dag_processing/manager.py,"_resolve_path(instance, attribute, val)",145,148,0,"/opt/projects/python/airflow/airflow-core/src/airflow/dag_processing/manager.py:method=_resolve_path(instance, attribute, val)|line=145",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
6,python,dead_code,yt-dlp,/opt/projects/python/yt-dlp,yt_dlp/extractor/common.py,"_dc_search_uploader(self, html)",1519,1520,0,"/opt/projects/python/yt-dlp/yt_dlp/extractor/common.py:method=_dc_search_uploader(self, html)|line=1519",0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=2; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
7,python,dead_code,dbt-core,/opt/projects/python/dbt-core,.github/actions/latest-wrangler/main.py,_validate_response(response),64,68,0,/opt/projects/python/dbt-core/.github/actions/latest-wrangler/main.py:method=_validate_response(response)|line=64,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=5; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
8,python,dead_code,dask,/opt/projects/python/dask,dask/array/core.py,"_split_up_single_chunk(c, this_chunksize_tolerance, max_chunk_size, proposed)",3427,3443,0,"/opt/projects/python/dask/dask/array/core.py:method=_split_up_single_chunk(c, this_chunksize_tolerance, max_chunk_size, proposed)|line=3427",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=17; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
9,python,dead_code,fsspec,/opt/projects/python/fsspec,fsspec/caching.py,_reset_stats(self),71,75,0,/opt/projects/python/fsspec/fsspec/caching.py:method=_reset_stats(self)|line=71,0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=5; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
10,python,dead_code,prefect,/opt/projects/python/prefect,src/prefect/infrastructure/provisioners/ecs.py,_get_existing_vpc_cidrs(self),649,651,0,/opt/projects/python/prefect/src/prefect/infrastructure/provisioners/ecs.py:method=_get_existing_vpc_cidrs(self)|line=649,0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
