sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
1,python,feature_envy,airflow,/opt/projects/python/airflow,airflow-core/src/airflow/dag_processing/processor.py,"_execute_email_callbacks(dagbag: DagBag, request: EmailRequest, log: FilteringBoundLogger)",447,508,38,"/opt/projects/python/airflow/airflow-core/src/airflow/dag_processing/processor.py:method=_execute_email_callbacks(dagbag: DagBag, request: EmailRequest, log: FilteringBoundLogger)|line=447",0,envied_receiver=request; foreign_access=38; foreign_ratio=0.79
2,python,feature_envy,dagster,/opt/projects/python/dagster,python_modules/dagster-graphql/dagster_graphql/schema/pipelines/config.py,"from_dagster_error(get_config_type: Callable[[str], ConfigTypeSnap], error: DagsterEvaluationError)",144,208,43,"/opt/projects/python/dagster/python_modules/dagster-graphql/dagster_graphql/schema/pipelines/config.py:method=from_dagster_error(get_config_type: Callable[[str], ConfigTypeSnap], error: DagsterEvaluationError)|line=144",0,envied_receiver=error; foreign_access=43; foreign_ratio=0.96
3,python,feature_envy,dbt-core,/opt/projects/python/dbt-core,core/dbt/parser/common.py,"_add(self, column: HasColumnProps)",226,299,59,"/opt/projects/python/dbt-core/core/dbt/parser/common.py:method=_add(self, column: HasColumnProps)|line=226",0,envied_receiver=column; foreign_access=59; foreign_ratio=0.94
4,python,feature_envy,django,/opt/projects/python/django,django/db/transaction.py,"__exit__(self, exc_type, exc_value, traceback)",224,313,34,"/opt/projects/python/django/django/db/transaction.py:method=__exit__(self, exc_type, exc_value, traceback)|line=224",0,envied_receiver=connection; foreign_access=34; foreign_ratio=0.97
5,python,feature_envy,fsspec,/opt/projects/python/fsspec,fsspec/utils.py,"infer_storage_options(urlpath: str, inherit_storage_options: dict[str, Any] | None = None)",29,111,18,"/opt/projects/python/fsspec/fsspec/utils.py:method=infer_storage_options(urlpath: str, inherit_storage_options: dict[str, Any] | None = None)|line=29",0,envied_receiver=parsed_path; foreign_access=18; foreign_ratio=0.75
6,python,feature_envy,luigi,/opt/projects/python/luigi,luigi/scheduler.py,"set_status(self, task, new_status, config=None)",535,586,28,"/opt/projects/python/luigi/luigi/scheduler.py:method=set_status(self, task, new_status, config=None)|line=535",0,envied_receiver=task; foreign_access=28; foreign_ratio=0.61
7,python,feature_envy,mlflow,/opt/projects/python/mlflow,dev/benchmarks/gateway/run.py,cmd_bench(args: argparse.Namespace),474,632,54,/opt/projects/python/mlflow/dev/benchmarks/gateway/run.py:method=cmd_bench(args: argparse.Namespace)|line=474,0,envied_receiver=args; foreign_access=54; foreign_ratio=0.69
8,python,feature_envy,poetry,/opt/projects/python/poetry,src/poetry/publishing/uploader.py,"post_data(self, file: Path)",124,194,27,"/opt/projects/python/poetry/src/poetry/publishing/uploader.py:method=post_data(self, file: Path)|line=124",0,envied_receiver=meta; foreign_access=27; foreign_ratio=0.60
9,python,feature_envy,prefect,/opt/projects/python/prefect,src/prefect/server/services/scheduler.py,"_get_select_deployments_to_schedule_query(db: PrefectDBInterface, deployment_batch_size: int, min_runs: int, min_scheduled_time: datetime.timedelta,)",35,122,48,"/opt/projects/python/prefect/src/prefect/server/services/scheduler.py:method=_get_select_deployments_to_schedule_query(db: PrefectDBInterface, deployment_batch_size: int, min_runs: int, min_scheduled_time: datetime.timedelta,)|line=35",0,envied_receiver=db; foreign_access=48; foreign_ratio=0.60
10,python,feature_envy,pytest,/opt/projects/python/pytest,src/_pytest/config/__init__.py,"pytest_load_initial_conftests(self, early_config: Config) -> None: # We haven't fully parsed the command line arguments yet, so # early_config.args it not set yet. But we need it for # discovering the initial conftests. So ""pre-run"" the logic here. # It will be done for real in `parse()",1256,1280,21,"/opt/projects/python/pytest/src/_pytest/config/__init__.py:method=pytest_load_initial_conftests(self, early_config: Config) -> None: # We haven't fully parsed the command line arguments yet, so # early_config.args it not set yet. But we need it for # discovering the initial conftests. So ""pre-run"" the logic here. # It will be done for real in `parse()|line=1256",0,envied_receiver=early_config; foreign_access=21; foreign_ratio=0.91
