sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_false_positive,evidence,class,host_class,fp_reason
1,python,god_class,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/models/options.py,_get_fields,862,961,179,/Users/a1-6/Code/Project/Python_Project/django/django/db/models/options.py:class=Options|line=87,0,nom=46;nof=91;wmc=179;loc=1014;atfd=0,Options,,
2,python,god_class,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/installation/executor.py,_execute_operation,257,372,118,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/installation/executor.py:class=Executor|line=52,0,nom=35;nof=21;wmc=118;loc=918;atfd=38,Executor,,
3,python,god_class,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/adapters.py,send,636,750,45,/Users/a1-6/Code/Project/Python_Project/requests/src/requests/adapters.py:class=HTTPAdapter|line=158,0,nom=15;nof=7;wmc=45;loc=593;atfd=12,HTTPAdapter,,
4,python,god_class,dbt-core,/Users/a1-6/Code/Project/Python_Project/dbt-core,core/dbt/parser/partial.py,handle_schema_file_changes,778,861,663,/Users/a1-6/Code/Project/Python_Project/dbt-core/core/dbt/parser/partial.py:class=PartialParsing|line=79,0,nom=59;nof=135;wmc=663;loc=1367;atfd=0,PartialParsing,,
5,python,god_class,salt,/Users/a1-6/Code/Project/Python_Project/salt,salt/loader/lazy.py,_load_module,809,1185,338,/Users/a1-6/Code/Project/Python_Project/salt/salt/loader/lazy.py:class=LazyLoader|line=255,0,nom=26;nof=93;wmc=338;loc=1484;atfd=0,LazyLoader,,
6,python,god_class,airflow,/Users/a1-6/Code/Project/Python_Project/airflow,airflow-core/src/airflow/dag_processing/manager.py,_refresh_dag_bundles,716,829,190,/Users/a1-6/Code/Project/Python_Project/airflow/airflow-core/src/airflow/dag_processing/manager.py:class=DagFileProcessorManager|line=185,0,nom=61;nof=132;wmc=190;loc=1564;atfd=0,DagFileProcessorManager,,
7,python,god_class,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/core/engine.py,close_spider_async,595,686,68,/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/core/engine.py:class=ExecutionEngine|line=102,0,nom=26;nof=10;wmc=68;loc=585;atfd=22,ExecutionEngine,,
8,python,god_class,dask,/Users/a1-6/Code/Project/Python_Project/dask,dask/bag/core.py,foldby,1236,1418,69,/Users/a1-6/Code/Project/Python_Project/dask/dask/bag/core.py:class=Bag|line=455,0,nom=49;nof=43;wmc=69;loc=2758;atfd=0,Bag,,
9,python,god_class,luigi,/Users/a1-6/Code/Project/Python_Project/luigi,luigi/scheduler.py,get_work,1139,1283,307,/Users/a1-6/Code/Project/Python_Project/luigi/luigi/scheduler.py:class=Scheduler|line=675,0,nom=65;nof=78;wmc=307;loc=1673;atfd=0,Scheduler,,
10,python,god_class,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/curl_httpclient.py,_curl_setup_request,325,545,75,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/curl_httpclient.py:class=CurlAsyncHTTPClient|line=47,0,nom=16;nof=5;wmc=75;loc=536;atfd=28,CurlAsyncHTTPClient,,
