sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
1,python,long_method,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/models/fields/related_descriptors.py,"create_forward_many_to_many_manager(superclass, rel, reverse)",978,1506,419,"/Users/a1-6/Code/Project/Python_Project/django/django/db/models/fields/related_descriptors.py:method=create_forward_many_to_many_manager(superclass, rel, reverse)|line=978",0
2,python,long_method,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/console/commands/show.py,"_display_packages_information(self, locked_repository: Repository, root: ProjectPackage)",202,396,160,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/console/commands/show.py:method=_display_packages_information(self, locked_repository: Repository, root: ProjectPackage)|line=202",0
3,python,long_method,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/adapters.py,"send(self, request: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None,)",636,750,81,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/adapters.py:method=send(self, request: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None,)|line=636",0
4,python,long_method,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/core/downloader/handlers/_httpx.py,"_read_response(self, httpx_response: httpx.Response, request: Request)",184,278,83,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/core/downloader/handlers/_httpx.py:method=_read_response(self, httpx_response: httpx.Response, request: Request)|line=184",0
5,python,long_method,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/curl_httpclient.py,"_curl_setup_request(self, curl: pycurl.Curl, request: HTTPRequest, buffer: BytesIO, headers: httputil.HTTPHeaders,)",325,545,166,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/curl_httpclient.py:method=_curl_setup_request(self, curl: pycurl.Curl, request: HTTPRequest, buffer: BytesIO, headers: httputil.HTTPHeaders,)|line=325",0
6,python,long_method,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/backends/base/schema.py,"_alter_field(self, model, old_field, new_field, old_type, new_type, old_db_params, new_db_params, strict=False,)",842,1186,276,"/Users/a1-6/Code/Project/Python_Project/django/django/db/backends/base/schema.py:method=_alter_field(self, model, old_field, new_field, old_type, new_type, old_db_params, new_db_params, strict=False,)|line=842",0
7,python,long_method,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/console/commands/init.py,handle(self),69,252,151,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/console/commands/init.py:method=handle(self)|line=69,0
8,python,long_method,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/auth.py,"build_digest_header(self, method: str, url: str)",157,266,81,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/auth.py:method=build_digest_header(self, method: str, url: str)|line=157",0
9,python,long_method,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/core/engine.py,"close_spider_async(self, *, reason: str = ""cancelled"")",595,686,75,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/core/engine.py:method=close_spider_async(self, *, reason: str = ""cancelled"")|line=595",0
10,python,long_method,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/template.py,"_parse(reader: _TemplateReader, template: Template, in_block: str | None = None, in_loop: str | None = None,)",844,1042,164,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/template.py:method=_parse(reader: _TemplateReader, template: Template, in_block: str | None = None, in_loop: str | None = None,)|line=844",0
11,python,long_method,django,/Users/a1-6/Code/Project/Python_Project/django,django/core/management/commands/migrate.py,"handle(self, *args, **options)",97,390,252,"/Users/a1-6/Code/Project/Python_Project/django/django/core/management/commands/migrate.py:method=handle(self, *args, **options)|line=97",0
12,python,long_method,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/puzzle/provider.py,"complete_package(self, dependency_package: DependencyPackage)",472,698,144,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/puzzle/provider.py:method=complete_package(self, dependency_package: DependencyPackage)|line=472",0
