sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
1,python,nested_complexity,django,/opt/projects/python/django,django/db/migrations/autodetector.py,"_build_migration_list(self, graph=None)",267,379,9,"/opt/projects/python/django/django/db/migrations/autodetector.py:method=_build_migration_list(self, graph=None)|line=267",0
2,python,nested_complexity,poetry,/opt/projects/python/poetry,src/poetry/packages/locker.py,locked_repository(self),104,238,6,/opt/projects/python/poetry/src/poetry/packages/locker.py:method=locked_repository(self)|line=104,0
3,python,nested_complexity,requests,/opt/projects/python/requests,src/requests/cookies.py,"_find_no_duplicates(self, name: str, domain: str | None = None, path: str | None = None)",423,452,5,"/opt/projects/python/requests/src/requests/cookies.py:method=_find_no_duplicates(self, name: str, domain: str | None = None, path: str | None = None)|line=423",0
4,python,nested_complexity,django,/opt/projects/python/django,django/db/migrations/autodetector.py,generate_renamed_models(self),517,582,7,/opt/projects/python/django/django/db/migrations/autodetector.py:method=generate_renamed_models(self)|line=517,0
5,python,nested_complexity,poetry,/opt/projects/python/poetry,src/poetry/puzzle/solver.py,_solve(self),149,196,6,/opt/projects/python/poetry/src/poetry/puzzle/solver.py:method=_solve(self)|line=149,0
6,python,nested_complexity,requests,/opt/projects/python/requests,src/requests/utils.py,"should_bypass_proxies(url: str, no_proxy: str | None)",810,868,5,"/opt/projects/python/requests/src/requests/utils.py:method=should_bypass_proxies(url: str, no_proxy: str | None)|line=810",0
7,python,nested_complexity,django,/opt/projects/python/django,django/db/models/base.py,"__new__(cls, name, bases, attrs, **kwargs)",95,367,7,"/opt/projects/python/django/django/db/models/base.py:method=__new__(cls, name, bases, attrs, **kwargs)|line=95",0
8,python,nested_complexity,poetry,/opt/projects/python/poetry,src/poetry/console/application.py,"_configure_io(self, io: IO)",193,227,5,"/opt/projects/python/poetry/src/poetry/console/application.py:method=_configure_io(self, io: IO)|line=193",0
9,python,nested_complexity,django,/opt/projects/python/django,django/utils/translation/template.py,"templatize(src, origin=None)",39,246,7,"/opt/projects/python/django/django/utils/translation/template.py:method=templatize(src, origin=None)|line=39",0
10,python,nested_complexity,poetry,/opt/projects/python/poetry,src/poetry/console/commands/check.py,"_validate_dependencies_source(self, config: dict[str, Any])",92,121,5,"/opt/projects/python/poetry/src/poetry/console/commands/check.py:method=_validate_dependencies_source(self, config: dict[str, Any])|line=92",0
11,python,nested_complexity,django,/opt/projects/python/django,django/contrib/contenttypes/management/commands/remove_stale_contenttypes.py,"handle(self, **options)",34,102,6,"/opt/projects/python/django/django/contrib/contenttypes/management/commands/remove_stale_contenttypes.py:method=handle(self, **options)|line=34",0
12,python,nested_complexity,poetry,/opt/projects/python/poetry,src/poetry/puzzle/solver.py,"_solve_in_compatibility_mode(self, overrides: tuple[dict[Package, dict[str, Dependency]], ...],)",119,147,5,"/opt/projects/python/poetry/src/poetry/puzzle/solver.py:method=_solve_in_compatibility_mode(self, overrides: tuple[dict[Package, dict[str, Dependency]], ...],)|line=119",0
13,python,nested_complexity,django,/opt/projects/python/django,django/contrib/staticfiles/storage.py,"_post_process(self, paths, adjustable_paths, hashed_files)",333,405,6,"/opt/projects/python/django/django/contrib/staticfiles/storage.py:method=_post_process(self, paths, adjustable_paths, hashed_files)|line=333",0
14,python,nested_complexity,poetry,/opt/projects/python/poetry,src/poetry/puzzle/transaction.py,"calculate_operations(self, with_uninstalls: bool = True, synchronize: bool = False, *, skip_directory: bool = False,)",29,129,5,"/opt/projects/python/poetry/src/poetry/puzzle/transaction.py:method=calculate_operations(self, with_uninstalls: bool = True, synchronize: bool = False, *, skip_directory: bool = False,)|line=29",0
15,python,nested_complexity,django,/opt/projects/python/django,django/core/management/commands/showmigrations.py,"show_list(self, connection, app_names=None)",79,132,6,"/opt/projects/python/django/django/core/management/commands/showmigrations.py:method=show_list(self, connection, app_names=None)|line=79",0
16,python,nested_complexity,poetry,/opt/projects/python/poetry,src/poetry/repositories/installed_repository.py,"create_package_from_distribution(cls, distribution: metadata.Distribution, env: Env)",99,172,5,"/opt/projects/python/poetry/src/poetry/repositories/installed_repository.py:method=create_package_from_distribution(cls, distribution: metadata.Distribution, env: Env)|line=99",0
17,python,nested_complexity,django,/opt/projects/python/django,django/db/migrations/autodetector.py,_sort_migrations(self),381,402,6,/opt/projects/python/django/django/db/migrations/autodetector.py:method=_sort_migrations(self)|line=381,0
